buses_id,x,y
4959,0.215607,51.430896
4969,0.575409,51.430896
5270,-0.11261,51.423189
4962,0.346069,51.421477
5193,-3.518372,51.42062
5196,-3.275299,51.419764
5228,-2.080536,51.419764
5227,-2.080536,51.419764
5265,-0.296631,51.405203
4972,0.76355,51.403489
4963,0.09613,51.394922
4970,0.699005,51.354631
5250,-1.117859,51.324605
4974,0.904999,51.320314
5261,-0.682526,51.307438
5260,-0.682526,51.307438
5272,-0.197754,51.298852
5271,-0.197754,51.298852
8014,0.219727,51.2937
5262,-0.406494,51.289406
4964,0.005493,51.277381
4975,1.060181,51.251601
5251,-0.878906,51.216347
5202,-3.210754,51.135416
5201,-3.210754,51.135416
5205,-2.960815,51.073331
4977,0.958557,51.059523
5194,-4.167938,51.011163
5204,-3.148956,50.976588
5273,-0.196381,50.948045
5230,-1.513367,50.94718
4979,0.914612,50.929007
5254,-1.053314,50.900435
5231,-1.461182,50.890907
4971,0.431213,50.870111
5252,-1.245575,50.866645
5253,-1.366425,50.828493
5229,-1.93222,50.805935
5206,-3.003387,50.765997
5203,-3.357697,50.739062
5274,-2.528229,50.628558
8016,-3.735352,50.498579
5209,-3.967438,50.489842
5210,-3.691406,50.477609
5208,-4.244843,50.460127
5207,-4.925995,50.368241
