bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
relation/7881280-400,400,f,Substation,f,relation/7881280,-0.756037109,53.59806107,GB,POINT (-0.756037108794069 53.59806107377221)
relation/7886014-400,400,f,Substation,f,relation/7886014,-2.512553304,52.63226162,GB,POINT (-2.5125533039057584 52.632261616633116)
relation/7894457-275,275,f,Substation,f,relation/7894457,-2.405438557,53.43519161,GB,POINT (-2.40543855695016 53.43519161103851)
relation/7894457-400,400,f,Substation,f,relation/7894457,-2.405178454,53.43541149,GB,POINT (-2.405178454491036 53.435411487897824)
relation/7894483-400,400,f,Substation,f,relation/7894483,-2.321915579,53.79518999,GB,POINT (-2.3219155786462258 53.79518998794673)
relation/7894974-275,275,f,Substation,f,relation/7894974,-4.080110628,55.75168992,GB,POINT (-4.080110627723587 55.751689917948966)
relation/7894974-400,400,f,Substation,f,relation/7894974,-4.079846271,55.75191343,GB,POINT (-4.079846271169726 55.751913432931474)
relation/7894975-275,275,f,Substation,f,relation/7894975,-2.756647537,53.74381896,GB,POINT (-2.756647536964786 53.743818963246085)
relation/7894975-400,400,f,Substation,f,relation/7894975,-2.756387537,53.74403959,GB,POINT (-2.7563875369248914 53.74403959044247)
relation/7896785-275,275,f,Substation,f,relation/7896785,-1.85311523,52.50680233,GB,POINT (-1.853115229655444 52.506802325018)
relation/8087295-275,275,f,Substation,f,relation/8087295,-3.753619779,58.57578626,GB,POINT (-3.7536197787692402 58.57578626372664)
relation/9409219-400,400,f,Substation,f,relation/9409219,-1.328737782,50.82162304,GB,POINT (-1.328737782061374 50.821623044422175)
relation/9572254-400,400,f,Substation,f,relation/9572254,-4.899645176,50.39501306,GB,POINT (-4.8996451762531965 50.39501306092505)
relation/9598269-275,275,f,Substation,f,relation/9598269,-2.043609843,53.49226711,GB,POINT (-2.0436098431814425 53.49226710821048)
relation/9598269-400,400,f,Substation,f,relation/9598269,-2.0433476,53.49248623,GB,POINT (-2.0433476003013955 53.49248623366183)
way/100009331-400,400,f,Substation,f,way/100009331,-4.136944788,51.00583239,GB,POINT (-4.136944788248292 51.00583239097966)
way/100077745-275,275,f,Substation,f,way/100077745,-4.463425801,55.57616157,GB,POINT (-4.463425800826517 55.57616157201634)
way/100077745-400,400,f,Substation,f,way/100077745,-4.4631646,55.57638583,GB,POINT (-4.46316459970693 55.57638583273199)
way/100773252-400,400,f,Substation,f,way/100773252,0.506723522,51.51286098,GB,POINT (0.5067235220490164 51.51286097639766)
way/101077623-275,275,f,Substation,f,way/101077623,-1.48827082,53.40611605,GB,POINT (-1.488270819939736 53.40611604956857)
way/101077623-400,400,f,Substation,f,way/101077623,-1.488006264,53.406334,GB,POINT (-1.488006263725702 53.40633399792946)
way/101312018-275,275,f,Substation,f,way/101312018,-1.4140985,53.41576404,GB,POINT (-1.4140984998006367 53.41576403750655)
way/101365758-275,275,f,Substation,f,way/101365758,-3.406983749,51.48693743,GB,POINT (-3.4069837492800863 51.48693742880359)
way/102198808-400,400,f,Substation,f,way/102198808,-2.329689325,55.66928737,GB,POINT (-2.3296893247368873 55.66928736681727)
way/102549055-275,275,f,Substation,f,way/102549055,0.114347923,51.52096844,GB,POINT (0.1143479226205021 51.52096844365073)
way/102549055-400,400,f,Substation,f,way/102549055,0.114609962,51.52118285,GB,POINT (0.1146099622024342 51.521182849760564)
way/103150854-400,400,f,Substation,f,way/103150854,0.288344937,51.47116391,GB,POINT (0.2883449366638076 51.47116390590863)
way/103829261-400,400,f,Substation,f,way/103829261,0.407618211,51.44231108,GB,POINT (0.4076182109493994 51.44231108382325)
way/103915328-275,275,f,Substation,f,way/103915328,-2.150795104,51.39346277,GB,POINT (-2.1507951036312747 51.393462774921126)
way/103915328-400,400,f,Substation,f,way/103915328,-2.150544287,51.39368201,GB,POINT (-2.1505442874596796 51.393682013785934)
way/1049638569-400,400,f,Substation,f,way/1049638569,-2.899964074,51.28654274,GB,POINT (-2.8999640736101533 51.28654274463925)
way/105304263-275,275,f,Substation,f,way/105304263,-3.184996911,55.96536976,GB,POINT (-3.184996911377261 55.965369759558115)
way/1078532568,525,t,Substation,f,way/1078532568,-0.236500535,52.92099253,GB,POINT (-0.2365005345670103 52.9209925331145)
way/1078532568-400,400,f,Substation,f,way/1078532568,-0.236634539,52.92088492,GB,POINT (-0.2366345394689085 52.92088491851833)
way/1087785232-400,400,f,Substation,f,way/1087785232,-2.839449257,51.34057311,GB,POINT (-2.8394492572559753 51.34057310907043)
way/109073025-275,275,f,Substation,f,way/109073025,-4.255062262,55.87369771,GB,POINT (-4.25506226183192 55.87369771028502)
way/109189896,450,t,Substation,f,way/109189896,0.716157544,51.4404983,GB,POINT (0.7161575436002887 51.44049829914561)
way/109463536-275,275,f,Substation,f,way/109463536,-1.131544931,53.97496121,GB,POINT (-1.1315449313023251 53.97496120677208)
way/109730296-275,275,f,Substation,f,way/109730296,-1.131558865,54.56662671,GB,POINT (-1.131558865412809 54.56662671066788)
way/109730296-400,400,f,Substation,f,way/109730296,-1.13128574,54.56684399,GB,POINT (-1.1312857399533636 54.56684398621295)
way/1097582201-400,400,f,Substation,f,way/1097582201,-1.739725148,53.5201773,GB,POINT (-1.73972514766321 53.520177298136346)
way/111528318-220,220,f,Substation,f,way/111528318,-2.977991295,56.52122917,GB,POINT (-2.977991294751535 56.52122916963613)
way/111528318-275,275,f,Substation,f,way/111528318,-2.977642045,56.52109693,GB,POINT (-2.977642044834639 56.52109692636878)
way/111550033-400,400,f,Substation,f,way/111550033,-2.4103305,55.96619115,GB,POINT (-2.4103305004318294 55.96619114974362)
way/1120475588-275,275,f,Substation,f,way/1120475588,-0.188300793,51.43045857,GB,POINT (-0.1883007925940831 51.43045856565049)
way/1120475588-400,400,f,Substation,f,way/1120475588,-0.188040628,51.43067363,GB,POINT (-0.1880406282009816 51.430673628810894)
way/115277975-275,275,f,Substation,f,way/115277975,-2.938352915,57.54031721,GB,POINT (-2.938352914807833 57.540317212639586)
way/1153252242-275,275,f,Substation,f,way/1153252242,-2.926281009,53.41871569,GB,POINT (-2.9262810087140467 53.41871568826276)
way/115530033-400,400,f,Substation,f,way/115530033,-1.228237977,51.66102501,GB,POINT (-1.2282379766653213 51.66102500945725)
way/115887437-275,275,f,Substation,f,way/115887437,-1.394672799,53.40117103,GB,POINT (-1.3946727986409888 53.401171027223285)
way/116539370-275,275,f,Substation,f,way/116539370,-1.443715962,53.40082263,GB,POINT (-1.4437159620157518 53.40082263129862)
way/1185489725-220,220,f,Substation,f,way/1185489725,-2.930267283,57.5000047,GB,POINT (-2.930267283095473 57.50000469899806)
way/1185489725-400,400,f,Substation,f,way/1185489725,-2.929985216,57.5002261,GB,POINT (-2.9299852160457927 57.50022609581149)
way/118821349-275,275,f,Substation,f,way/118821349,-2.384021499,57.21863711,GB,POINT (-2.384021498835101 57.21863711445629)
way/118821349-400,400,f,Substation,f,way/118821349,-2.383738174,57.21885734,GB,POINT (-2.3837381741806007 57.218857335114365)
way/1190395478-220,220,f,Substation,f,way/1190395478,-2.283860547,57.49027321,GB,POINT (-2.283860547275266 57.490273208331814)
way/1190395478-400,400,f,Substation,f,way/1190395478,-2.283574761,57.49049326,GB,POINT (-2.2835747608035395 57.4904932561789)
way/119315534-275,275,f,Substation,f,way/119315534,-4.07461935,55.87917759,GB,POINT (-4.074619350172207 55.879177587611366)
way/119315549-275,275,f,Substation,f,way/119315549,-4.149163249,55.82271837,GB,POINT (-4.149163249229083 55.82271836708512)
way/119315557-275,275,f,Substation,f,way/119315557,-4.203844206,55.83533733,GB,POINT (-4.203844205933915 55.83533733009105)
way/119616836-400,400,f,Substation,f,way/119616836,-3.154925324,51.01694852,GB,POINT (-3.154925324051084 51.01694852410125)
way/1214332448-275,275,f,Substation,f,way/1214332448,-3.968926579,52.98077866,GB,POINT (-3.968926578948604 52.98077866447938)
way/121820285-275,275,f,Substation,f,way/121820285,-3.753905922,51.56292576,GB,POINT (-3.7539059217115183 51.562925761876336)
way/123037622-275,275,f,Substation,f,way/123037622,-3.687712141,51.53597754,GB,POINT (-3.687712141091398 51.535977535327056)
way/123129049-275,275,f,Substation,f,way/123129049,-3.210333037,55.94695003,GB,POINT (-3.21033303744136 55.9469500256223)
way/123866712-275,275,f,Substation,f,way/123866712,-1.458499555,53.32967511,GB,POINT (-1.4584995553720672 53.32967510880406)
way/1252341626-275,275,f,Substation,f,way/1252341626,-3.161991811,56.60968212,GB,POINT (-3.1619918105419913 56.6096821205375)
way/125860302-275,275,f,Substation,f,way/125860302,-4.587895868,55.45735248,GB,POINT (-4.587895867853958 55.45735248094014)
way/1262971878,320,t,Substation,f,way/1262971878,-3.452184944,58.4799679,GB,POINT (-3.452184943694071 58.47996790376149)
way/1262971878-275,275,f,Substation,f,way/1262971878,-3.451974079,58.47918791,GB,POINT (-3.4519740787330475 58.479187912905694)
way/1263095953-400,400,f,Substation,f,way/1263095953,-4.718064557,57.13534566,GB,POINT (-4.718064557225571 57.13534565675838)
way/127045977-275,275,f,Substation,f,way/127045977,-4.474247602,57.2686026,GB,POINT (-4.474247602459007 57.268602602158126)
way/127184694-400,400,f,Substation,f,way/127184694,-2.693146331,52.70928629,GB,POINT (-2.6931463305726107 52.709286290883064)
way/1274396508-400,400,f,Substation,f,way/1274396508,-3.074227981,53.22972663,GB,POINT (-3.0742279809374224 53.22972662832485)
way/1275300370-275,275,f,Substation,f,way/1275300370,0.237482345,51.46350436,GB,POINT (0.2374823453902237 51.463504357789716)
way/1275300370-400,400,f,Substation,f,way/1275300370,0.237744651,51.46371849,GB,POINT (0.2377446512443898 51.463718492750935)
way/1297690788-275,275,f,Substation,f,way/1297690788,-1.292040148,54.70055665,GB,POINT (-1.292040147636914 54.70055664823718)
way/1307462736-275,275,f,Substation,f,way/1307462736,-4.724597383,56.32414272,GB,POINT (-4.724597383115667 56.32414272183391)
way/133323988-275,275,f,Substation,f,way/133323988,-1.799298759,57.47334454,GB,POINT (-1.7992987590027574 57.473344543943696)
way/133323988-400,400,f,Substation,f,way/133323988,-1.799010269,57.47356357,GB,POINT (-1.799010268972514 57.473563566004735)
way/135693940-275,275,f,Substation,f,way/135693940,-2.167232748,53.52874443,GB,POINT (-2.1672327476621773 53.52874442934472)
way/137050527,500,t,Substation,f,way/137050527,-5.770469013,54.84320149,GB,POINT (-5.770469013098239 54.84320148529032)
way/137050527-275,275,f,Substation,f,way/137050527,-5.770344034,54.84331485,GB,POINT (-5.7703440335367775 54.84331485406556)
way/142185552-275,275,f,Substation,f,way/142185552,-6.167467133,54.80150044,GB,POINT (-6.167467132962233 54.80150044393135)
way/142397822-400,400,f,Substation,f,way/142397822,-1.160724325,54.52456442,GB,POINT (-1.1607243254805824 54.52456441901472)
way/142741752-400,400,f,Substation,f,way/142741752,-1.914974578,52.7566815,GB,POINT (-1.914974578190724 52.75668149843619)
way/142841192-275,275,f,Substation,f,way/142841192,-1.866071342,53.81028405,GB,POINT (-1.8660713421401691 53.81028405208352)
way/142841192-400,400,f,Substation,f,way/142841192,-1.865806421,53.81050283,GB,POINT (-1.8658064214384853 53.81050282759089)
way/142845284-400,400,f,Substation,f,way/142845284,-4.1687269,52.93910015,GB,POINT (-4.168726899864967 52.93910014731802)
way/143105488-275,275,f,Substation,f,way/143105488,-4.43271067,55.44682731,GB,POINT (-4.432710670229936 55.446827308900716)
way/143110887-275,275,f,Substation,f,way/143110887,-4.44548296,55.45627973,GB,POINT (-4.44548296016312 55.45627972781541)
way/143221984-275,275,f,Substation,f,way/143221984,-2.163942527,55.01179066,GB,POINT (-2.1639425269957417 55.01179065972986)
way/143383456-400,400,f,Substation,f,way/143383456,-3.867342197,55.61532861,GB,POINT (-3.867342196782885 55.615328609990875)
way/143388743-275,275,f,Substation,f,way/143388743,-4.495471092,55.59781347,GB,POINT (-4.4954710923282555 55.59781346643565)
way/143398451-275,275,f,Substation,f,way/143398451,-4.478380958,55.80892556,GB,POINT (-4.4783809576370475 55.808925560990055)
way/143398451-400,400,f,Substation,f,way/143398451,-4.478118487,55.80914988,GB,POINT (-4.4781184871214625 55.80914987836295)
way/143783006-400,400,f,Substation,f,way/143783006,0.715474718,51.44475984,GB,POINT (0.7154747178344087 51.44475983920318)
way/143905069-275,275,f,Substation,f,way/143905069,-0.793715126,53.22793089,GB,POINT (-0.7937151256201481 53.22793088585751)
way/143905069-400,400,f,Substation,f,way/143905069,-0.793448115,53.22814734,GB,POINT (-0.7934481145304575 53.228147338423845)
way/147475796-275,275,f,Substation,f,way/147475796,-1.386335402,53.41217787,GB,POINT (-1.3863354024414443 53.41217786770022)
way/148266260-275,275,f,Substation,f,way/148266260,-5.878190233,54.56248157,GB,POINT (-5.878190233467743 54.56248157489744)
way/148382435,500,t,Substation,f,way/148382435,-4.980750725,55.06969911,GB,POINT (-4.9807507247075335 55.069699109091)
way/148382435-275,275,f,Substation,f,way/148382435,-4.980622976,55.06981172,GB,POINT (-4.980622976239217 55.06981172261623)
way/153884024-275,275,f,Substation,f,way/153884024,-3.061787852,53.36583655,GB,POINT (-3.0617878523398976 53.36583655393773)
way/159038999-400,400,f,Substation,f,way/159038999,-1.766954767,53.51670852,GB,POINT (-1.7669547671856123 53.516708521144466)
way/159736514-275,275,f,Substation,f,way/159736514,-1.351425759,53.40126502,GB,POINT (-1.3514257588175729 53.401265023444324)
way/159736514-400,400,f,Substation,f,way/159736514,-1.351160545,53.40148268,GB,POINT (-1.3511605449978 53.40148268071731)
way/160279525-400,400,f,Substation,f,way/160279525,-0.151431822,53.56574009,GB,POINT (-0.1514318224168043 53.56574008529663)
way/160580052-400,400,f,Substation,f,way/160580052,-0.992442548,53.73621727,GB,POINT (-0.9924425476355145 53.736217273495136)
way/160616357-275,275,f,Substation,f,way/160616357,-1.32061173,53.44549313,GB,POINT (-1.3206117304236118 53.445493129578985)
way/162124572-275,275,f,Substation,f,way/162124572,-4.349233635,55.91588855,GB,POINT (-4.3492336345956595 55.91588854752725)
way/163036722-275,275,f,Substation,f,way/163036722,-2.216340426,53.62169306,GB,POINT (-2.216340426449257 53.621693063853314)
way/163036722-400,400,f,Substation,f,way/163036722,-2.216078343,53.62191256,GB,POINT (-2.216078342625674 53.621912560011346)
way/164380199-275,275,f,Substation,f,way/164380199,-1.823010824,53.6944609,GB,POINT (-1.8230108237974205 53.69446090012766)
way/16582436-400,400,f,Substation,f,way/16582436,0.329934476,51.42826879,GB,POINT (0.3299344757472913 51.4282687923719)
way/166703758-275,275,f,Substation,f,way/166703758,-4.26229437,55.77430062,GB,POINT (-4.262294369796011 55.77430061542017)
way/166703759-275,275,f,Substation,f,way/166703759,-4.25680578,55.90303777,GB,POINT (-4.256805779935858 55.90303777310213)
way/166703764-275,275,f,Substation,f,way/166703764,-4.193884489,55.78590682,GB,POINT (-4.193884488759053 55.78590682057763)
way/166703766-220,220,f,Substation,f,way/166703766,-2.948293468,57.52281119,GB,POINT (-2.948293467640314 57.522811186876915)
way/166703766-275,275,f,Substation,f,way/166703766,-2.948227259,57.52262412,GB,POINT (-2.94822725917826 57.52262412204681)
way/166703766-400,400,f,Substation,f,way/166703766,-2.947945143,57.52284556,GB,POINT (-2.947945142649245 57.52284555923156)
way/166764802-275,275,f,Substation,f,way/166764802,-6.027411367,54.57472272,GB,POINT (-6.027411367158967 54.57472272321531)
way/167621580-275,275,f,Substation,f,way/167621580,-2.023180017,52.4984543,GB,POINT (-2.023180017205035 52.498454301351046)
way/167621580-400,400,f,Substation,f,way/167621580,-2.022923009,52.49867332,GB,POINT (-2.022923008696207 52.498673322624434)
way/183904046-275,275,f,Substation,f,way/183904046,-1.471399314,54.940107,GB,POINT (-1.471399313960612 54.94010699884235)
way/184584639-275,275,f,Substation,f,way/184584639,-1.449609764,54.97335023,GB,POINT (-1.4496097639791088 54.9733502254047)
