bus501_id,x_501,y_501,bus385_id,x_385,y_385
way/730870685-275,-3.681578146,56.05104314,6472.0,-3.632355,56.063603
way/422486984-400,-3.889260663,56.03931235,,,
way/422486984-275,-3.889527804,56.03908918,6463.0,-3.922119,56.078167
relation/2452471-275,-3.860721547,56.00757672,,,
way/76468460-275,-3.693769983,56.00460775,6470.0,-3.733978,55.998381
way/65482882-400,-2.96792583,55.96685808,6483.0,-2.949829,55.955351
way/65482882-275,-2.968197672,55.96663681,,,
way/111550033-400,-2.4103305,55.96619115,,,
way/105304263-275,-3.184996911,55.96536976,,,
way/32342648-275,-3.124479455,55.95330177,6479.0,-3.088531,55.933818
way/97551523-400,-2.416744038,55.94883803,6490.0,-2.393646,55.943048
way/123129049-275,-3.210333037,55.94695003,,,
way/40685663-275,-3.201663327,55.93121428,6477.0,-3.24234,55.881474
way/86071326-400,-4.376998788,55.9300736,,,
way/86071326-275,-4.377262536,55.92984947,6456.0,-4.437103,55.919969
way/32075668-275,-3.305473457,55.92840882,,,
GB11-275,-3.1796917,55.9246204,,,
way/91056548-400,-4.708722533,55.91593627,6455.0,-4.732361,55.922277
way/162124572-275,-4.349233635,55.91588855,,,
way/262523325-400,-2.539732673,55.91508806,6489.0,-2.552948,55.885325
way/96905262-400,-3.035949017,55.90866255,6481.0,-3.02948,55.914582
way/96905262-275,-3.036220121,55.90844114,8034.0,-3.056946,55.884555
GB12-275,-3.1786274,55.9031338,,,
way/166703759-275,-4.25680578,55.90303777,6458.0,-4.250336,55.901496
way/27332350-275,-3.308887651,55.90228535,,,
way/27163121-400,-3.16536086,55.89162814,6480.0,-3.131104,55.883014
way/27163121-275,-3.165631141,55.89140647,,,
GB13-400,-2.93891761,55.88469412,7471.0,-2.948422918,55.91886224
way/119315534-275,-4.07461935,55.87917759,,,
way/109073025-275,-4.255062262,55.87369771,6459.0,-4.254456,55.846795
way/308724683-275,-4.013229107,55.85120353,,,
way/119315557-275,-4.203844206,55.83533733,6465.0,-4.209137,55.863753
GB14-400,-4.5707774,55.8344676,,,
way/308724719-275,-3.992945468,55.82857437,6467.0,-3.990784,55.787385
way/262532045-400,-2.665759301,55.82497487,,,
way/222205173-275,-3.945801923,55.82439463,,,
way/119315549-275,-4.149163249,55.82271837,,,
way/143398451-400,-4.478118487,55.80914988,,,
way/143398451-275,-4.478380958,55.80892556,5900.0,-4.457703,55.751077
GB15-275,-4.1161377,55.79148895,,,
way/166703764-275,-4.193884489,55.78590682,5906.0,-4.196777,55.768076
way/166703758-275,-4.26229437,55.77430062,8744.0,-4.255829,55.697712
way/212779654-400,-3.928977017,55.76446612,5909.0,-3.876801,55.759577
way/212779654-275,-3.929242287,55.76424291,8035.0,-3.953705,55.763441
relation/7894974-400,-4.079846271,55.75191343,5908.0,-4.025116,55.758032
relation/7894974-275,-4.080110628,55.75168992,5907.0,-4.091034,55.692294
way/308653819-275,-4.163262053,55.74089307,,,
way/297840585-220,-4.895060251,55.71804399,,,
way/297840585,-4.89482119,55.71803677,,,
way/297840585-400,-4.894711935,55.71791699,5896.0,-4.880676,55.704677
way/677513264-220,-5.458135751,55.69692198,,,
way/308802191-275,-4.171318502,55.69555708,8037.0,-4.133606,55.692294
way/102198808-400,-2.329689325,55.66928737,5943.0,-2.276917,55.677584
way/143383456-400,-3.867342197,55.61532861,5911.0,-3.945465,55.624895
way/143388743-275,-4.495471092,55.59781347,5903.0,-4.53186,55.525521
way/100077745-400,-4.4631646,55.57638583,,,
way/100077745-275,-4.463425801,55.57616157,,,
way/335589232-275,-3.603829267,55.46517263,,,
way/125860302-275,-4.587895868,55.45735248,5899.0,-4.593658,55.408748
way/143110887-275,-4.44548296,55.45627973,,,
way/143105488-275,-4.43271067,55.44682731,5905.0,-4.402771,55.380671
