bus501_id,x_501,y_501,bus385_id,x_385,y_385
way/820229174-275,-4.245682384,57.42194651,8032,-3.754578,56.034459
way/820237569-400,-2.516056398,57.40999278,6469,-3.695526,56.026018
way/239248206-400,-4.792978682,57.32963357,8489,-3.696899,55.998381
way/689624522-275,-4.374689859,57.31756147,6471,-3.733978,55.998381
way/762272690-275,-4.066787747,57.30110569,6470,-3.733978,55.998381
way/127045977-275,-4.474247602,57.2686026,6484,-2.949829,55.955351
way/118821349-400,-2.383738174,57.21885734,6483,-2.949829,55.955351
way/118821349-275,-2.384021499,57.21863711,6478,-3.128357,55.952275
GB7-275,-2.138815132,57.1742089,6490,-2.393646,55.943048
way/1263095953-400,-4.718064557,57.13534566,6479,-3.088531,55.933818
way/689626274-400,-4.470529413,57.02726384,6455,-4.732361,55.922277
way/241491759-275,-2.347280722,56.9644504,6457,-4.437103,55.919969
way/495512692-400,-4.028475775,56.70699438,6456,-4.437103,55.919969
way/1252341626-275,-3.161991811,56.60968212,7471,-2.948422918,55.91886224
GB8-220,-1.7589614,56.5849318,6482,-3.02948,55.914582
way/111528318-220,-2.977991295,56.52122917,6481,-3.02948,55.914582
way/111528318-275,-2.977642045,56.52109693,6476,-3.249207,55.913812
way/307769998-275,-5.013490714,56.42011576,6488,-2.554321,55.909194
way/307717807-275,-5.112889333,56.40280357,6458,-4.250336,55.901496
way/1307462736-275,-4.724597383,56.32414272,8520,-2.509003,55.900726
way/495512689-400,-3.947205223,56.26205254,8033,-3.063812,55.899956
way/59736773-275,-3.201029099,56.2069709,6489,-2.552948,55.885325
way/95374266-275,-3.300651188,56.16422675,8034,-3.056946,55.884555
GB9-275,-3.3055849,56.1404298,6480,-3.131104,55.883014
way/89699558-275,-3.292936689,56.10595644,6477,-3.24234,55.881474
GB10-275,-3.719714103,56.08813281,6465,-4.209137,55.863753
way/89836009-275,-3.730603794,56.07508685,6466,-3.972931,55.86067
way/730870685-275,-3.681578146,56.05104314,6459,-4.254456,55.846795
way/422486984-400,-3.889260663,56.03931235,6467,-3.990784,55.787385
way/422486984-275,-3.889527804,56.03908918,5906,-4.196777,55.768076
relation/2452471-275,-3.860721547,56.00757672,8035,-3.953705,55.763441
way/76468460-275,-3.693769983,56.00460775,5910,-3.876801,55.759577
way/65482882-400,-2.96792583,55.96685808,5909,-3.876801,55.759577
way/65482882-275,-2.968197672,55.96663681,5908,-4.025116,55.758032
way/111550033-400,-2.4103305,55.96619115,5901,-4.457703,55.751077
way/105304263-275,-3.184996911,55.96536976,5900,-4.457703,55.751077
way/32342648-275,-3.124479455,55.95330177,5898,-4.801025,55.72247
way/97551523-400,-2.416744038,55.94883803,5913,-3.747711,55.718602
way/123129049-275,-3.210333037,55.94695003,7469,-3.709259,55.715508
way/40685663-275,-3.201663327,55.93121428,8036,-4.351959,55.713961
way/86071326-400,-4.376998788,55.9300736,5902,-4.305267,55.706224
way/86071326-275,-4.377262536,55.92984947,5896,-4.880676,55.704677
way/32075668-275,-3.305473457,55.92840882,8565,-3.794403,55.69926
GB11-275,-3.1796917,55.9246204,8744,-4.255829,55.697712
way/91056548-400,-4.708722533,55.91593627,5907,-4.091034,55.692294
way/162124572-275,-4.349233635,55.91588855,8037,-4.133606,55.692294
way/262523325-400,-2.539732673,55.91508806,5943,-2.276917,55.677584
way/96905262-400,-3.035949017,55.90866255,5912,-3.945465,55.624895
way/96905262-275,-3.036220121,55.90844114,5911,-3.945465,55.624895
GB12-275,-3.1786274,55.9031338,5904,-4.53186,55.525521
way/166703759-275,-4.25680578,55.90303777,5903,-4.53186,55.525521
way/27332350-275,-3.308887651,55.90228535,5914,-3.777924,55.452384
way/27163121-400,-3.16536086,55.89162814,5915,-3.525238,55.422779
way/27163121-275,-3.165631141,55.89140647,5899,-4.593658,55.408748
GB13-400,-2.93891761,55.88469412,5905,-4.402771,55.380671
way/119315534-275,-4.07461935,55.87917759,5918,-3.493652,55.375209
way/109073025-275,-4.255062262,55.87369771,5917,-3.558197,55.301793
way/308724683-275,-4.013229107,55.85120353,5916,-3.558197,55.301793
way/119315557-275,-4.203844206,55.83533733,5919,-3.440094,55.215707
GB14-400,-4.5707774,55.8344676,5949,-1.608124,55.178868
way/308724719-275,-3.992945468,55.82857437,5948,-1.608124,55.178868
way/262532045-400,-2.665759301,55.82497487,5950,-1.572418,55.113728
way/222205173-275,-3.945801923,55.82439463,8017,-1.888275,55.096445
way/119315549-275,-4.149163249,55.82271837,5893,-4.946594,55.072864
way/143398451-400,-4.478118487,55.80914988,5920,-3.217621,55.060282
way/143398451-275,-4.478380958,55.80892556,5951,-1.528473,55.044549
GB15-275,-4.1161377,55.79148895,5944,-2.290649,55.032745
way/166703764-275,-4.193884489,55.78590682,5946,-1.864929,55.001251
way/166703758-275,-4.26229437,55.77430062,5945,-1.864929,55.001251
way/212779654-400,-3.928977017,55.76446612,5953,-1.479034,54.974461
way/212779654-275,-3.929242287,55.76424291,5922,-2.971802,54.93661
relation/7894974-400,-4.079846271,55.75191343,5921,-2.971802,54.93661
relation/7894974-275,-4.080110628,55.75168992,5954,-1.447449,54.897144
way/308653819-275,-4.163262053,55.74089307,5959,-1.400757,54.824426
way/297840585-220,-4.895060251,55.71804399,5958,-1.400757,54.824426
way/297840585,-4.89482119,55.71803677,5955,-1.643829,54.741272
way/297840585-400,-4.894711935,55.71791699,5960,-1.288147,54.715895
way/677513264-220,-5.458135751,55.69692198,5961,-1.234589,54.677801
way/308802191-275,-4.171318502,55.69555708,5957,-1.485901,54.661124
way/102198808-400,-2.329689325,55.66928737,5956,-1.485901,54.661124
way/143383456-400,-3.867342197,55.61532861,5962,-1.322479,54.646823
way/143388743-275,-4.495471092,55.59781347,5963,-1.128845,54.616617
way/100077745-400,-4.4631646,55.57638583,5964,-1.128845,54.587184
way/100077745-275,-4.463425801,55.57616157,5967,-1.034088,54.566489
way/335589232-275,-3.603829267,55.46517263,5966,-1.18927,54.553748
way/125860302-275,-4.587895868,55.45735248,5965,-1.18927,54.553748
way/143110887-275,-4.44548296,55.45627973,5952,-2.735596,54.303704
way/143105488-275,-4.43271067,55.44682731,8027,-2.679291,54.047295
way/284874050-400,-3.672311398,55.43735368,5987,-1.463928,54.043264
way/284874050-275,-3.672576152,55.43713102,5924,-2.857819,54.043264
way/472289073-275,-3.609040011,55.40454054,5968,-2.756195,54.028747
way/677510482-275,-4.335031211,55.34450012,6019,-1.153564,53.985973
way/676646876-400,-3.428474968,55.30102086,6020,-0.998383,53.968205
way/642490160,-1.540426916,55.14647596,6021,-0.791016,53.896247
way/310502642-275,-1.531549937,55.14120363,5925,-2.927856,53.896247
way/310502642-400,-1.531218281,55.14106731,8026,-2.838593,53.859007
way/260300448-275,-4.766018046,55.13763828,5986,-1.808624,53.841184
way/148382435-275,-4.980622976,55.06981172,5985,-1.808624,53.841184
way/148382435,-4.980750725,55.06969911,5969,-2.184906,53.81849
way/676775628-275,-4.763695263,55.049358,6035,-0.42984,53.805517
way/402783212-275,-7.24826436,55.04227531,6034,-0.42984,53.805517
relation/10377509-400,-3.050444102,55.03199063,5989,-1.487274,53.803895
way/96630594-275,-1.500057562,55.02367531,5988,-1.649323,53.796595
GB16-400,-1.803404057,55.0152563,6037,-0.149689,53.790917
way/143221984-275,-2.163942527,55.01179066,6036,-0.33783,53.773066
way/91955171-400,-1.742986904,54.97785259,5971,-2.71637,53.739777
way/91955171-275,-1.743259312,54.97763398,5970,-2.71637,53.739777
way/184584639-275,-1.449609764,54.97335023,6025,-1.203003,53.724342
relation/14921826-400,-2.962139659,54.94236341,6024,-1.203003,53.724342
relation/14921826-275,-2.96240536,54.94214226,6023,-1.2854,53.724342
way/183904046-275,-1.471399314,54.940107,6022,-1.2854,53.724342
way/200635683-275,-1.457754335,54.88090288,6040,-0.199127,53.721904
way/137050527-275,-5.770344034,54.84331485,6032,-0.898132,53.718654
way/137050527,-5.770469013,54.84320149,6026,-1.130219,53.691015
way/200511209-400,-1.40454287,54.80512785,6039,-0.335083,53.681255
way/200511209-275,-1.404816013,54.80490997,8021,-0.572400836,53.66556511
way/142185552-275,-6.167467133,54.80150044,5990,-1.763306,53.660102
GB17-275,-1.409093389,54.75666396,6041,-0.254059,53.651964
