LoadID,bus_name,load_weight,RegionName
201,way/315213320-275,0.003550952,Fiddlers Ferry
202,way/163036722-400,0.002958177,Rochdale
203,way/163036722-400,0.002958177,Rochdale
204,way/97256377-400,0.003061723,Kearsley
205,way/97256377-400,0.003061723,Kearsley
206,way/92529432-275,0.003495481,Carrington
207,way/92529432-275,0.003495481,Carrington
208,way/92529432-275,0.003217359,Carrington
209,way/135693940-275,0.002873895,Whitegate
210,way/92737152-275,0.003504345,South Manchester
211,GB40-275,0.003145827,Bredbury
212,way/142841192-400,0.004140886,Bradford West
213,way/142841192-400,0.004140886,Bradford West
214,way/186747788-275,0.00289959,Knaresborough
215,way/25492769-275,0.004144486,Kirkstall
216,relation/10925187-275,0.002766474,Skelton Grange
217,GB28-275,0.003836865,Skelton Grange
218,relation/9598269-400,0.003802485,Stalybridge
219,relation/9598269-400,0.003802485,Stalybridge
220,way/1097582201-400,0.004706528,Elland
221,way/90539508-400,0.00515948,West Melton
222,way/90539508-400,0.00515948,West Melton
223,way/90539508-400,0.004783689,West Melton
224,way/90539508-400,0.004484294,West Melton
225,way/101077623-275,0.000825777,Neepsend
226,way/116539370-275,0.004114621,Pitsmoor
227,way/23164256-400,0.002576484,Frodsham
228,way/23164256-400,0.002576484,Frodsham
229,way/127184694-400,0.003815977,Shrewsbury
230,relation/7886014-400,0.003940015,Ironbridge
231,way/92221420-275,0.002664285,Bushbury
232,way/92419253-400,0.004137458,Macclesfield
233,way/92419253-400,0.004137458,Macclesfield
234,way/796648851-275,0.003614873,Jordanthorpe
235,way/123866712-275,0.004605133,Norton Lees
236,way/123866712-275,0.004605133,Norton Lees
237,way/92331023-275,0.00527014,Chesterfield
238,way/167621580-400,0.002196582,Oldbury
239,GB54-400,0.003628284,Rugeley
240,way/94543520-275,0.003482961,Bustleholme
241,way/71118225-400,0.004322925,Drakelow
242,way/87204522-400,0.002900722,Drakelow
243,way/87204522-400,0.002900722,Drakelow
244,way/49499923-275,0.00416457,Hams Hall
245,way/49499923-275,0.00416457,Hams Hall
246,way/109463536-275,0.001624368,Poppleton
247,way/90125443-400,0.003404822,Osbaldwick
248,way/25629803-400,0.004199552,Creyke Beck
249,way/193617444-400,0.000757399,Ferrybridge (_M)
250,way/193617444-400,0.000757399,Ferrybridge (_M)
251,way/90547674-400,0.000701596,Ferrybridge (_M)
252,way/90547674-400,0.000701596,Ferrybridge (_M)
253,way/313495269-400,0.001031459,Ferrybridge (_M)
254,way/785730495-275,0.001703697,Thorpe Marsh
255,way/785730495-275,0.001703697,Thorpe Marsh
256,way/159736514-400,0.002918202,Templeborough
257,way/115887437-275,0.001254006,Thorpe Marsh
258,way/159736514-275,0.005112499,Templeborough
259,way/160580052-400,0.001217669,Camblesforth
260,way/314338790-400,0.002963031,Staythorpe
261,way/33917128-275,0.004960226,Creyke Beck
262,way/33917128-275,0.004960226,Creyke Beck
263,way/33917128-400,0.005000434,Creyke Beck
264,way/635836276-275,0.00402455,Saltend North
265,GB30-400,0.003169142,Keadby
266,GB32-400,0.002891287,Grimsby West
267,way/635836276-275,0.001179492,Saltend North
