NationalGridBmUnit,lat,lon,capacity,carrier
I2D-TRFD1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-TRFG1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-TRLS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-VOLT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-VSAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-VTET1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-XNON1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ALEU1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ALIP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ARON1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-AXPO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-BDEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-BKWE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-BNPS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-BPGM1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CBST1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CENT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CETL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CEZC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CNGS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CNRE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CONS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CONV1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-COPN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DARE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DMCC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DSKC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DUEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DUGE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DVAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-EDFT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-EDMK1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ELEE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ELTR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ENKI1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ENSC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ENSP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ENTC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-EPCO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-EZCO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-GASE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-GAZP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-GLEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-GRMT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-HART1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-HELI1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-IBES1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-INCM1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-MCRA1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-MFTE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-MQBN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NEAS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NEHO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NITR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NORL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NTPL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NVAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-OMPX1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-OPMX1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-OUTL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-PLAN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-PREP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-PWMR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-QUAR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-QUEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-RESP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-RISQ1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-RWES1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-SETL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-SSEG1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-STAT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-TGPL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-TRFD1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-TRFG1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-TRLS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-VOLT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-VSAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-VTET1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-XNON1,51.808076923076925,0.8645384615384615,0.0,interconnector
IBD-DARE1,51.46,0.653,0.0,interconnector
IBG-ALIP1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ALPE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-BDEN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-BKWE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-BPGE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-BRTN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CACM1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CBST1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CENT1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CETA1,51.46000000000001,0.6530000000000001,0.0,interconnector
