NationalGridBmUnit,lat,lon,capacity,carrier
IFG-ALIP1,51.105,0.9734000000000004,0.0,interconnector
IFG-ARON1,51.105,0.9734000000000004,0.0,interconnector
IFG-BDEN1,51.105,0.9734000000000004,0.0,interconnector
IFG-BKWE1,51.105,0.9734000000000004,0.0,interconnector
IFG-BNPS1,51.105,0.9734000000000004,0.0,interconnector
IFG-BPGE1,51.105,0.9734000000000004,0.0,interconnector
IFG-CBST1,51.105,0.9734000000000004,0.0,interconnector
IFG-CETL1,51.105,0.9734000000000004,0.0,interconnector
IFG-CEZC1,51.105,0.9734000000000004,0.0,interconnector
IFG-CGML1,51.105,0.9734000000000004,0.0,interconnector
IFG-CNGS1,51.105,0.9734000000000004,0.0,interconnector
IFG-CNRE1,51.105,0.9734000000000004,0.0,interconnector
IFG-CONS1,51.105,0.9734000000000004,0.0,interconnector
IFG-CONV1,51.105,0.9734000000000004,0.0,interconnector
IFG-COPN1,51.105,0.9734000000000004,0.0,interconnector
IFG-DARE1,51.105,0.9734000000000004,0.0,interconnector
IFG-DMCC1,51.105,0.9734000000000004,0.0,interconnector
IFG-DNGN1,51.105,0.9734000000000004,0.0,interconnector
IFG-DSKC1,51.105,0.9734000000000004,0.0,interconnector
IFG-DUEN1,51.105,0.9734000000000004,0.0,interconnector
IFG-DUFE1,51.105,0.9734000000000004,0.0,interconnector
IFG-DVAL1,51.105,0.9734000000000004,0.0,interconnector
IFG-ECCA1,51.105,0.9734000000000004,0.0,interconnector
IFG-EDFT1,51.105,0.9734000000000004,0.0,interconnector
IFG-EDMK1,51.105,0.9734000000000004,0.0,interconnector
IFG-EGLE1,51.105,0.9734000000000004,0.0,interconnector
IFG-ELEE1,51.105,0.9734000000000004,0.0,interconnector
IFG-ELTR1,51.105,0.9734000000000004,0.0,interconnector
IFG-ENEL1,51.105,0.9734000000000004,0.0,interconnector
IFG-ENET1,51.105,0.9734000000000004,0.0,interconnector
IFG-ENKI1,51.105,0.9734000000000004,0.0,interconnector
IFG-ENSC1,51.105,0.9734000000000004,0.0,interconnector
IFG-ENSP1,51.105,0.9734000000000004,0.0,interconnector
IFG-ENTC1,51.105,0.9734000000000004,0.0,interconnector
IFG-ENVM1,51.105,0.9734000000000004,0.0,interconnector
IFG-EOET1,51.105,0.9734000000000004,0.0,interconnector
IFG-EPCO1,51.105,0.9734000000000004,0.0,interconnector
IFG-ERVA1,51.105,0.9734000000000004,0.0,interconnector
IFG-EZCO1,51.105,0.9734000000000004,0.0,interconnector
IFG-FPCD1,51.105,0.9734000000000004,0.0,interconnector
IFG-GASE1,51.105,0.9734000000000004,0.0,interconnector
IFG-GAZP1,51.105,0.9734000000000004,0.0,interconnector
IFG-GDFE1,51.105,0.9734000000000004,0.0,interconnector
IFG-GLEN1,51.105,0.9734000000000004,0.0,interconnector
IFG-GRMT1,51.105,0.9734000000000004,0.0,interconnector
IFG-HART1,51.105,0.9734000000000004,0.0,interconnector
IFG-HELI1,51.105,0.9734000000000004,0.0,interconnector
IFG-IBES1,51.105,0.9734000000000004,0.0,interconnector
IFG-INCM1,51.105,0.9734000000000004,0.0,interconnector
IFG-KCST1,51.105,0.9734000000000004,0.0,interconnector
IFG-LTFD1,51.105,0.9734000000000004,0.0,interconnector
IFG-MCRA1,51.105,0.9734000000000004,0.0,interconnector
IFG-MFTE1,51.105,0.9734000000000004,0.0,interconnector
IFG-MQBN1,51.105,0.9734000000000004,0.0,interconnector
IFG-NEAS1,51.105,0.9734000000000004,0.0,interconnector
IFG-NEHO1,51.105,0.9734000000000004,0.0,interconnector
IFG-NITR1,51.105,0.9734000000000004,0.0,interconnector
IFG-NORL1,51.105,0.9734000000000004,0.0,interconnector
IFG-NTPL1,51.105,0.9734000000000004,0.0,interconnector
IFG-NVAL1,51.105,0.9734000000000004,0.0,interconnector
IFG-OMPX1,51.105,0.9734000000000004,0.0,interconnector
IFG-OPMX1,51.105,0.9734000000000004,0.0,interconnector
IFG-OUTL1,51.105,0.9734000000000004,0.0,interconnector
IFG-PLAN1,51.105,0.9734000000000004,0.0,interconnector
IFG-PTRS1,51.105,0.9734000000000004,0.0,interconnector
IFG-PWMR1,51.105,0.9734000000000004,0.0,interconnector
IFG-QUAR1,51.105,0.9734000000000004,0.0,interconnector
IFG-QUEN1,51.105,0.9734000000000004,0.0,interconnector
IFG-RESP1,51.105,0.9734000000000004,0.0,interconnector
IFG-RISQ1,51.105,0.9734000000000004,0.0,interconnector
IFG-RWES1,51.105,0.9734000000000004,0.0,interconnector
IFG-SETL1,51.105,0.9734000000000004,0.0,interconnector
IFG-SSEG1,51.105,0.9734000000000004,0.0,interconnector
IFG-STAT1,51.105,0.9734000000000004,0.0,interconnector
IFG-TFEE1,51.105,0.9734000000000004,0.0,interconnector
IFG-TRFD1,51.105,0.9734000000000004,0.0,interconnector
IFG-TRFG1,51.105,0.9734000000000004,0.0,interconnector
IFG-TRLS1,51.105,0.9734000000000004,0.0,interconnector
IFG-VOLT1,51.105,0.9734000000000004,0.0,interconnector
IFG-VSAL1,51.105,0.9734000000000004,0.0,interconnector
IFG-VTFS1,51.105,0.9734000000000004,0.0,interconnector
IFG-XNON1,51.105,0.9734000000000004,0.0,interconnector
ILD-ARON1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-BKWE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-BPGM1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-CBST1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-CENT1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-CETL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-CEZC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-CONS1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-COPN1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-DARE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-DMCC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-DSKC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-DUEN1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-DUFE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-DVAL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-EDFT1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-EDMK1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-ELTR1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-ENGM1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-ENSC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-ENTC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-EPCO1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-GLEN1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-HART1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-INCM1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-MCRA1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-MFTE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-NEAS1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-NEHO1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-NITR1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-NORL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-NTPL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-NWAT1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-OPMX1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-OUTL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-PREP1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-PWMR1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-QUAR1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-RESP1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-RISQ1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-RWES1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-SEFE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-SETL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-TGPL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-TRFD1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-TRFG1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-TRLS1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-VOLT1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-VSAL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-VTFS1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILD-XNON1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-ARON1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-BKWE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-BPGM1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-CBST1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-CENT1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-CETL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-CEZC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-CONS1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-COPN1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-DARE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-DMCC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-DSKC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-DUEN1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-DUFE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-DVAL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-EDFT1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-EDMK1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-ELTR1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-ENGM1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-ENSC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-ENTC1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-EPCO1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-EZCO1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-GLEN1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-HART1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-HELI1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-INCM1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-MCRA1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-MFTE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-NEAS1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-NEHO1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-NITR1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-NORL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-NTPL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-NWAT1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-OPMX1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-OUTL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-PREP1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-PWMR1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-QUAR1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-RESP1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-RISQ1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-RWES1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-SEFE1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-SETL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-TGPL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-TRFD1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-TRFG1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-TRLS1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-VOLT1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-VSAL1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-VTFS1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ILG-XNON1,51.59477777777778,-0.0017444444444444,0.0,interconnector
ING-ALIP1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-ALPE1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-ARON1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-AXPO1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-BDEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-BKWE1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-BPGM1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-CBST1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-CENT1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-CEZC1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-CNGS1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-CONS1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-CONV1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-COPN1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-DARE1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-DMCC1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-DSKC1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-DUFE1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-DVAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-EDFT1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-EDMK1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-ELEE1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-ELTR1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-ENET1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-ENTC1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-EPCO1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-GASE1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-GAZP1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-GLEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-HELI1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-IDCE1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-INCM1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-KCST1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-LMUS1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-MCRA1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-MFTE1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-NEAS1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-NEHO1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-NEMO1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-NITR1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-NORL1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-NTPL1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-OMPX1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-OPMX1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-OUTL1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-PWMR1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-QUEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-RESP1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-RISQ1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-RWES1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-SETL1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-SSEG1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-STAT1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-TGPL1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-TRFD1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-TRFG1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-TRLS1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-VOLT1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-VSAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-VTET1,51.808076923076925,0.8645384615384615,0.0,interconnector
ING-XNON1,51.808076923076925,0.8645384615384615,0.0,interconnector
ISD-DMCC1,55.144,-1.521,0.0,interconnector
ISD-NDPL1,55.144,-1.521,0.0,interconnector
ISG-DMCC1,55.144,-1.521,0.0,interconnector
ISG-NDPL1,55.144,-1.521,0.0,interconnector
IVD-ALIP1,52.931,-0.221,0.0,interconnector
IVD-BDEN1,52.931,-0.221,0.0,interconnector
IVD-CACM1,52.931,-0.221,0.0,interconnector
IVD-COPN1,52.931,-0.221,0.0,interconnector
IVD-DSKC1,52.931,-0.221,0.0,interconnector
IVD-DVAL1,52.931,-0.221,0.0,interconnector
IVD-EDMK1,52.931,-0.221,0.0,interconnector
IVD-EENG1,52.931,-0.221,0.0,interconnector
IVD-ELTR1,52.931,-0.221,0.0,interconnector
IVD-ENSC1,52.931,-0.221,0.0,interconnector
IVD-EZCO1,52.931,-0.221,0.0,interconnector
IVD-HART1,52.931,-0.221,0.0,interconnector
IVD-INCM1,52.931,-0.221,0.0,interconnector
IVD-MFTE1,52.931,-0.221,0.0,interconnector
IVD-NEAS1,52.931,-0.221,0.0,interconnector
IVD-NEHO1,52.931,-0.221,0.0,interconnector
IVD-NITR1,52.931,-0.221,0.0,interconnector
IVD-NORL1,52.931,-0.221,0.0,interconnector
IVD-NTPL1,52.931,-0.221,0.0,interconnector
IVD-OPMX1,52.931,-0.221,0.0,interconnector
IVD-PWMR1,52.931,-0.221,0.0,interconnector
IVD-QUEN1,52.931,-0.221,0.0,interconnector
IVD-RESP1,52.931,-0.221,0.0,interconnector
IVD-RWES1,52.931,-0.221,0.0,interconnector
IVD-TGPL1,52.931,-0.221,0.0,interconnector
IVD-TRLS1,52.931,-0.221,0.0,interconnector
IVD-VSAL1,52.931,-0.221,0.0,interconnector
IVD-VTFS1,52.931,-0.221,0.0,interconnector
IVG-ALIP1,52.931,-0.221,0.0,interconnector
IVG-BDEN1,52.931,-0.221,0.0,interconnector
IVG-CACM1,52.931,-0.221,0.0,interconnector
IVG-COPN1,52.931,-0.221,0.0,interconnector
IVG-DSKC1,52.931,-0.221,0.0,interconnector
IVG-DVAL1,52.931,-0.221,0.0,interconnector
IVG-EDMK1,52.931,-0.221,0.0,interconnector
IVG-EENG1,52.931,-0.221,0.0,interconnector
IVG-ELTR1,52.931,-0.221,0.0,interconnector
IVG-ENSC1,52.931,-0.221,0.0,interconnector
IVG-EZCO1,52.931,-0.221,0.0,interconnector
IVG-HART1,52.931,-0.221,0.0,interconnector
IVG-INCM1,52.931,-0.221,0.0,interconnector
IVG-MFTE1,52.931,-0.221,0.0,interconnector
IVG-NEAS1,52.931,-0.221,0.0,interconnector
IVG-NEHO1,52.931,-0.221,0.0,interconnector
IVG-NITR1,52.931,-0.221,0.0,interconnector
IVG-NORL1,52.931,-0.221,0.0,interconnector
IVG-NTPL1,52.931,-0.221,0.0,interconnector
IVG-OPMX1,52.931,-0.221,0.0,interconnector
IVG-PWMR1,52.931,-0.221,0.0,interconnector
IVG-QUEN1,52.931,-0.221,0.0,interconnector
IVG-RESP1,52.931,-0.221,0.0,interconnector
IVG-RWES1,52.931,-0.221,0.0,interconnector
IVG-TGPL1,52.931,-0.221,0.0,interconnector
IVG-TRLS1,52.931,-0.221,0.0,interconnector
IVG-VSAL1,52.931,-0.221,0.0,interconnector
IVG-VTFS1,52.931,-0.221,0.0,interconnector
CAS-BEU01,57.444705,-4.552586,0.0,cascade
CAS-CLU01,56.716948,-3.778355,0.0,cascade
CAS-CON01,57.619203,-4.830066,0.0,cascade
CAS-GAR01,57.066143,-5.289194,0.0,cascade
CAS-KIL01,56.470679,-4.307751,0.0,cascade
CAS-MOR01,57.144936,-4.962463,0.0,cascade
SLOY-1,56.200593,-4.735107,152.5,hydro
SLOY-4,56.200593,-4.735107,152.5,hydro
RHAMD-1,53.452,-1.319,0.0,load
ACHRW-1,55.923317,-2.492993,42.6,onwind
AFTOW-1,55.312,-4.165,50.0,onwind
AKGLW-2,54.970896,-4.713441,0.0,onwind
AKGLW-3,54.970896,-4.713441,0.0,onwind
ANSUW-1,55.14121,-4.63623,19.3,onwind
ARCHW-1,55.222814,-4.825652,120.0,onwind
BEATO-1,58.13,-3.07,588.0,offwind
BEATO-3,58.13,-3.07,588.0,offwind
BEATO-4,58.13,-3.07,588.0,offwind
BEINW-1,58.077876,-4.42749,108.8,onwind
BHLAW-1,55.117955,-4.033976,108.0,onwind
BLKWW-1,55.590763,-3.482666,52.9,onwind
BLLA-1,55.131,-1.401,188.0,offwind
BLLA-2,55.131,-1.401,188.0,offwind
BOWLW-1,55.683779,-5.537109,90.0,offwind
BRBEO-1,53.484,-3.273,348.0,offwind
BURWS-1,52.283,0.302,49.8,solar
BUSTB-1,52.549,-2.02,49.9,battery
CARR-1,53.455349,-2.504883,884.0,fossil
CARR-2,53.455349,-2.504883,884.0,fossil
CASKD-1,distributed,distributed,0.0,demand_flex
CDCL-1,53.219191,-0.86792,445.0,fossil
CGTHW-1,57.190085,-4.359638,69.5,onwind
CNQPS-1,53.231871,-3.080651,1380.0,fossil
CNQPS-2,53.231871,-3.080651,1380.0,fossil
CNQPS-3,53.231871,-3.080651,1380.0,fossil
CNQPS-4,53.231871,-3.080651,1380.0,fossil
COSO-1,51.542919,0.834961,0.0,fossil
COUWW-1,55.680679,-5.484929,20.5,onwind
COWB-1,51.709925,-1.189058,52.0,battery
CREAW-1,58.21,-4.504,72.6,onwind
CRGHW-1,56.389584,-4.790039,46.0,onwind
CRMLW-1,57.694245,-4.838531,54.4,onwind
CRUA-1,53.080827,-3.966064,440.0,PHS
CRUA-2,53.080827,-3.966064,440.0,PHS
CRUA-3,53.080827,-3.966064,440.0,PHS
CRUA-4,53.080827,-3.966064,440.0,PHS
CRYRW-2,55.893796,-2.39502,200.5,onwind
CRYRW-3,55.893796,-2.39502,200.5,onwind
CUMHW-1,55.567,-3.991,126.0,onwind
DALQW-1,55.585,-3.89,42.0,onwind
DAMC-1,51.460852,0.549316,0.0,fossil
DBAWO-1,54.7489,1.9301,1200.0,offwind
DBAWO-2,54.7489,1.9301,1200.0,offwind
DBAWO-3,54.7489,1.9301,1200.0,offwind
DBAWO-4,54.7489,1.9301,1200.0,offwind
DBAWO-5,54.7489,1.9301,1200.0,offwind
DDGNO-1,53.249,1.39,402.0,offwind
DDGNO-2,53.249,1.39,402.0,offwind
DDGNO-3,53.249,1.39,402.0,offwind
DDGNO-4,53.249,1.39,402.0,offwind
DIDCB5,51.62363,-1.26757,1440.0,fossil
DIDCB6,51.62363,-1.26757,1440.0,fossil
DINO-1,53.008173,-3.977051,1764.0,PHS
DINO-6,53.008173,-3.977051,1764.0,PHS
DNGBD-1,50.9134,0.95976,1120.0,nuclear
DNGB21,54.686534,-1.098633,1120.0,nuclear
DNGB22,54.686534,-1.098633,1120.0,nuclear
DNLWW-1,55.776573,-2.296143,29.8,onwind
DOREW-1,57.448,-2.795,177.0,onwind
DOREW-2,57.448,-2.795,177.0,onwind
DOUGW-1,55.593,-3.888,45.0,onwind
DRAXX-1,53.748711,-0.626221,3960.0,biomass
DRAXX-2,53.748711,-0.626221,3960.0,biomass
DRAXX-3,53.748711,-0.626221,3960.0,biomass
DRAXX-4,53.748711,-0.626221,3960.0,biomass
DRAXX-5,53.748711,-0.626221,3960.0,biomass
DRAXX-6,53.748711,-0.626221,3960.0,biomass
DRSLW-1,55.311291,-4.484173,69.0,onwind
EAAO-1,52.66,2.3,714.0,offwind
EAAO-2,52.66,2.3,714.0,offwind
EECL-1,51.662337,-0.022763,408.0,fossil
ERRO-1,56.734649,-3.790283,75.0,hydro
ERRO-2,56.734649,-3.790283,75.0,hydro
ERRO-3,56.734649,-3.790283,75.0,hydro
EWHLW-1,55.228662,-3.205105,51.0,onwind
FALGW-1,55.936895,-2.768555,144.0,onwind
FAARW-1,57.325,-4.094167,92.0,onwind
FAARW-2,57.325,-4.094167,92.0,onwind
FASN-1,57.325887,-4.793703,69.0,hydro
FASN2,57.325887,-4.793703,69.0,hydro
FFES-1,57.237449,-4.361572,360.0,PHS
FFES-3,57.237449,-4.361572,360.0,PHS
FFES-4,57.237449,-4.361572,360.0,PHS
FINL-1,56.279961,-3.614502,16.5,hydro
FOYE-1,56.34286,-5.393722,300.0,PHS
FOYE-2,56.34286,-5.393722,300.0,PHS
FOYED-1,57.262111111111,-4.4835277777778,300.0,PHS
GAOFO-1,51.893,2.035,353.0,offwind
GAOFO-3,51.893,2.035,353.0,offwind
GAOFO-2,51.893,2.035,353.0,offwind
GAOFO-4,51.893,2.035,353.0,offwind
GLNDO-1,57.15412,-5.174561,100.0,hydro
GLNKW-1,57.25,-4.241,48.5,onwind
GLWSW-1,55.534273,-3.921928,66.0,onwind
GNAPW-1,55.021378,-5.026858,22.0,onwind
GNFSW-1,51.739444,1.174444,172.0,offwind
GNFSW-2,51.739444,1.174444,172.0,offwind
GORDW-1,58.066256,-3.834229,109.75,onwind
GORDW-2,58.066256,-3.834229,109.75,onwind
GRAI-6,51.47454,0.703125,1378.0,fossil
GRAI-7,51.47454,0.703125,1378.0,fossil
GRAI-8,51.47454,0.703125,1378.0,fossil
GRAI1G,51.443055555556,0.70805555555556,1378.0,fossil
GRAI4G,51.443055555556,0.70805555555556,1378.0,fossil
GRIFW-1,56.529199,-3.394775,156.4,onwind
GRIFW-2,56.529199,-3.394775,156.4,onwind
GRMO-1,55.930741,-3.032227,0.0,fossil
GYMRO-15,53.459,-3.584,576.0,offwind
GYMRO-17,53.459,-3.584,576.0,offwind
GYMRO-26,53.459,-3.584,576.0,offwind
GYMRO-28,53.459,-3.584,576.0,offwind
HALSW-1,58.456,-3.425,34.0,onwind
HEYM11,51.138001,-3.317871,1150.0,nuclear
HEYM12,51.138001,-3.317871,1150.0,nuclear
HEYM2D-1,54.0273,-2.91504,1250.0,nuclear
HEYM27,51.138001,-3.317871,1250.0,nuclear
HEYM28,51.138001,-3.317871,1250.0,nuclear
HINB-7,55.646599,-4.822998,1250.0,nuclear
HINB-8,55.646599,-4.822998,1250.0,nuclear
HINBD-1,51.2088898,-3.1280887,1250.0,nuclear
HMGTO-1,53.644,0.293,219.0,offwind
HMGTO-2,53.644,0.293,219.0,offwind
HOWAO-1,53.885,1.791,1218.0,offwind
HOWAO-2,53.885,1.791,1218.0,offwind
HOWAO-3,53.885,1.791,1218.0,offwind
HOWBO-1,53.91,1.5518,1386.0,offwind
HOWBO-2,53.91,1.5518,1386.0,offwind
HOWBO-3,53.91,1.5518,1386.0,offwind
HRSTW-1,55.229023,-3.636475,136.0,onwind
HRTL-1,54.02888889,-2.916111111,1185.0,nuclear
HRTL-2,54.02888889,-2.916111111,1185.0,nuclear
HUMR-1,53.165426,-2.405816,1180.0,fossil
HUNBD-1,55.7221,-4.89009,965.0,nuclear
INDQ-1,51.418947,0.602702,140.0,fossil
