NationalGridBmUnit,carrier,bus,lon,lat
HLTWW-1,onwind,8013,-2.406006,57.486309
HRHLW-1,onwind,5911,-4.054104,55.405691
ILMEB-1,battery,5238,-0.892,51.741
JAMBB-1,battery,8020,-3.294,56.341
KLYN-A-1,fossil,5888,0.380117,52.727256
LITRB-1,battery,6475,-3.33,56.104
LNMTH-1,fossil,5949,-1.52083,55.20417
LNMTH-2,fossil,5949,-1.52083,55.20417
LNMTH-3,fossil,5949,-1.52083,55.20417
MANXENR-1,load,4955,0.89694,51.74139
MARK-1,biomass,6448,-3.603516,57.480403
MDLWH-1,fossil,5981,-2.42461,53.18726
MINSW-1,onwind,5919,-3.47168,55.040614
MOYEW-1,onwind,6440,-4.064872,57.390303
NEWTB-1,battery,6008,-1.327,53.138
PETEM1,fossil,6053,-0.204697,52.57694
PETDG-1,fossil,6053,-0.2037977,52.575703
PILLB-1,battery,6035,-0.407,53.796
PILLB-2,battery,6035,-0.407,53.796
RHEI-4,hydro,5933,-3.9,52.396
ROOSB-1,battery,5925,-3.189,54.105
SEVIU-1,fossil,5198,-2.9983234,51.5877364
SHOS-1,fossil,5273,-0.252686,50.882243
SKELB-1,battery,8022,-2.775,53.553
SOLUU-1,fossil,5253,-1.2764,50.7459
TAYL2G,fossil,5264,-0.2575,51.546
TAYL3G,fossil,5264,-0.2575,51.546
TIBG-1,biomass,4966,0.389,51.459
THMRB-1,battery,5238,-0.894,51.766
THRNL-1,fossil,5990,-1.6547222222222,53.677222222222
TOLLB-1,battery,5244,-0.245,51.735
TULWW-1,onwind,6462,-2.581787,56.662265
TULWW-2,onwind,6462,-2.581787,56.662265
VKING-2,fossil,5965,-1.20268,54.6067
I2D-ALEU1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-ALIP1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-ARON1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-AXPO1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-BDEN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-BKWE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-BNPS1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-BPGM1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-CBST1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-CENT1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-CETL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-CEZC1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-CNGS1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-CNRE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-CONS1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-CONV1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-COPN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-DARE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-DMCC1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-DSKC1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-DUEN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-DUGE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-DVAL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-EDFT1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-EDMK1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-ELEE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-ELTR1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-ENKI1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-ENSC1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-ENSP1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-ENTC1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-EPCO1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-EZCO1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-GASE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-GAZP1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-GLEN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-GRMT1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-HART1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-HELI1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-IBES1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-INCM1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-MCRA1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-MFTE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-MQBN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-NEAS1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-NEHO1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-NITR1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-NORL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-NTPL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-NVAL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-OMPX1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-OPMX1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-OUTL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-PLAN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-PREP1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-PWMR1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-QUAR1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-QUEN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-RESP1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-RISQ1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-RWES1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-SETL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-SSEG1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-STAT1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-TGPL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-TRFD1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-TRFG1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-TRLS1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-VOLT1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-VSAL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-VTET1,interconnector,4955,0.8645384615384615,51.808076923076925
I2D-XNON1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-ALEU1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-ALIP1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-ARON1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-AXPO1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-BDEN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-BKWE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-BNPS1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-BPGM1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-CBST1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-CENT1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-CETL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-CEZC1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-CNGS1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-CNRE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-CONS1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-CONV1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-COPN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-DARE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-DMCC1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-DSKC1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-DUEN1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-DUGE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-DVAL1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-EDFT1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-EDMK1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-ELEE1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-ELTR1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-ENKI1,interconnector,4955,0.8645384615384615,51.808076923076925
I2G-ENSC1,interconnector,4955,0.8645384615384615,51.808076923076925
