LAD21CD,LAD21NM,LAU121CD,LAU121NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM,ObjectId
N09000010,"Newry, Mourne and Down",N09000010,"Newry, Mourne and Down",TLN08,"Newry, Mourne and Down",TLN0,Northern Ireland,TLN,Northern Ireland,324
N09000011,Ards and North Down,N09000011,Ards and North Down,TLN09,Ards and North Down,TLN0,Northern Ireland,TLN,Northern Ireland,325
N09000005,Derry City and Strabane,N09000005,Derry City and Strabane,TLN0A,Derry City and Strabane,TLN0,Northern Ireland,TLN,Northern Ireland,326
N09000009,Mid Ulster,N09000009,Mid Ulster,TLN0B,Mid Ulster,TLN0,Northern Ireland,TLN,Northern Ireland,327
N09000004,Causeway Coast and Glens,N09000004,Causeway Coast and Glens,TLN0C,Causeway Coast and Glens,TLN0,Northern Ireland,TLN,Northern Ireland,328
N09000001,Antrim and Newtownabbey,N09000001,Antrim and Newtownabbey,TLN0D,Antrim and Newtownabbey,TLN0,Northern Ireland,TLN,Northern Ireland,329
N09000007,Lisburn and Castlereagh,N09000007,Lisburn and Castlereagh,TLN0E,Lisburn and Castlereagh,TLN0,Northern Ireland,TLN,Northern Ireland,330
N09000008,Mid and East Antrim,N09000008,Mid and East Antrim,TLN0F,Mid and East Antrim,TLN0,Northern Ireland,TLN,Northern Ireland,331
N09000006,Fermanagh and Omagh,N09000006,Fermanagh and Omagh,TLN0G,Fermanagh and Omagh,TLN0,Northern Ireland,TLN,Northern Ireland,332
E06000040,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),333
E06000041,Wokingham,E06000041,Wokingham,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),334
E06000042,Milton Keynes,E06000042,Milton Keynes,TLJ12,Milton Keynes,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),335
