ONScode,LAD21NM,LAU121CD,LAU121NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM,ObjectId,NUTS_ID
E07000173,Gedling,E07000173,Gedling,TLF16,South Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),200,UKF16
E07000176,Rushcliffe,E07000176,Rushcliffe,TLF16,South Nottinghamshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),201,UKF16
E06000016,Leicester,E06000016,Leicester,TLF21,Leicester,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),202,UKF21
E06000017,Rutland,E06000017,Rutland,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),203,UKF22
E07000129,Blaby,E07000129,Blaby,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),204,UKF22
E07000130,Charnwood,E07000130,Charnwood,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),205,UKF22
E07000131,Harborough,E07000131,Harborough,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),206,UKF22
E07000132,Hinckley and Bosworth,E07000132,Hinckley and Bosworth,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),207,UKF22
E07000133,Melton,E07000133,Melton,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),208,UKF22
E07000134,North West Leicestershire,E07000134,North West Leicestershire,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),209,UKF22
E07000135,Oadby and Wigston,E07000135,Oadby and Wigston,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),210,UKF22
E06000062,West Northamptonshire,E07000151,Daventry,TLF24,West Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),211,UKF24
E06000062,West Northamptonshire,E07000154,Northampton,TLF24,West Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),212,UKF24
E06000062,West Northamptonshire,E07000155,South Northamptonshire,TLF24,West Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),213,UKF24
E06000061,North Northamptonshire,E07000150,Corby,TLF25,North Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),214,UKF25
E06000061,North Northamptonshire,E07000152,East Northamptonshire,TLF25,North Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),215,UKF25
E06000061,North Northamptonshire,E07000153,Kettering,TLF25,North Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),216,UKF25
E06000061,North Northamptonshire,E07000156,Wellingborough,TLF25,North Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),217,UKF25
E07000136,Boston,E07000136,Boston,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England),218,UKF30
E07000137,East Lindsey,E07000137,East Lindsey,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England),219,UKF30
E07000138,Lincoln,E07000138,Lincoln,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England),220,UKF30
E07000139,North Kesteven,E07000139,North Kesteven,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England),221,UKF30
E07000140,South Holland,E07000140,South Holland,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England),222,UKF30
E07000141,South Kesteven,E07000141,South Kesteven,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England),223,UKF30
E07000142,West Lindsey,E07000142,West Lindsey,TLF30,Lincolnshire CC,TLF3,Lincolnshire,TLF,East Midlands (England),224,UKF30
S12000033,Aberdeen City,S30000026,Aberdeen City,TLM50,Aberdeen City and Aberdeenshire,TLM5,North Eastern Scotland,TLM,Scotland,225,UKM50
E07000110,Maidstone,E07000110,Maidstone,TLJ45,Mid Kent,TLJ4,Kent,TLJ,South East (England),226,UKJ45
E07000111,Sevenoaks,E07000111,Sevenoaks,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England),227,UKJ46
S12000034,Aberdeenshire,S30000027,Aberdeenshire,TLM50,Aberdeen City and Aberdeenshire,TLM5,North Eastern Scotland,TLM,Scotland,228,UKM50
E07000115,Tonbridge and Malling,E07000115,Tonbridge and Malling,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England),229,UKJ46
S12000017,Highland,S30000028,Ross and Cromarty,TLM61,"Caithness and Sutherland, and Ross and Cromarty",TLM6,Highlands and Islands,TLM,Scotland,230,UKM61
E07000116,Tunbridge Wells,E07000116,Tunbridge Wells,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England),231,UKJ46
S12000017,Highland,S30000029,Caithness and Sutherland,TLM61,"Caithness and Sutherland, and Ross and Cromarty",TLM6,Highlands and Islands,TLM,Scotland,232,UKM61
E06000023,"Bristol, City of",E06000023,"Bristol, City of",TLK11,"Bristol, City of",TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),233,UKK11
S12000017,Highland,S30000030,Inverness and Nairn,TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM6,Highlands and Islands,TLM,Scotland,234,UKM62
E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),235,UKK12
S12000017,Highland,S30000031,Badenoch and Strathspey,TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM6,Highlands and Islands,TLM,Scotland,236,UKM62
E06000024,North Somerset,E06000024,North Somerset,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),237,UKK12
S12000020,Moray,S30000032,West Moray,TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM6,Highlands and Islands,TLM,Scotland,238,UKM62
E06000025,South Gloucestershire,E06000025,South Gloucestershire,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),239,UKK12
E07000078,Cheltenham,E07000078,Cheltenham,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),240,UKK13
E07000079,Cotswold,E07000079,Cotswold,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),241,UKK13
E07000080,Forest of Dean,E07000080,Forest of Dean,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),242,UKK13
E07000081,Gloucester,E07000081,Gloucester,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),243,UKK13
E07000082,Stroud,E07000082,Stroud,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),244,UKK13
E07000083,Tewkesbury,E07000083,Tewkesbury,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),245,UKK13
E06000030,Swindon,E06000030,Swindon,TLK14,Swindon,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),246,UKK14
E06000054,Wiltshire,E06000054,Wiltshire,TLK15,Wiltshire,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),247,UKK15
E07000187,Mendip,E07000187,Mendip,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England),248,UKK23
E07000188,Sedgemoor,E07000188,Sedgemoor,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England),249,UKK23
E07000189,South Somerset,E07000189,South Somerset,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England),250,UKK23
E07000246,Somerset West and Taunton,E07000246,Somerset West and Taunton,TLK23,Somerset CC,TLK2,Dorset and Somerset,TLK,South West (England),251,UKK23
E06000058,"Bournemouth, Christchurch and Poole",E06000058,"Bournemouth, Christchurch and Poole",TLK24,"Bournemouth, Christchurch and Poole",TLK2,Dorset and Somerset,TLK,South West (England),252,UKK24
E06000059,Dorset,E06000059,Dorset,TLK25,Dorset,TLK2,Dorset and Somerset,TLK,South West (England),253,UKK25
E06000052,Cornwall,E06000052,Cornwall,TLK30,Cornwall and Isles of Scilly,TLK3,Cornwall and Isles of Scilly,TLK,South West (England),254,UKK30
E06000053,Isles of Scilly,E06000053,Isles of Scilly,TLK30,Cornwall and Isles of Scilly,TLK3,Cornwall and Isles of Scilly,TLK,South West (England),255,UKK30
E06000026,Plymouth,E06000026,Plymouth,TLK41,Plymouth,TLK4,Devon,TLK,South West (England),256,UKK41
E06000027,Torbay,E06000027,Torbay,TLK42,Torbay,TLK4,Devon,TLK,South West (England),257,UKK42
E07000040,East Devon,E07000040,East Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),258,UKK43
E07000041,Exeter,E07000041,Exeter,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),259,UKK43
E07000042,Mid Devon,E07000042,Mid Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),260,UKK43
E07000043,North Devon,E07000043,North Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),261,UKK43
E07000044,South Hams,E07000044,South Hams,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),262,UKK43
E07000045,Teignbridge,E07000045,Teignbridge,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),263,UKK43
E07000046,Torridge,E07000046,Torridge,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),264,UKK43
E07000047,West Devon,E07000047,West Devon,TLK43,Devon CC,TLK4,Devon,TLK,South West (England),265,UKK43
W06000001,Isle of Anglesey,W06000001,Isle of Anglesey,TLL11,Isle of Anglesey,TLL1,West Wales and The Valleys,TLL,Wales,266,UKL11
W06000002,Gwynedd,W06000002,Gwynedd,TLL12,Gwynedd,TLL1,West Wales and The Valleys,TLL,Wales,267,UKL12
W06000003,Conwy,W06000003,Conwy,TLL13,Conwy and Denbighshire,TLL1,West Wales and The Valleys,TLL,Wales,268,UKL13
W06000004,Denbighshire,W06000004,Denbighshire,TLL13,Conwy and Denbighshire,TLL1,West Wales and The Valleys,TLL,Wales,269,UKL13
W06000008,Ceredigion,W06000008,Ceredigion,TLL14,South West Wales,TLL1,West Wales and The Valleys,TLL,Wales,270,UKL14
W06000009,Pembrokeshire,W06000009,Pembrokeshire,TLL14,South West Wales,TLL1,West Wales and The Valleys,TLL,Wales,271,UKL14
W06000010,Carmarthenshire,W06000010,Carmarthenshire,TLL14,South West Wales,TLL1,West Wales and The Valleys,TLL,Wales,272,UKL14
W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,TLL15,Central Valleys,TLL1,West Wales and The Valleys,TLL,Wales,273,UKL15
W06000024,Merthyr Tydfil,W06000024,Merthyr Tydfil,TLL15,Central Valleys,TLL1,West Wales and The Valleys,TLL,Wales,274,UKL15
W06000018,Caerphilly,W06000018,Caerphilly,TLL16,Gwent Valleys,TLL1,West Wales and The Valleys,TLL,Wales,275,UKL16
W06000019,Blaenau Gwent,W06000019,Blaenau Gwent,TLL16,Gwent Valleys,TLL1,West Wales and The Valleys,TLL,Wales,276,UKL16
W06000020,Torfaen,W06000020,Torfaen,TLL16,Gwent Valleys,TLL1,West Wales and The Valleys,TLL,Wales,277,UKL16
W06000012,Neath Port Talbot,W06000012,Neath Port Talbot,TLL17,Bridgend and Neath Port Talbot,TLL1,West Wales and The Valleys,TLL,Wales,278,UKL17
W06000013,Bridgend,W06000013,Bridgend,TLL17,Bridgend and Neath Port Talbot,TLL1,West Wales and The Valleys,TLL,Wales,279,UKL17
W06000011,Swansea,W06000011,Swansea,TLL18,Swansea,TLL1,West Wales and The Valleys,TLL,Wales,280,UKL18
W06000021,Monmouthshire,W06000021,Monmouthshire,TLL21,Monmouthshire and Newport,TLL2,East Wales,TLL,Wales,281,UKL21
W06000022,Newport,W06000022,Newport,TLL21,Monmouthshire and Newport,TLL2,East Wales,TLL,Wales,282,UKL21
W06000014,Vale of Glamorgan,W06000014,Vale of Glamorgan,TLL22,Cardiff and Vale of Glamorgan,TLL2,East Wales,TLL,Wales,283,UKL22
W06000015,Cardiff,W06000015,Cardiff,TLL22,Cardiff and Vale of Glamorgan,TLL2,East Wales,TLL,Wales,284,UKL22
W06000005,Flintshire,W06000005,Flintshire,TLL23,Flintshire and Wrexham,TLL2,East Wales,TLL,Wales,285,UKL23
W06000006,Wrexham,W06000006,Wrexham,TLL23,Flintshire and Wrexham,TLL2,East Wales,TLL,Wales,286,UKL23
W06000023,Powys,W06000023,Powys,TLL24,Powys,TLL2,East Wales,TLL,Wales,287,UKL24
S12000020,Moray,S30000033,North East Moray,TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM6,Highlands and Islands,TLM,Scotland,288,UKM62
S12000021,North Ayrshire,S30000034,Arran and Cumbrae,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,289,UKM63
S12000035,Argyll and Bute,S30000035,Argyll and Bute Islands,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,290,UKM63
S12000035,Argyll and Bute,S30000036,Argyll and Bute Mainland,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,291,UKM63
S12000017,Highland,S30000037,Lochaber,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,292,UKM63
S12000017,Highland,S30000038,Skye and Lochalsh,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM6,Highlands and Islands,TLM,Scotland,293,UKM63
S12000013,Na h-Eileanan Siar,S30000039,Na h-Eileanan Siar,TLM64,Na h-Eileanan Siar,TLM6,Highlands and Islands,TLM,Scotland,294,UKM64
S12000023,Orkney Islands,S30000040,Orkney Islands,TLM65,Orkney Islands,TLM6,Highlands and Islands,TLM,Scotland,295,UKM65
S12000027,Shetland Islands,S30000041,Shetland Islands,TLM66,Shetland Islands,TLM6,Highlands and Islands,TLM,Scotland,296,UKM66
S12000041,Angus,S30000048,Angus,TLM71,Angus and Dundee City,TLM7,Eastern Scotland,TLM,Scotland,297,UKM71
S12000042,Dundee City,S30000049,Dundee City,TLM71,Angus and Dundee City,TLM7,Eastern Scotland,TLM,Scotland,298,UKM71
S12000005,Clackmannanshire,S30000003,Clackmannanshire,TLM72,Clackmannanshire and Fife,TLM7,Eastern Scotland,TLM,Scotland,299,UKM72
S12000047,Fife,S30000042,Fife,TLM72,Clackmannanshire and Fife,TLM7,Eastern Scotland,TLM,Scotland,300,UKM72
S12000010,East Lothian,S30000005,East Lothian,TLM73,East Lothian and Midlothian,TLM7,Eastern Scotland,TLM,Scotland,301,UKM73
S12000019,Midlothian,S30000006,Midlothian,TLM73,East Lothian and Midlothian,TLM7,Eastern Scotland,TLM,Scotland,302,UKM73
S12000036,City of Edinburgh,S30000008,City of Edinburgh,TLM75,City of Edinburgh,TLM7,Eastern Scotland,TLM,Scotland,303,UKM75
S12000014,Falkirk,S30000009,Falkirk,TLM76,Falkirk,TLM7,Eastern Scotland,TLM,Scotland,304,UKM76
S12000030,Stirling,S30000011,Stirling,TLM77,"Perth and Kinross, and Stirling",TLM7,Eastern Scotland,TLM,Scotland,305,UKM77
S12000048,Perth and Kinross,S30000043,Perth and Kinross,TLM77,"Perth and Kinross, and Stirling",TLM7,Eastern Scotland,TLM,Scotland,306,UKM77
S12000040,West Lothian,S30000012,West Lothian,TLM78,West Lothian,TLM7,Eastern Scotland,TLM,Scotland,307,UKM78
S12000035,Argyll and Bute,S30000013,Helensburgh and Lomond,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM8,West Central Scotland,TLM,Scotland,308,UKM81
S12000039,West Dunbartonshire,S30000014,West Dunbartonshire,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM8,West Central Scotland,TLM,Scotland,309,UKM81
S12000045,East Dunbartonshire,S30000050,East Dunbartonshire,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM8,West Central Scotland,TLM,Scotland,310,UKM81
S12000049,Glasgow City,S30000052,Glasgow City,TLM82,Glasgow City,TLM8,West Central Scotland,TLM,Scotland,311,UKM82
S12000011,East Renfrewshire,S30000020,East Renfrewshire,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",TLM8,West Central Scotland,TLM,Scotland,312,UKM83
S12000038,Renfrewshire,S30000021,Renfrewshire,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",TLM8,West Central Scotland,TLM,Scotland,313,UKM83
S12000018,Inverclyde,S30000022,Inverclyde,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",TLM8,West Central Scotland,TLM,Scotland,314,UKM83
S12000050,North Lanarkshire,S30000053,North Lanarkshire,TLM84,North Lanarkshire,TLM8,West Central Scotland,TLM,Scotland,315,UKM84
S12000026,Scottish Borders,S30000007,Scottish Borders,TLM91,Scottish Borders,TLM9,Southern Scotland,TLM,Scotland,316,UKM91
S12000006,Dumfries and Galloway,S30000016,Dumfries and Galloway,TLM92,Dumfries and Galloway,TLM9,Southern Scotland,TLM,Scotland,317,UKM92
S12000008,East Ayrshire,S30000017,East Ayrshire,TLM93,East Ayrshire and North Ayrshire mainland,TLM9,Southern Scotland,TLM,Scotland,318,UKM93
S12000021,North Ayrshire,S30000018,North Ayrshire mainland,TLM93,East Ayrshire and North Ayrshire mainland,TLM9,Southern Scotland,TLM,Scotland,319,UKM93
S12000028,South Ayrshire,S30000024,South Ayrshire,TLM94,South Ayrshire,TLM9,Southern Scotland,TLM,Scotland,320,UKM94
S12000029,South Lanarkshire,S30000025,South Lanarkshire,TLM95,South Lanarkshire,TLM9,Southern Scotland,TLM,Scotland,321,UKM95
N09000003,Belfast,N09000003,Belfast,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland,322,UKN06
N09000002,"Armagh City, Banbridge and Craigavon",N09000002,"Armagh City, Banbridge and Craigavon",TLN07,"Armagh City, Banbridge and Craigavon",TLN0,Northern Ireland,TLN,Northern Ireland,323,UKN07
N09000010,"Newry, Mourne and Down",N09000010,"Newry, Mourne and Down",TLN08,"Newry, Mourne and Down",TLN0,Northern Ireland,TLN,Northern Ireland,324,UKN08
N09000011,Ards and North Down,N09000011,Ards and North Down,TLN09,Ards and North Down,TLN0,Northern Ireland,TLN,Northern Ireland,325,UKN09
N09000005,Derry City and Strabane,N09000005,Derry City and Strabane,TLN0A,Derry City and Strabane,TLN0,Northern Ireland,TLN,Northern Ireland,326,UKN0A
N09000009,Mid Ulster,N09000009,Mid Ulster,TLN0B,Mid Ulster,TLN0,Northern Ireland,TLN,Northern Ireland,327,UKN0B
N09000004,Causeway Coast and Glens,N09000004,Causeway Coast and Glens,TLN0C,Causeway Coast and Glens,TLN0,Northern Ireland,TLN,Northern Ireland,328,UKN0C
N09000001,Antrim and Newtownabbey,N09000001,Antrim and Newtownabbey,TLN0D,Antrim and Newtownabbey,TLN0,Northern Ireland,TLN,Northern Ireland,329,UKN0D
N09000007,Lisburn and Castlereagh,N09000007,Lisburn and Castlereagh,TLN0E,Lisburn and Castlereagh,TLN0,Northern Ireland,TLN,Northern Ireland,330,UKN0E
N09000008,Mid and East Antrim,N09000008,Mid and East Antrim,TLN0F,Mid and East Antrim,TLN0,Northern Ireland,TLN,Northern Ireland,331,UKN0F
N09000006,Fermanagh and Omagh,N09000006,Fermanagh and Omagh,TLN0G,Fermanagh and Omagh,TLN0,Northern Ireland,TLN,Northern Ireland,332,UKN0G
E06000040,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),333,UKJ11
E06000041,Wokingham,E06000041,Wokingham,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),334,UKJ11
E06000042,Milton Keynes,E06000042,Milton Keynes,TLJ12,Milton Keynes,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),335,UKJ12
E06000060,Buckinghamshire,E06000060,Buckinghamshire,TLJ13,Buckinghamshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),336,UKJ13
E07000177,Cherwell,E07000177,Cherwell,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),337,UKJ14
E07000178,Oxford,E07000178,Oxford,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),338,UKJ14
E07000179,South Oxfordshire,E07000179,South Oxfordshire,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),339,UKJ14
E07000180,Vale of White Horse,E07000180,Vale of White Horse,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),340,UKJ14
E07000181,West Oxfordshire,E07000181,West Oxfordshire,TLJ14,Oxfordshire CC,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),341,UKJ14
E06000043,Brighton and Hove,E06000043,Brighton and Hove,TLJ21,Brighton and Hove,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),342,UKJ21
E07000061,Eastbourne,E07000061,Eastbourne,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),343,UKJ22
E07000062,Hastings,E07000062,Hastings,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),344,UKJ22
E07000063,Lewes,E07000063,Lewes,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),345,UKJ22
E07000064,Rother,E07000064,Rother,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),346,UKJ22
E07000065,Wealden,E07000065,Wealden,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),347,UKJ22
E07000207,Elmbridge,E07000207,Elmbridge,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),348,UKJ25
E07000209,Guildford,E07000209,Guildford,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),349,UKJ25
E07000212,Runnymede,E07000212,Runnymede,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),350,UKJ25
E07000213,Spelthorne,E07000213,Spelthorne,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),351,UKJ25
E07000214,Surrey Heath,E07000214,Surrey Heath,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),352,UKJ25
E07000216,Waverley,E07000216,Waverley,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),353,UKJ25
E07000217,Woking,E07000217,Woking,TLJ25,West Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),354,UKJ25
E07000208,Epsom and Ewell,E07000208,Epsom and Ewell,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),355,UKJ26
E07000210,Mole Valley,E07000210,Mole Valley,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),356,UKJ26
E07000211,Reigate and Banstead,E07000211,Reigate and Banstead,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),357,UKJ26
E07000215,Tandridge,E07000215,Tandridge,TLJ26,East Surrey,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),358,UKJ26
E07000223,Adur,E07000223,Adur,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),359,UKJ27
E07000224,Arun,E07000224,Arun,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),360,UKJ27
E07000225,Chichester,E07000225,Chichester,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),361,UKJ27
E07000229,Worthing,E07000229,Worthing,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),362,UKJ27
E07000226,Crawley,E07000226,Crawley,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),363,UKJ28
E07000227,Horsham,E07000227,Horsham,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),364,UKJ28
E07000228,Mid Sussex,E07000228,Mid Sussex,TLJ28,West Sussex (North East),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),365,UKJ28
E06000044,Portsmouth,E06000044,Portsmouth,TLJ31,Portsmouth,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),366,UKJ31
E06000045,Southampton,E06000045,Southampton,TLJ32,Southampton,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),367,UKJ32
E06000046,Isle of Wight,E06000046,Isle of Wight,TLJ34,Isle of Wight,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),368,UKJ34
E07000086,Eastleigh,E07000086,Eastleigh,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),369,UKJ35
E07000087,Fareham,E07000087,Fareham,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),370,UKJ35
E07000088,Gosport,E07000088,Gosport,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),371,UKJ35
E07000090,Havant,E07000090,Havant,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),372,UKJ35
E07000085,East Hampshire,E07000085,East Hampshire,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),373,UKJ36
E07000091,New Forest,E07000091,New Forest,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),374,UKJ36
E07000093,Test Valley,E07000093,Test Valley,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),375,UKJ36
E07000094,Winchester,E07000094,Winchester,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),376,UKJ36
E07000084,Basingstoke and Deane,E07000084,Basingstoke and Deane,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),377,UKJ37
E07000089,Hart,E07000089,Hart,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),378,UKJ37
E07000092,Rushmoor,E07000092,Rushmoor,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),379,UKJ37
E06000035,Medway,E06000035,Medway,TLJ41,Medway,TLJ4,Kent,TLJ,South East (England),380,UKJ41
