FID,ONScode,ONSname,Region,BodyType,Battery electric (Company),Battery electric (Private),Battery electric (Total),Total (Company),Total (Private),Total (Total),Shape__Area,Shape__Length
108,E07000082,Stroud,South West,Heavy goods vehicles,3,0,3,3,0,3,460541932.840958,172776.05769481
109,E07000083,Tewkesbury,South West,Heavy goods vehicles,5,0,5,5,0,5,414414331.620384,204816.828317149
110,E07000084,Basingstoke and Deane,South East,Heavy goods vehicles,3,0,3,3,0,3,633808768.307358,143445.561610085
111,E07000085,East Hampshire,South East,Heavy goods vehicles,1,0,1,1,0,1,514427244.742657,144529.50155922
112,E07000086,Eastleigh,South East,Heavy goods vehicles,3,0,3,3,0,3,79691534.0207672,75969.3701259384
113,E07000087,Fareham,South East,Heavy goods vehicles,1,0,1,1,0,1,74252568.8639069,66391.3182765974
114,E07000088,Gosport,South East,Heavy goods vehicles,0,0,0,0,0,0,25373863.5987015,40198.9526446878
115,E07000089,Hart,South East,Heavy goods vehicles,5,0,5,5,0,5,215265062.888855,77846.4171414185
116,E07000090,Havant,South East,Heavy goods vehicles,0,0,0,0,0,0,55740863.552475,115656.001782131
117,E07000091,New Forest,South East,Heavy goods vehicles,1,0,1,1,0,1,752175282.793148,332040.78546347
118,E07000092,Rushmoor,South East,Heavy goods vehicles,1,0,1,1,0,1,39045031.351738,31890.6799933273
119,E07000093,Test Valley,South East,Heavy goods vehicles,0,0,0,0,0,0,627605428.903973,190861.039845632
120,E07000094,Winchester,South East,Heavy goods vehicles,0,0,0,0,0,0,660970784.217972,172284.74960649
121,E07000095,Broxbourne,East of England,Heavy goods vehicles,0,0,0,0,0,0,51442323.4619751,39066.0781406614
122,E07000096,Dacorum,East of England,Heavy goods vehicles,0,0,0,0,0,0,212476384.667572,110099.851922617
123,E07000098,Hertsmere,East of England,Heavy goods vehicles,0,0,0,0,0,0,101128118.175667,61226.9755336206
124,E07000099,North Hertfordshire,East of England,Heavy goods vehicles,0,0,0,0,0,0,375382263.828629,168304.522402386
125,E07000102,Three Rivers,East of England,Heavy goods vehicles,0,0,0,0,0,0,88824130.6230011,74110.379284116
126,E07000103,Watford,East of England,Heavy goods vehicles,0,0,0,0,0,0,21430353.2294617,26390.2208397151
127,E07000105,Ashford,South East,Heavy goods vehicles,0,1,1,0,1,1,580617311.897118,149444.582577307
128,E07000106,Canterbury,South East,Heavy goods vehicles,0,0,0,0,0,0,308752611.633759,134480.530270857
129,E07000107,Dartford,South East,Heavy goods vehicles,0,0,0,0,0,0,72725607.8161087,57308.8677406833
130,E07000108,Dover,South East,Heavy goods vehicles,0,0,0,0,0,0,315337913.662262,148158.331321105
131,E07000109,Gravesham,South East,Heavy goods vehicles,0,0,0,0,0,0,98991343.5061035,60514.4099095587
132,E07000110,Maidstone,South East,Heavy goods vehicles,0,0,0,0,0,0,393329500.961746,122978.78174292
133,E07000111,Sevenoaks,South East,Heavy goods vehicles,0,0,0,0,0,0,370347002.872887,134424.857442803
134,E07000112,Folkestone and Hythe,South East,Heavy goods vehicles,0,0,0,0,0,0,356921043.861404,148967.53012936
135,E07000113,Swale,South East,Heavy goods vehicles,0,0,0,0,0,0,373436666.723366,347822.333690706
136,E07000114,Thanet,South East,Heavy goods vehicles,2,0,2,2,0,2,103609162.256866,65351.0575122022
137,E07000115,Tonbridge and Malling,South East,Heavy goods vehicles,1,0,1,1,0,1,240114170.735138,133207.598464157
138,E07000116,Tunbridge Wells,South East,Heavy goods vehicles,1,0,1,1,0,1,331328785.658195,150582.555352952
139,E07000117,Burnley,North West,Heavy goods vehicles,0,0,0,0,0,0,110683988.566406,57758.3849479255
140,E07000118,Chorley,North West,Heavy goods vehicles,0,0,0,0,0,0,202762183.401443,114512.346233295
141,E07000119,Fylde,North West,Heavy goods vehicles,3,0,3,3,0,3,165697311.171219,138362.744300761
142,E07000120,Hyndburn,North West,Heavy goods vehicles,0,0,0,0,0,0,73006531.9950256,42725.5895458216
143,E07000121,Lancaster,North West,Heavy goods vehicles,2,0,2,2,0,2,566931388.429276,345316.924214594
144,E07000122,Pendle,North West,Heavy goods vehicles,0,0,0,0,0,0,169380123.60495,79240.7874487146
145,E07000123,Preston,North West,Heavy goods vehicles,2,0,2,2,0,2,142284174.215057,82800.2153872617
146,E07000124,Ribble Valley,North West,Heavy goods vehicles,0,0,0,0,0,0,584462410.81546,150567.848726777
147,E07000125,Rossendale,North West,Heavy goods vehicles,0,0,0,0,0,0,138040945.395981,71146.5805886302
148,E07000126,South Ribble,North West,Heavy goods vehicles,22,1,23,22,1,23,113141836.473007,105349.841184343
149,E07000127,West Lancashire,North West,Heavy goods vehicles,27,0,27,27,0,27,346632972.355667,227318.107045886
150,E07000128,Wyre,North West,Heavy goods vehicles,0,0,0,0,0,0,282164343.394623,212915.423835105
151,E07000129,Blaby,East Midlands,Heavy goods vehicles,1,0,1,1,0,1,130468683.748283,100814.853323911
152,E07000130,Charnwood,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,279042271.32692,115467.998574257
153,E07000131,Harborough,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,592692009.022011,185943.110691819
154,E07000132,Hinckley and Bosworth,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,297351522.794861,111542.038513824
155,E07000133,Melton,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,481380450.704636,140624.572169108
156,E07000134,North West Leicestershire,East Midlands,Heavy goods vehicles,2,0,2,2,0,2,279328099.664093,116450.135016811
157,E07000135,Oadby and Wigston,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,23526168.5615234,31168.1447108195
158,E07000136,Boston,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,364008505.483185,440525.756968777
159,E07000137,East Lindsey,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,1766773262.65205,373174.569529616
160,E07000138,Lincoln,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,35690262.1727448,32968.7309952948
161,E07000139,North Kesteven,East Midlands,Heavy goods vehicles,1,0,1,1,0,1,922471413.921478,181805.062441591
162,E07000140,South Holland,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,750076198.639008,438382.414635444
163,E07000141,South Kesteven,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,942585741.048859,209809.642173754
164,E07000142,West Lindsey,East Midlands,Heavy goods vehicles,1,0,1,1,0,1,1155731948.82578,249626.336213677
165,E07000143,Breckland,East of England,Heavy goods vehicles,0,0,0,0,0,0,1305116636.27957,239522.366983952
166,E07000144,Broadland,East of England,Heavy goods vehicles,0,0,0,0,0,0,552060685.638245,219123.105970655
167,E07000145,Great Yarmouth,East of England,Heavy goods vehicles,0,0,0,0,0,0,174314084.185471,145906.026155804
168,E07000146,King's Lynn and West Norfolk,East of England,Heavy goods vehicles,0,0,0,0,0,0,1439522769.9068,695919.962988732
169,E07000147,North Norfolk,East of England,Heavy goods vehicles,0,0,0,0,0,0,967553234.861084,600210.929292212
170,E07000148,Norwich,East of England,Heavy goods vehicles,0,0,0,0,0,0,39021876.966095,52684.4387944125
171,E07000149,South Norfolk,East of England,Heavy goods vehicles,0,0,0,0,0,0,907576576.146591,266869.497485678
172,E07000163,Craven,Yorkshire and The Humber,Heavy goods vehicles,0,0,0,0,0,0,1178807535.3551,199881.375346452
173,E07000164,Hambleton,Yorkshire and The Humber,Heavy goods vehicles,1,0,1,1,0,1,1311256293.98462,298682.454054928
174,E07000165,Harrogate,Yorkshire and The Humber,Heavy goods vehicles,1,0,1,1,0,1,1309117875.80103,246981.310508245
175,E07000166,Richmondshire,Yorkshire and The Humber,Heavy goods vehicles,0,0,0,0,0,0,1318702662.09824,221692.587160329
176,E07000167,Ryedale,Yorkshire and The Humber,Heavy goods vehicles,0,0,0,0,0,0,1506530701.19722,250881.622441998
177,E07000168,Scarborough,Yorkshire and The Humber,Heavy goods vehicles,0,0,0,0,0,0,816241280.322708,242694.579503398
178,E07000169,Selby,Yorkshire and The Humber,Heavy goods vehicles,1,0,1,1,0,1,599315573.923569,264845.034329299
179,E07000170,Ashfield,East Midlands,Heavy goods vehicles,3,0,3,3,0,3,109557954.123535,69168.0549787649
180,E07000171,Bassetlaw,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,637803606.42421,159728.455054285
181,E07000172,Broxtowe,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,80098843.9173431,65996.6218856484
182,E07000173,Gedling,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,119981502.24617,69750.8310113412
183,E07000174,Mansfield,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,76696927.4926605,51089.9016277906
184,E07000175,Newark and Sherwood,East Midlands,Heavy goods vehicles,1,0,1,1,0,1,651340476.370392,187413.7482207
185,E07000176,Rushcliffe,East Midlands,Heavy goods vehicles,0,0,0,0,0,0,409231546.466995,123321.322043074
186,E07000177,Cherwell,South East,Heavy goods vehicles,0,0,0,0,0,0,588745404.830795,225617.395164138
187,E07000178,Oxford,South East,Heavy goods vehicles,2,0,2,2,0,2,45602825.5069656,34993.844626057
188,E07000179,South Oxfordshire,South East,Heavy goods vehicles,0,0,0,0,0,0,678492168.0867,205550.098477864
189,E07000180,Vale of White Horse,South East,Heavy goods vehicles,0,0,0,0,0,0,578679719.457848,176033.370660927
190,E07000181,West Oxfordshire,South East,Heavy goods vehicles,0,0,0,0,0,0,714422037.287323,160237.256592195
191,E07000187,Mendip,South West,Heavy goods vehicles,1,0,1,1,0,1,739435455.84145,198844.392404697
192,E07000188,Sedgemoor,South West,Heavy goods vehicles,0,1,1,0,1,1,564223822.301853,258005.444665784
193,E07000189,South Somerset,South West,Heavy goods vehicles,0,0,0,0,0,0,959053025.863747,241548.032961482
194,E07000192,Cannock Chase,West Midlands,Heavy goods vehicles,76,0,76,76,0,76,78882578.3519669,50125.8394489737
195,E07000193,East Staffordshire,West Midlands,Heavy goods vehicles,3,0,3,3,0,3,389987122.843025,183691.288895755
196,E07000194,Lichfield,West Midlands,Heavy goods vehicles,2,0,2,2,0,2,331294321.205109,127463.170739768
197,E07000195,Newcastle-under-Lyme,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,210957295.971909,108251.653778863
198,E07000196,South Staffordshire,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,407322353.328491,184884.661607311
199,E07000197,Stafford,West Midlands,Heavy goods vehicles,1,0,1,1,0,1,598172189.401169,159072.547255002
200,E07000198,Staffordshire Moorlands,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,575849809.00811,152441.966463739
201,E07000199,Tamworth,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,30850724.0121002,30729.4523914775
202,E07000200,Babergh,East of England,Heavy goods vehicles,0,0,0,0,0,0,595116582.503052,210443.312612023
203,E07000202,Ipswich,East of England,Heavy goods vehicles,0,0,0,0,0,0,39509771.4361115,45341.496541064
204,E07000203,Mid Suffolk,East of England,Heavy goods vehicles,1,0,1,1,0,1,871070710.020721,191151.730303906
205,E07000207,Elmbridge,South East,Heavy goods vehicles,0,0,0,0,0,0,96334273.0766754,52204.4385998147
206,E07000208,Epsom and Ewell,South East,Heavy goods vehicles,0,0,0,0,0,0,34079154.5370331,28503.8092975754
207,E07000209,Guildford,South East,Heavy goods vehicles,0,0,0,0,0,0,270931144.02079,128412.382018558
208,E07000210,Mole Valley,South East,Heavy goods vehicles,1,0,1,1,0,1,258321090.604195,105397.031980434
209,E07000211,Reigate and Banstead,South East,Heavy goods vehicles,0,0,0,0,0,0,129143817.748154,79917.0905767468
210,E07000212,Runnymede,South East,Heavy goods vehicles,0,0,0,0,0,0,78040680.6398315,45677.007524902
211,E07000213,Spelthorne,South East,Heavy goods vehicles,0,0,0,0,0,0,51161350.4098892,44131.1428612105
212,E07000214,Surrey Heath,South East,Heavy goods vehicles,0,0,0,0,0,0,95092963.0002747,53557.764578556
213,E07000215,Tandridge,South East,Heavy goods vehicles,0,0,0,0,0,0,248194582.980942,83131.8930481927
214,E07000216,Waverley,South East,Heavy goods vehicles,1,0,1,1,0,1,345170238.491543,125428.597835176
215,E07000217,Woking,South East,Heavy goods vehicles,0,0,0,0,0,0,63603608.294426,54780.2122292832
216,E07000218,North Warwickshire,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,284261518.649086,113228.85783183
217,E07000219,Nuneaton and Bedworth,West Midlands,Heavy goods vehicles,1,0,1,1,0,1,78950267.1659927,48147.0588079889
218,E07000220,Rugby,West Midlands,Heavy goods vehicles,6,0,6,6,0,6,353557317.712494,115087.24363392
219,E07000221,Stratford-on-Avon,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,977869032.994003,261369.031234585
220,E07000222,Warwick,West Midlands,Heavy goods vehicles,36,2,38,36,2,38,282882324.589981,116714.078810518
221,E07000223,Adur,South East,Heavy goods vehicles,0,0,0,0,0,0,42065500.7971153,60515.2393173462
222,E07000224,Arun,South East,Heavy goods vehicles,0,0,0,0,0,0,220991208.823517,156496.558931363
223,E07000225,Chichester,South East,Heavy goods vehicles,2,0,2,2,0,2,786194915.21093,297267.271791169
224,E07000226,Crawley,South East,Heavy goods vehicles,1,0,1,1,0,1,44971227.3985825,38798.5820994218
225,E07000227,Horsham,South East,Heavy goods vehicles,1,0,1,1,0,1,530278329.223454,215754.884714148
226,E07000228,Mid Sussex,South East,Heavy goods vehicles,2,0,2,2,0,2,334029216.736504,132901.26791811
227,E07000229,Worthing,South East,Heavy goods vehicles,0,0,0,0,0,0,32521006.014946,29461.7156766559
228,E07000234,Bromsgrove,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,216968441.120949,113128.333688222
229,E07000235,Malvern Hills,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,577070951.886055,230594.571309952
230,E07000236,Redditch,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,54250908.2603149,41300.3373143932
231,E07000237,Worcester,West Midlands,Heavy goods vehicles,1,0,1,1,0,1,33278111.1236725,31261.2304343563
232,E07000238,Wychavon,West Midlands,Heavy goods vehicles,0,0,0,0,0,0,663542007.469109,219510.915753207
233,E07000239,Wyre Forest,West Midlands,Heavy goods vehicles,1,0,1,1,0,1,195403730.262199,100861.152767908
234,E07000240,St Albans,East of England,Heavy goods vehicles,0,0,0,0,0,0,161205788.992043,72941.6954485127
235,E07000241,Welwyn Hatfield,East of England,Heavy goods vehicles,1,0,1,1,0,1,129536962.915245,82383.3616268959
236,E07000242,East Hertfordshire,East of England,Heavy goods vehicles,1,0,1,1,0,1,475669142.173576,135178.027176787
237,E07000243,Stevenage,East of England,Heavy goods vehicles,0,0,0,0,0,0,25969247.2625275,28585.161430964
238,E07000244,East Suffolk,East of England,Heavy goods vehicles,0,0,0,0,0,0,1260989491.10616,584787.924048438
239,E07000245,West Suffolk,East of England,Heavy goods vehicles,0,0,0,0,0,0,1034675737.77446,274539.879009978
240,E07000246,Somerset West and Taunton,South West,Heavy goods vehicles,0,0,0,0,0,0,1189066301.1416,288889.206722841
241,E08000001,Bolton,North West,Heavy goods vehicles,6,0,6,6,0,6,139792040.674789,82643.5197746864
242,E08000002,Bury,North West,Heavy goods vehicles,0,1,1,0,1,1,99460098.088501,68535.7621537225
243,E08000003,Manchester,North West,Heavy goods vehicles,0,0,0,0,0,0,115648443.590103,86841.9510631882
244,E08000004,Oldham,North West,Heavy goods vehicles,0,0,0,0,0,0,142344867.617081,71145.2166053481
245,E08000005,Rochdale,North West,Heavy goods vehicles,0,0,0,0,0,0,158128218.886078,82706.3709034793
246,E08000006,Salford,North West,Heavy goods vehicles,8,0,8,8,0,8,97197259.633194,63262.7594028187
247,E08000007,Stockport,North West,Heavy goods vehicles,1,0,1,1,0,1,126040348.490097,73631.0890907973
248,E08000008,Tameside,North West,Heavy goods vehicles,0,0,0,0,0,0,103154247.722641,55973.0550571155
