bus501_id,x_501,y_501,bus385_id,x_385,y_385,assigned_bus385_ids,assigned_x_385,assigned_y_385
way/642490160,-1.540426916,55.14647596,5950,-1.572418,55.113728,"['5949', '5948', '5950']","[-1.608124, -1.608124, -1.572418]","[55.178868, 55.178868, 55.113728]"
way/310502642-275,-1.531549937,55.14120363,nan,,,,,
way/310502642-400,-1.531218281,55.14106731,nan,,,,,
way/260300448-275,-4.766018046,55.13763828,nan,,,,,
way/148382435-275,-4.980622976,55.06981172,5893,-4.946594,55.072864,['5893'],[-4.946594],[55.072864]
way/148382435,-4.980750725,55.06969911,nan,,,,,
way/676775628-275,-4.763695263,55.049358,nan,,,,,
way/402783212-275,-7.24826436,55.04227531,nan,,,,,
relation/10377509-400,-3.050444102,55.03199063,5920,-3.217621,55.060282,['5920'],[-3.217621],[55.060282]
way/96630594-275,-1.500057562,55.02367531,5951,-1.528473,55.044549,['5951'],[-1.528473],[55.044549]
GB16-400,-1.803404057,55.0152563,5945,-1.864929,55.001251,"['8017', '5946', '5945']","[-1.888275, -1.864929, -1.864929]","[55.096445, 55.001251, 55.001251]"
way/143221984-275,-2.163942527,55.01179066,5944,-2.290649,55.032745,['5944'],[-2.290649],[55.032745]
way/91955171-400,-1.742986904,54.97785259,nan,,,,,
way/91955171-275,-1.743259312,54.97763398,nan,,,,,
way/184584639-275,-1.449609764,54.97335023,5953,-1.479034,54.974461,['5953'],[-1.479034],[54.974461]
relation/14921826-400,-2.962139659,54.94236341,nan,,,,,
relation/14921826-275,-2.96240536,54.94214226,5921,-2.971802,54.93661,"['5922', '5921']","[-2.971802, -2.971802]","[54.93661, 54.93661]"
way/183904046-275,-1.471399314,54.940107,nan,,,,,
way/200635683-275,-1.457754335,54.88090288,5954,-1.447449,54.897144,['5954'],[-1.447449],[54.897144]
way/137050527-275,-5.770344034,54.84331485,nan,,,,,
way/137050527,-5.770469013,54.84320149,nan,,,,,
way/200511209-400,-1.40454287,54.80512785,5958,-1.400757,54.824426,"['5959', '5958']","[-1.400757, -1.400757]","[54.824426, 54.824426]"
way/200511209-275,-1.404816013,54.80490997,nan,,,,,
way/142185552-275,-6.167467133,54.80150044,nan,,,,,
GB17-275,-1.409093389,54.75666396,nan,,,,,
way/230134599-275,-6.615797088,54.73025042,nan,,,,,
way/339008021-275,-5.767923224,54.72709864,nan,,,,,
relation/11543333-400,-1.555028214,54.70567199,5956,-1.485901,54.661124,"['5955', '5957', '5956']","[-1.643829, -1.485901, -1.485901]","[54.741272, 54.661124, 54.661124]"
way/1297690788-275,-1.292040148,54.70055665,5962,-1.322479,54.646823,"['5960', '5961', '5962']","[-1.288147, -1.234589, -1.322479]","[54.715895, 54.677801, 54.646823]"
way/311840838-275,-1.183275602,54.63566251,nan,,,,,
way/97561542-275,-1.116723104,54.60650024,5967,-1.034088,54.566489,"['5963', '5967']","[-1.128845, -1.034088]","[54.616617, 54.566489]"
way/43303585-400,-1.237484927,54.60561177,nan,,,,,
way/43303585-275,-1.237757734,54.60539426,nan,,,,,
way/43472283-400,-1.364576157,54.59241214,nan,,,,,
way/43472283-275,-1.364848222,54.59219436,nan,,,,,
way/227495569-275,-1.148808621,54.58058953,nan,,,,,
way/166764802-275,-6.027411367,54.57472272,nan,,,,,
