ID,Project/Plant Name,Status,Rated Power (kW),Discharge Duration at Rated Power (hrs),Storage Capacity (kWh),Applications.Bulk Energy Services (General Energy Applications).0,Applications.Bulk Energy Services (General Energy Applications).1,Applications.Bulk Energy Services (General Energy Applications).2,Applications.Ancillary Services.0,Applications.Ancillary Services.1,Applications.Ancillary Services.2,Applications.Ancillary Services.3,Applications.Ancillary Services.4,Applications.Ancillary Services.5,Applications.Transmission Infrastructure Services.0,Applications.Transmission Infrastructure Services.1,Applications.Distribution Infrastructure Services.0,Applications.Customer Energy Management Services (End-User Services).0,Applications.Customer Energy Management Services (End-User Services).1,Applications.Customer Energy Management Services (End-User Services).2,Applications.Customer Energy Management Services (End-User Services).3,Applications.Others.0,Paired Grid Resources,Description/Notes,URL,Country,City,County,State/Province,Street Address,Postal Code,Latitude,Longitude,Announced Date,Commissioned Date,Constructed Date,Decommissioned Date,Latest Update Date,Project Data Validated?,Grid Interconnection Level,Interconnection Type,ISO/RTO,System Operator,Utility Type,Utility ID,Number of Subsystems,Energy Storage Technology Provider,Power Electronics Provider,Installer,Developer,O&M Contractor,EPC 1,EPC 2,EPC 3,Ownership Model,Ownership Model (Other),Owner(s),Captial Expenditure - CAPEX (USD),Annual Operational Cost - OPEX (USD),Annual Maintenance or Warranty Cost (USD),Projected Payback Period (years),Debt Provider,Funding Source 1,Funding Source Amount 1 (USD),Funding Source 2,Funding Source Amount 2 (USD),Funding Source 3,Funding Source Amount 3 (USD),Contact Information: Name,Contact Information: Email Address,Contact Information: Phone Number,Subsystems.0.Subsystem Name,Subsystems.0.ID,Subsystems.0.Storage Device.Technology Broad Category,Subsystems.0.Storage Device.Technology Mid-Type,Subsystems.0.Storage Device.Technology Sub-Type,Subsystems.0.Storage Device.Storage Capacity (kWh),Subsystems.0.Storage Device.Round-trip Efficiency (%),Subsystems.0.Storage Device.Depth of Discharge (%),Subsystems.0.Storage Device.Warranty Lifetime (cycles),Subsystems.0.Storage Device.Warranty Lifetime (years),Subsystems.0.Storage Device.Storage Operating Temperature (deg C),Subsystems.0.Storage Device.Specific Energy (kWh/ton-metric),Subsystems.0.Storage Device.Energy Density (kWh/m^3),Subsystems.0.Storage Device.Footprint (m^2/MWh),Subsystems.0.Storage Device.Number of Cells,Subsystems.0.Power Conversion System.Rated Power (kW),Subsystems.0.Power Conversion System.Maximum Charge Power (kW),Subsystems.0.Power Conversion System.Maximum Discharge Power (kW),Subsystems.0.Power Conversion System.Overload Capability (%),Subsystems.0.Power Conversion System.Time Allowed for Overload (s),Subsystems.0.Power Conversion System.Ramping Rate (kW/min),Subsystems.0.Power Conversion System.Response Time (s),Subsystems.0.Power Conversion System.Nominal DC Voltage (kV),Subsystems.0.Power Conversion System.Nominal AC Voltage (kV),Subsystems.0.Power Conversion System.Nominal Frequency (Hz),Subsystems.0.Power Conversion System.Operating Frequency Range (Hz) Low,Subsystems.0.Power Conversion System.Operating Frequency Range (Hz) High,Subsystems.0.Power Conversion System.Number of Phases,Subsystems.0.Power Conversion System.Topology,Subsystems.0.Power Conversion System.Full Load Efficiency (%),Subsystems.0.Power Conversion System.Efficiency Degradation,Subsystems.0.Power Conversion System.Standby Energy Consumption (kWh),Subsystems.0.Power Conversion System.Lagging Power Factor Range,Subsystems.0.Power Conversion System.Leading Power Factor Range,Subsystems.0.Power Conversion System.Maximum Total Current Harmonic Distortion (%),Subsystems.0.Power Conversion System.Frequency Ride Through (FRT),Subsystems.0.Power Conversion System.Low Voltage Ride Through (LVRT),Subsystems.0.Power Conversion System.High Voltage Ride Through (HVRT),Subsystems.0.Power Conversion System.Warranty Lifetime (years),Subsystems.0.Balance of System.Transformer Rating,Subsystems.0.Balance of System.Transformer Configuration,Subsystems.0.Balance of System.Enclosure Operating Temperature (deg C),Subsystems.0.Balance of System.Operating Temperature (deg C),Subsystems.0.Balance of System.Communications,Subsystems.0.Balance of System.Enclosures,Subsystems.0.Balance of System.Controller Type
901,SCE LESTA: 2 MW A123 Test,Operational,2000,0.25,500,,,,Operating Reserve (Supplementary),,,,,,,,,,,,,,null,"Southern California Edison (SCE) constructed the Large Energy Storage Test Apparatus (LESTA) testing facility to evaluate promising energy storage systems, facilitate deployment, encourage innovation, and develop practical energy storage-based end-uses. In addition to providing a safe and convenient platform for multi-megawatt storage equipment to be tested under a simulated and controlled environment, the LESTA facility also offers the opportunity for the equipment to be directly exposed to a live 12 kV distribution circuit to observe behaviors under grid-connected, real-life conditions. The station is currently conducting a long-term evaluation of a 2 MW, 0.5 MWh containerized energy storage system manufactured by A123 Systems. The A123 Systems unit was commissioned on December 20, 2011.",http://inside.edison.com/content/inside/2012/03-12/f-atlabs.html,United States,Westminster,null,California,null,92683,33.7513419,-117.99,null,12-20-2011,null,null,null,NO,null,null,CAISO,null,Investor Owned,null,1,A123 Systems,null,null,Southern California Edison,null,null,null,null,Utility-Owned,null,Southern California Edison,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,901.1,Electro-chemical battery and chemical storage,Lithium-ion battery,,null,null,null,null,null,null,null,null,null,null,2000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
902,Auwahi Wind Farm ,Operational,11000,2.5,27500,,,,Ramp Support,,,,,,,,,,,,,,null,An important component of this wind project is the 11-MW grid battery system. Energy from the battery system helps to regulate and sustain power to Maui Electric Company?€?s grid during variable wind conditions. The battery storage component of this project includes state-of-the-art monitoring and safety controls that ensure reliable operation for the life of the project. The wind power from Auwahi Wind has been sold to Maui Electric Company under a 20-year contract.,http://www.a123systems.com/smart-grid-storage.htm,United States,Kula,null,Hawaii,null,null,20.7909697,-156.33,null,12-20-2012,null,null,null,NO,null,null,,null,null,null,1,"A123 (NEC Energy Solutions, Inc.)",Dynapower,null,null,null,null,null,null,Third-Party-Owned,null,Sempra,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,902.1,Electro-chemical battery and chemical storage,Lithium-ion battery,,null,null,null,null,null,null,null,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
903,Del Lago Academy (IES),Operational,100,2,200,,,,,,,,,,,,,Retail TOU Energy Charges,,,,,PV,"The project is primarily a technology demonstration for grid-services. 209 kWh of lithium ion storage with San Diego Gas and Electric (SDG&amp;E) owned 173 kW solar panel system. The solar installation by Independent Energy Solutions will send its power directly to the local community in Escondido and provides enough clean energy at peak production to power more than 100 homes. The site has an advanced energy storage system (Kokam) through the program to support the electric distribution grid and smart grid deployment plan by smoothing out the intermittency of the solar, as well as peak shaving.  The campus also earned a rebate of more than $268,000 through SDG&amp;E's Savings by Design program for the energy efficiency upgrades made during construction reducing usage by more than 700,000 KWh a year and rendering the building 30 percent more efficient than building code requirements.  Princeton Power Systems provided power electronics, battery procurement, battery integration and advanced controls.",http://www.sdge.com/newsroom/press-releases/2013-07-08/new-high-school-escondido-beacon-sustainability,United States,Escondido,null,California,1740 Scenic Trail Way,92029,33.0982635,-117.1,08-07-2013,12-20-2013,null,null,null,NO,null,null,CAISO,null,Investor Owned,null,1,Kokam,Princeton Power Systems,Princeton Power Systems,Independent Energy Solutions,null,null,null,null,Utility-Owned,null,San Diego Gas and Electric,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,903.1,Electro-chemical battery and chemical storage,Lithium-ion battery,Lithium polymer battery,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
904,Xianyou Pumped Storage Power Station,Operational,1200000,0,0,Electric Energy Time Shift (Arbitrage),,,Frequency Regulation,Operating Reserve (Supplementary),Operating Reserve (Spinning),,,,,,,,,,,Electric Supply Capacity,null,The station will have four 300 MW vertical Francis reversible generating units for a planned annual power output of about 1.9 billion kilowatt-hours and an annual utilization of 1580 hrs.,https://en.wikipedia.org/wiki/Xianyou_Pumped_Storage_Power_Station,China,Xianyou,null,Fujian,null,null,25.362094,118.69,null,12-20-2013,null,null,null,NO,Transmission,null,,null,Federally Owned,null,1,Dongfang Electrical Machinery Ltd,null,null,Fujian Xianyou Pump-Storage Co. Ltd,null,null,null,null,Utility-Owned,null,State Grid Corporation of China (SGCC),null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,904.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,1200000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
905,Carlsbad 7-Eleven Green Charge Networks Greenstation,Operational,30,1,30,,,,,,,,,,,,,Retail TOU Energy Charges,,,,,null,"Green Charge Networks is providing intelligent energy storage solutions to reduce peak demand charges with their sophisticated software algorithm and battery storage system.?? In addition, Green Charge Networks is aggregating locations to participate in Demand Response events to increase the savings.??",http://www.greenchargenet.com/,United States,Carlsbad,null,California,901 Palomar Airport Road,92011,33.121631,-117.32,null,12-20-2013,12-20-2013,null,null,NO,null,null,CAISO,null,Investor Owned,null,1,Green Charge Networks,IPC,Green Charge Networks,Green Charge Networks,null,null,null,null,Third-Party-Owned,null,Confidential (Green Charge Network Customer),null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,905.1,Electro-chemical battery and chemical storage,Lithium-ion battery,,null,null,null,null,null,null,null,null,null,null,30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
906,Golden Hills - NextEra Energy,Contracted,30000,2,60000,Electric Energy Time Shift (Arbitrage),Renewable Energy Time Shift,Renewable Energy Time Shift (Firming),,,,,,,,,Distribution Upgrade Deferral,,,,,,NextEra Golden Hills wind farm,They include a 30-megawatt system from NextEra Energy at its Golden Hills wind farm near Livermore.,http://www.greentechmedia.com/articles/read/pges-75mw-energy-storage-procurement-to-test-flywheels-zinc-air-batteries,United States,Livermore,null,California,null,null,37.6818745,-121.77,02-12-2015,12-20-2015,null,null,null,NO,null,null,CAISO,null,Investor Owned,null,1,null,null,null,null,null,null,null,null,Utility-Owned,null,Pacific Gas and Electric (PG&E),null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,906.1,Electro-chemical battery and chemical storage,Lithium-ion battery,,null,null,null,null,null,null,null,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
907,McHenry Battery Storage Project - EDF Renewable Energy,Operational,20000,2.33,46600,,,,Frequency Regulation,,,,,,,,,,,,,Electric Supply Capacity,null,"EDF Group?€?s first battery storage project in North America, developed and built by EDF Renewable Energy, reached commercial operation on December 20, 2015. The energy storage system, located in McHenry County, Illinois, added 40 megawatts (MW) of flexible capacity (20 MW nameplate) to the PJM Regional Transmission Organization (RTO) and will participate in both the regulation and capacity markets.   EDF Renewable Energy acquired 100% interest in the project late in the first quarter of 2015 from Chicago-based GlidePath Power; construction commenced in June 2015. The system is interconnected at the distribution level into Commonwealth Edison Company (ComED). The battery and power electronics were supplied by BYD America, consisting of 11 containerized units totaling 20 MW (22MVA) and is performing at expectation ***Note the 19.8 MW number comes from GlidePath's website www.glidepath.net",https://www.edf-re.com/edf-renewable-energy-announces-commercial-operation-first-battery-storage-project/,United States,McHenry County,null,Illinois,null,null,42.3039993,-88.4,null,12-20-2015,null,null,null,NO,Primary Distribution,null,PJM,null,Investor Owned,null,1,BYD America,null,null,GlidePath Power & EDF Renewable Energy,EDF Store and Forecast and EDF Renewable Energy,Renewable Energy Systems (RES),null,null,Third-Party-Owned,null,EDF Renewable Energy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,907.1,Electro-chemical battery and chemical storage,Lithium-ion battery,,null,null,null,null,null,null,null,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
908,Alachua County Library,Operational,100,9,900,Electric Energy Time Shift (Arbitrage),,,Operating Reserve (Non-Spinning),,,,,,,,,Retail TOU Energy Charges,,,,,null,"The Alachua County Library Headquarters in Gainesville, Florida is using its IceBank?? energy storage tanks to reduce operating costs and save taxpayer money. CALMAC?€?s technology enables the 80,000 square foot library, which was built in 1992, to shift cooling load so that it uses nighttime energy that is 68 percent cheaper than the energy that would be used for creating instantaneous cooling during daytime hours. Additionally, thermal storage allows monthly demand (kW), and the resulting demand charges, to be cut in half. This is significant since 40 percent of the headquarters?€? total electric costs for the year can be directly attributed to cooling the structure and the facility?€?s power provider implements a demand charge that equates to roughly $9.25 in extra fees per kW during peak demand hours.",http://www.calmac.com/calmac%E2%80%99s-energy-storage-tanks-allow-alachua-county-library-hq-to-close-the-book-on-high-priced-energy,United States,Gainesville,null,Florida,401 E. University Ave.,32601,29.65153375,-82.32156145,null,01-21-2016,null,null,null,NO,Secondary Distribution,null,,null,null,null,1,CALMAC Corp.,null,null,null,null,null,null,null,Customer-Owned,null,Alachua County,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,908.1,Thermal energy storage,Latent heat,Ice,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
909,The Zurich Dietikon 1 MW BESS,Operational,1000,0.5,500,Electric Energy Time Shift (Arbitrage),,,Frequency Regulation,,,,,,,,,,,,,Electric Supply Capacity,null,"The Utility of the Canton of Zurich (EKZ) and ABB have installed a 1 MW battery in Dietikon, Switzerland. The battery can store up to 500 kWh and is therefore the largest of its kind in Switzerland. The system was built over a nine-month period, including procurement of all necessary permits.   The Energy Storage System is connected to the low and medium voltage grid of EKZ and its control include a photovoltaic (PV) plant, an office building and electric vehicle charging stations, allowing to test various different smart grid applications.   ABB's PCS100 enables AC/DC conversion in both directions at full nominal power. The battery cells were provided by LG Chem and are located inside an air conditioned outdoor container, which ensures optimum conditions for the cells.   The various applications investigated include primary frequency control, peak shaving, microgrid control including the office building, and voltage control using active and reactive power supplied by the PCS.",http://www.abb.com/cawp/seitp202/0b80d94850f2df5ac1257a4c002d4430.aspx,Switzerland,Dietikon,null,Zurich,??berlandstrasse 2,null,47.4048128,8.56,null,03-21-2012,null,null,null,NO,Primary Distribution,null,,null,null,null,1,LG Chem Ltd.,ABB,ABB,null,null,null,null,null,Utility-Owned,null,EKZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,909.1,Electro-chemical battery and chemical storage,Lithium-ion battery,,null,null,null,null,null,null,null,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
910,Ponte Winery - Ice Energy,Operational,60,6,360,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,Retail TOU Energy Charges,,,,Electric Supply Capacity,null,"Ice Energy?€?s flagship Ice Bear system enables a powerful change in how ?€? and more importantly when ?€? energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings.  The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning ?€? typically 40-50% of a building?€?s electricity use during peak daytime hours ?€? can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours.  Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",http://www.ice-energy.com,United States,Temecula,null,California,35053 Rancho California Road,92592,33.536932,-117.05,null,03-21-2013,null,null,null,NO,null,null,CAISO,null,null,null,1,Ice Energy,null,Ice Energy,Ice Energy,Ice Energy,Ice Energy,null,null,Utility-Owned,null,Confidential,null,null,null,null,null,State/Provincial/Regional,null,null,null,null,null,null,null,null,Subsystem 1,910.1,Thermal energy storage,Latent heat,Ice,null,null,null,null,null,null,null,null,null,null,60,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
911,Tortilla Flats Restaurant - Ice Energy,Operational,20,6,120,,,,,,,,,,,,,Retail TOU Energy Charges,,,,Electric Supply Capacity,null,"Ice Energy?€?s flagship Ice Bear system enables a powerful change in how ?€? and more importantly when ?€? energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings.  The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning ?€? typically 40-50% of a building?€?s electricity use during peak daytime hours ?€? can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours.  Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",http://www.ice-energy.com,United States,Redding,null,California,2800 Park Marina Dr,96001,40.573885,-122.37,null,03-21-2013,null,null,null,NO,null,null,,null,Public Owned,null,1,Ice Energy,null,Ice Energy,Ice Energy,Ice Energy,Ice Energy,null,null,Utility-Owned,null,Confidential,null,null,null,null,null,State/Provincial/Regional,null,null,null,null,null,null,null,null,Subsystem 1,911.1,Thermal energy storage,Latent heat,Ice,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
912,Skyway Recreation Products - Ice Energy,Operational,20,6,120,,,,,,,,,,,,,Retail TOU Energy Charges,,,,Electric Supply Capacity,null,"Ice Energy?€?s flagship Ice Bear system enables a powerful change in how ?€? and more importantly when ?€? energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning ?€? typically 40-50% of a building?€?s electricity use during peak daytime hours ?€? can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",http://www.ice-energy.com,United States,Redding,null,California,4451 Caterpillar Rd,96003,40.6263796,-122.38,null,03-21-2013,null,null,null,NO,null,null,,null,Public Owned,null,1,Ice Energy,null,Ice Energy,Ice Energy,Ice Energy,Ice Energy,null,null,Utility-Owned,null,Confidential,null,null,null,null,null,State/Provincial/Regional,null,null,null,null,null,null,null,null,Subsystem 1,912.1,Thermal energy storage,Latent heat,Ice,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
913,Sault Ste. Marie Energy Storage - Convergent + GE / IESO,Contracted,7000,1,7000,,,,Voltage Support,,,,,,,,,,,,,,null,"Convergent Energy + Power will install a 7 megawatt (MW)-7 megawatt hour battery energy storage system for the Ontario Independent Electricity System Operator (IESO). The complete solution features GE?€?s Mark* VI plant control system with SCADA, Brilliance* MW Inverters, packaged lithium ion battery modules, medium-voltage transformers and switchgear integration.  The 7 MW / 7 MWh lithium-ion battery project will provide Ontario?€?s Independent Electricity System Operator with Reactive Support and Voltage Control services via a pay-for-performance service contract. Additionally, the project has been strategically located in PUC Services territory, allowing it to balance and integrate 60 MWs of photovoltaic solar capacity and 150 MWs of peak load on the end of a 115 kV radial circuit.",http://www.convergentep.com/projects/,Canada,Sault Ste. Marie,null,Ontario,null,null,46.521858,-84.35,05-27-2015,03-21-2017,null,null,null,NO,null,null,IESO,null,null,null,1,GE,GE,null,Convergent,null,null,null,null,Customer-Owned,null,Convergent,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,913.1,Electro-chemical battery and chemical storage,Lithium-ion battery,,null,null,null,null,null,null,null,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
914,EPCC Thermal Storage: Valle Verde,Operational,930,8,7440,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,Retail TOU Energy Charges,,,,,null,"As the fastest growing community college in Texas, El Paso Community College (EPCC) needed to meet the needs of an increasing student population and the third highest electric utility rates in the nation. The college turned to energy-efficient solutions including 89 energy storage tanks which they installed at 3 different campus locations.   After a few years, the payback was so significant for the Valle Verde campus that the college converted the entire plant to full ice storage versus partial ice storage. This allowed the campus to be completely cooled by ice storage during peak demand, saving an additional 25 percent in utility costs or more than $145,000 dollars per year.  There are now 62 units at Valle Verde.",http://www.trane.com/commercial/Uploads/pdf/newsRoom/EL%20Paso%20Community%20College%20news%20release%20FINAL%20080910%20_3_.pdf,United States,El Paso,null,Texas,919 Hunter Drive,79925,31.753527,-106.37,12-02-1996,04-21-1997,10-14-1996,null,null,NO,null,null,ERCOT,null,Public Owned,null,1,CALMAC,null,null,null,null,null,null,null,Customer-Owned,null,El Paso Community College,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,914.1,Thermal energy storage,Latent heat,Ice,null,null,null,null,null,null,null,null,null,null,930,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
915,BESS Neuhardenberg,Operational,5000,1,5000,,,,Frequency Regulation,,,,,,,,,,,,,,145 MW Solar Plant,"Work is performance times. In the frequency-controlled power output of the PRL, it is important to follow the fluctuating frequency to the second. This happens in the energy storage Neuhardenberg in parallel and independently in 20 converters, which are each equipped with their own frequency control. 4 of these inverters are combined on one transformer. Combined with an active battery management system (BMS), which ensures the necessary energy balance at the cell level, this results in an extremely robust and fail-safe complete system of maximum efficiency.",http://www.upsidegrp.com,Germany,Neuhardenberg,null,Brandenburg,Oderbruchstra??e 24,15320,52.6016493,14.24,03-31-2015,04-21-2015,09-09-2015,null,null,NO,Primary Distribution,null,,null,null,null,1,null,Siemens,null,null,null,null,null,null,Customer-Owned,null,Upside Services GmbH,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,915.1,Electro-chemical battery and chemical storage,Lithium-ion battery,Lithium-iron phosphate battery,null,null,null,null,null,null,null,null,null,null,5000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
916,Stone Edge Farm Winery- All Iron Flow Battery (IFB),Operational,10,6,60,Renewable Energy Time Shift,,,,,,,,,,,,Microgrid Applications,Resilience (Back-up Power),,,,null,"ESS Inc. is operating a customized All-Iron Flow Battery (IFB) system at Stone Edge Farm winery in Sonoma, California to demonstrate how energy storage can enable net zero, with intermittent renewables, in an advanced microgrid application. The iron, salt, and water electrolyte was hydrated on-site as part of a two day installation and commissioning. The 60 kWh IFB system provides multiple services that will maximize the microgrid?€?s use of renewables. The Iron Flow Battery system installed at Stone Edge Farm has a 60 kWh energy capacity with a 10 kW, 480 VAC, 3-phase interface.   The system is self-contained in a 20?€? ISO shipping container, the IFB was easily sited in an environmentally sensitive area, given its small footprint and non-toxic, non-flammable chemistry. Microgrid controls at Stone Edge are provided by DC Systems, Inc. and connect to the IFB through a MODBUS communication link. The Iron Flow Battery will receive commands from DC System?€?s controller responding to specific needs on the microgrid to supply power at night, for irrigation or hydrogen generation, or during the day to smooth out the intermittencies of solar on the microgrid.",http://www.essinc.com/2016/05/11/ess-all-iron-flow-battery-operational-at-stone-edge-farms-microgrid/,United States,Sonoma,null,California,21692 8th E #110,95476,38.5110803,-122.8473388,11-05-2016,04-21-2016,null,null,null,NO,null,null,CAISO,null,Investor Owned,null,1,ESS Inc.,null,null,null,null,null,null,null,Customer-Owned,null,Stone Edge Farm,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,916.1,Electro-chemical battery and chemical storage,Flow battery,,null,null,null,null,null,null,null,null,null,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
917,Mitsubishi UPS at CoreSite Santa Clara Data Center,Operational,1500,0,0,,,,Operating Reserve (Spinning),,,,,,,,Reliability,,,,,,null,"CoreSite Realty Corporation chose Mitsubishi Electric Power Products to provide Uninterruptible Power Supply (UPS) units for their 101,000 square-foot data center in Santa Clara, Calif. CoreSite?€?s Santa Clara data center was completed on July 21, 2011 and is the sixth CoreSite data center and colocation facility to feature Mitsubishi Electric UPS products.  CoreSite?€?s newest facility is the second of four planned data centers at the company?€?s Santa Clara campus. The first on-campus data center has posted Power Usage Effectiveness (PUE) levels of 1.3 and Mitsubishi Electric?€?s 9900B units are expected to contribute to an even lower PUE at the new data center, leveraging their 97 percent efficiency rating. Mitsubishi Electric UPS products also contributed to the LEED Gold certification and Silicon Valley Power?€?s Energy Innovator Award, both received at CoreSite?€?s 2901 Coronado data center in July of 2011.",http://www.businesswire.com/news/home/20110803006420/en/CoreSite-Chooses-Mitsubishi-Electric-Power-Products%E2%80%99-Uninterruptible#.U_JKmvldXy0,United States,Santa Clara,null,California,2901 Coronado,null,37.375202,-121.97,null,07-21-2011,null,null,null,NO,null,null,CAISO,null,State/Municipal Owned,null,1,Mitsubishi Electric Power Products,Mitsubishi Electric Power Products,Mitsubishi Electric Power Products,null,null,null,null,null,Customer-Owned,null,CoreSite Realty Corporation,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,917.1,Electro-chemical battery and chemical storage,,,null,null,null,null,null,null,null,null,null,null,1500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
918,China EPRI 15 kW/19kWh Micro-grid,Operational,15,1.27,19.05,,,,Frequency Regulation,,,,,,,,,,,,,,null,"Relying on the advanced Fe battery technology, BYD ESS technology uses a modular, flexible design and can be easily tailored to meet a diverse set of customer needs. Up to now, BYD has a lot of successful cases of battery storage solutions from KW sized to MW sized system at home and abroad.",http://www.byd.com,China,null,null,null,null,null,36,104,null,08-21-2012,null,null,null,NO,null,null,,null,null,null,1,BYD,null,null,null,null,null,null,null,Customer-Owned,null,China EPRI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,918.1,Electro-chemical battery and chemical storage,Lithium-ion battery,Lithium-iron phosphate battery,null,null,null,null,null,null,null,null,null,null,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
