Color by,Project Name,State Name,Type Name,Company,Country Name,DOE Support,If State,Location,Other,Plant,Project Date,Project ID,Project Link,Project Name,Status Detail Name,Status Name,Technology Name,Unit Base Name 1,Avg. Icon Size,Latitude,Longitude,Distinct count of Project ID,Major Injection Amount
Potential,Masdar CCS Project,Abu Dhabi,Capture & Storage,Abu Dhabi Future Energy Company,United Arab Emirates,Other Support,", Abu Dhabi","Emirates Steel, Mussafah;  UAE (United Arab Emirates) Khalifa Port; Industrial Zone (KPIZ) Taweelah","Capture 5 million t/y of CO2 gas from 3 sources: a gas-fired power plant, an aluminum smelter both located at Taweelah and a steel mill located at Mussafah.  Captured CO2 to be sold, piped, and used for EOR.  Phase 1 is capture from steel mill.","Emirates Steel's Mussafah rolling mill, a gas fired power plant, aluminum smelter,EMAL Powerplant",1/1/2015,262,http://www.zeroco2.no/projects/masdar-initiative-ccs-projects,Masdar CCS Project,Developing Infrastructure,Potential,Amines,Tonnes per Day,1,24.22123,54.466994,1,"11,782"
Potential,Ledvice CEZ Capture and Storage Project,Usti nad Labem,Capture & Storage,CEZ Group,Czech Republic,Other Support,", Usti nad Labem",Ledvice,CEZ Group is proposing that the Czech Republic utilize part of its emission credits (Kyoto Protocol) to design CCS technologies for the Ledvice power plant.,Ledvice Power Plant,1/1/2013,190,http://globalenergyobservatory.org/geoid/40321,Ledvice CEZ Capture and Storage Project,Plant in Operation,Potential,,,1,50.575824,13.77955,1,
Potential,Jamestown BPU,New York,Capture & Storage,Jamestown BPU,United States,Other Support,", New York",Jamestown,"Proposal is to add-on to long-planned Circulating Fluidized Bed (CFB) combustion unit added to existing plant, replacing two older coal-fired boilers.",Samuel J. Carlson Generating Station,1/1/2013,121,No specific project link identified.,Jamestown BPU,Permitting,Potential,,% Reduction,1,42.099197388,-79.238273621,1,98
Potential,ICO2N Network,Alberta,Capture & Storage,ICO2N,Canada,Other Support,", Alberta",Alberta,The proposed Integrated CO2 Network targets large sources of industrial CO2 emissions in Alberta including coal-fired electrical generation and energy production. The CO2 will be captured and transported to geological sites for sequestration or EOR.,Commercial Source,1/1/2007,25,http://www.zeroco2.no/projects/developers/ico2n,ICO2N Network,Developing Infrastructure,Potential,,,1,51.113532,-114.112924,1,
Potential,Galilee Power Project,Queensland,Capture & Storage,Waratah Coal,Australia,Other Support,", Queensland",Galilee Basin,Project will construct a 900 MW coal fired power plant that incorporates carbon capture and storage.,Galilee Power Station,9/1/2009,314,https://www.statedevelopment.qld.gov.au/assessments-and-approvals/galilee-basin-power-station.html,Galilee Power Project,Developing Infrastructure,Potential,,,1,-23.473166,146.551237,1,
Potential,Dongguan Taiyangzhou IGCC,Guangdong Province,Capture & Storage,Dongguan Taiyangzhou Power Corporation,China,Other Support,", Guangdong Province",Dongguan,"Proposed Construction of a 750 MW IGCC powerplant with pre-combustion CO2 capture, 150 KM transport to EOR field in Shangdong Province.",Dongguan Taiyangzhou Plant,1/1/2016,340,https://sequestration.mit.edu/tools/projects/dongguan.html,Dongguan Taiyangzhou IGCC,Planning,Potential,Cryogenic,Tonnes per Day,1,23.002269,113.750935,1,"2,740"
Potential,Don Valley CCS Power Project,South Yorkshire,Capture & Storage,Sargas,United Kingdom,Other Support,", South Yorkshire",Yorkshire,The project has completed a FEED study and received planning approval. Bought by SARGAS in July 2014.  SARGAS plans to switch to natural gas fuel.,Don Valley Power Plant,2/1/2009,310,https://sequestration.mit.edu/tools/projects/don_valley.html,Don Valley CCS Power Project,Planning,Potential,Cold Methanol (Rectisol),Tonnes per Day,1,53.591456,-1.020039,1,"13,700"
Potential,Dagang Huashi Power CCS + EOR,,Capture & Storage,Tianjin DaGang Huashi,China,Other Support,,Tianjin,Dagang will use one of its two 330MW power units to demonstrate the capture of CO2 and then transport the CO2 for sequestration and EOR.,DaGang Huashi Power Plant,1/1/2012,39,http://www.spacedaily.com/reports/EESTech_And_Dagang_Power_Sign_MOU_For_Carbon_Capture_Project_999.html,Dagang Huashi Power CCS + EOR,Planning,Potential,,Tonnes per Day,1,39.051371,117.412391,1,"6,165"
Potential,ConocoPhillips - Immingham pre-combustion Project,North Yorkshire,Capture & Storage,ConocoPhillips,United Kingdom,Other Support,", North Yorkshire",South Killingholme,"A feasability study is looking at coal to hydrogen expansion at the Immingham CHP.  CO2 will be captured, transported, and stored below the North Sea.",Immingham Combined Heat and Power Plant,7/1/2009,47,No specific project link identified.,ConocoPhillips - Immingham pre-combustion Project,Developing Infrastructure,Potential,,Tonnes per Day,1,53.633126,-0.24317,1,"20,550"
Potential,China Resources Power (Haifeng) Integrated Carbon Capture and Sequestration Demonstration Project,Guangdong Province,Capture & Storage,China Resources Power (CRP),China,Other Support,", Guangdong Province",Shanwei,Injects in a CO2 storage site in a deep saline formation in the South China Sea for permanent storage or for EOR.,China Resources Power (CRP) & China National Offshore Oil Corporation (CNOOC),1/1/2019,346,https://www.globalccsinstitute.com/projects/china-resources-power-haifeng-integrated-carbon-capture-and-sequestration-demonstration-project,China Resources Power (Haifeng) Integrated Carbon Capture and Sequestration Demonstration Project,Planning,Potential,Amines,Tonnes per Day,1,22.7724,115.352,1,"2,740"
