bus385_id,bus501_id
5232,way/92340133-400
8578,way/92340133-400
8473,way/92340133-400
5236,way/92340133-400
5237,way/92340133-400
5215,way/92460913-400
4955,relation/7872518-400
4954,relation/7872518-400
5188,way/95895489-400
8189,way/95895489-400
8290,way/95895489-400
7945,way/95895489-400
8860,way/87464485-400
5245,way/87464485-400
8025,way/87464485-400
8024,way/87464485-400
8094,way/87464485-400
8093,way/87464485-400
5247,way/22975329-400
5246,way/22975329-400
5234,way/23059230-400
5235,way/23059230-400
8529,relation/7879831-400
8515,relation/7879831-400
5185,relation/7879831-400
5184,relation/7879831-400
5183,relation/13110367-400
5238,way/41710456-400
5256,way/41710456-400
5255,way/41710456-400
8030,way/41710456-400
7286,way/23228569-275
5248,way/23228569-275
7361,way/115530033-400
5242,way/23234477-275
5187,way/95749833-400
5186,way/95749833-400
5249,way/263863442-400
5244,way/4797228-275
8747,way/95279334-400
5226,way/95279334-400
5268,way/23132983-275
5267,way/23132983-275
4968,way/29111844-400
4952,way/264371625-275
5195,relation/12543034-275
5225,way/45087479-275
5200,way/884174267-400
5199,way/884174267-400
5191,way/121820285-275
5269,way/371757485-400
4953,way/23229136-275
5189,way/42800878-400
5198,way/42800878-400
8397,GB66-275
5241,way/23232738-400
5258,way/23232738-400
5257,way/23232738-275
5224,way/292471784-400
5192,way/123037622-275
5264,way/49601061-400
5263,way/49601061-400
5266,way/31015820-400
4965,GB69-400
4958,way/23228362-400
4957,way/23228362-400
7458,GB71-275
5196,GB71-275
5197,way/222987687-275
4961,way/494951597-400
4960,way/1275300370-275
4959,way/1275300370-275
4967,way/94530230-275
4966,way/94530230-275
8014,way/32604320-275
4962,way/16582436-400
5259,way/23248656-275
4969,way/814351697-400
5228,way/103915328-400
5227,way/103915328-400
5193,way/84803250-275
5270,way/23299362-400
5272,way/23299362-275
5271,way/23299362-275
4972,way/91010022-400
4970,way/91010022-400
5262,relation/7880111-400
5261,relation/7880111-275
5260,relation/7880111-275
4963,GB78-400
4964,GB79-400
5265,way/23390317-275
4974,way/264104518-400
5250,way/32796576-400
4975,way/87953830-400
5251,way/88389243-400
5202,way/292371992-275
5201,way/292371992-275
5205,way/48876730-275
4977,way/23281217
5204,way/119616836-400
5194,way/100009331-400
5273,way/91082448-400
5230,way/23988786-400
5254,way/20851038-400
4979,way/264102298-275
5231,GB83-400
5252,way/4715504-400
4971,way/28691559-400
5229,way/90099036-400
5253,relation/9409219-400
5206,way/34205588-400
5203,way/26678829-400
5274,way/49922626-400
8016,way/26938722-400
5210,way/26938722-400
5208,way/34656007-400
5207,relation/9572254-400
5209,way/677845115-400
