NationalGridBmUnit,carrier,bus,lon,lat,capacity
GLOFW-1,onwind,6448,-2.878418,57.219608,0.0
GRGRW-1,onwind,6466,-3.889,55.904,12.5
GYAR-1,fossil,5889,1.625977,52.596375,32.8
HBHDW-1,onwind,7469,-3.547456,55.815259,27.5
HLGLW-1,onwind,6448,-3.615587,57.51052,26.0
HLTWW-1,onwind,8013,-2.406006,57.486309,36.0
HRHLW-1,onwind,5911,-4.054104,55.405691,430.0
ILMEB-1,battery,5238,-0.892,51.741,51.7
JAMBB-1,battery,8020,-3.294,56.341,27.6
KLYN-A-1,fossil,5888,0.380117,52.727256,48.0
LITRB-1,battery,6475,-3.33,56.104,43.0
LNMTH-1,fossil,5949,-1.52083,55.20417,30.0
LNMTH-2,fossil,5949,-1.52083,55.20417,49.0
LNMTH-3,fossil,5949,-1.52083,55.20417,49.0
MANXENR-1,load,4955,0.89694,51.74139,50.0
MARK-1,biomass,6448,-3.603516,57.480403,0.0
MDLWH-1,fossil,5981,-2.42461,53.18726,49.5
MINSW-1,onwind,5919,-3.47168,55.040614,420.0
MOYEW-1,onwind,6440,-4.064872,57.390303,420.0
NEWTB-1,battery,6008,-1.327,53.138,420.0
PETEM1,fossil,6053,-0.204697,52.57694,0.0
PETDG-1,fossil,6053,-0.2037977,52.575703,55.0
PILLB-1,battery,6035,-0.407,53.796,0.0
PILLB-2,battery,6035,-0.407,53.796,36.8
RHEI-4,hydro,5933,-3.9,52.396,66.0
ROOSB-1,battery,5925,-3.189,54.105,50.0
SEVIU-1,fossil,5198,-2.9983234,51.5877364,245.0
SHOS-1,fossil,5273,-0.252686,50.882243,50.0
SKELB-1,battery,8022,-2.775,53.553,98.0
SOLUU-1,fossil,5253,-1.2764,50.7459,98.0
TAYL2G,fossil,5264,-0.2575,51.546,49.0
TAYL3G,fossil,5264,-0.2575,51.546,49.0
TIBG-1,biomass,4966,0.389,51.459,10.0
THMRB-1,battery,5238,-0.894,51.766,0.0
THRNL-1,fossil,5990,-1.6547222222222,53.677222222222,50.0
TOLLB-1,battery,5244,-0.245,51.735,0.0
TULWW-1,onwind,6462,-2.581787,56.662265,140.0
TULWW-2,onwind,6462,-2.581787,56.662265,140.0
VKING-2,fossil,5965,-1.20268,54.6067,0.0
I2D-ALEU1,interconnector,4955,0.8645384615384615,51.808076923076925,49.0
I2D-ALIP1,interconnector,4955,0.8645384615384615,51.808076923076925,40.0
I2D-ARON1,interconnector,4955,0.8645384615384615,51.808076923076925,49.5
I2D-AXPO1,interconnector,4955,0.8645384615384615,51.808076923076925,42.5
I2D-BDEN1,interconnector,4955,0.8645384615384615,51.808076923076925,42.5
I2D-BKWE1,interconnector,4955,0.8645384615384615,51.808076923076925,50.0
I2D-BNPS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-BPGM1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-CBST1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-CENT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-CETL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-CEZC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-CNGS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-CNRE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-CONS1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-CONV1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-COPN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-DARE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-DMCC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-DSKC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-DUEN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-DUGE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-DVAL1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-EDFT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-EDMK1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-ELEE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-ELTR1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-ENKI1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-ENSC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-ENSP1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-ENTC1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-EPCO1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-EZCO1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-GASE1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-GAZP1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-GLEN1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-GRMT1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-HART1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-HELI1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-IBES1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-INCM1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
I2D-MCRA1,interconnector,4955,0.8645384615384615,51.808076923076925,0.0
