LineID,bus0,bus1,voltage,s_nom,r,x,b,length,under_construction
471,way/26938722-400,way/677845115-400,400,3574.953,0.381459,3.127963,0.0002205,25430.59,f
472,way/26938722-400,way/26678829-400,400,3574.953,0.731508,5.998367,0.00042285,48767.21,f
473,way/160580052-400,GB31-400,400,3574.953,0.204514,1.677013,0.00011822,13634.25,f
474,way/96905262-275,way/27163121-275,275,1843.335,0.177022,1.172771,7.34e-05,8851.1,f
475,relation/7880111-275,way/23390317-275,275,1843.335,0.297908,1.973643,0.00012354,14895.42,f
476,GB74-400,way/1275300370-400,400,1787.476,0.179299,1.470251,2.59e-05,5976.63,f
477,GB74-275,way/1275300370-275,275,921.668,0.239732,1.588222,2.49e-05,5993.29,f
478,way/264102298-400,way/28691559-400,400,3574.953,0.663013,5.436709,0.00038326,44200.89,f
479,way/280317944-220,way/433545528-220,220,491.556,0.669798,3.360153,4.38e-05,11163.3,f
480,way/100009331-400,way/119616836-400,400,3574.953,1.098796,9.010126,0.00063516,73253.06,f
481,relation/13186702-275,way/884174267-275,275,1843.335,0.124652,0.825821,5.17e-05,6232.61,f
482,way/884174267-400,way/42800878-400,400,3574.953,0.150772,1.23633,8.72e-05,10051.46,f
483,way/142845284-400,way/89573358-400,400,1787.476,0.165999,1.361194,2.4e-05,5533.31,f
484,GB47-400,way/98899051-400,400,3574.953,0.069152,0.567045,4e-05,4610.12,f
485,way/42800878-400,way/95749833-400,400,3574.953,0.377853,3.098392,0.00021842,25190.18,f
486,GB29-275,relation/9598269-275,275,1843.335,0.381046,2.524431,0.00015802,19052.31,f
487,way/306451400-275,way/166703766-275,275,1843.335,0.654474,4.335893,0.0002714,32723.72,f
488,way/262523325-400,way/97551523-400,400,3574.953,0.144424,1.184275,8.35e-05,9628.25,f
489,way/262532045-400,way/262523325-400,400,3574.953,0.206129,1.690257,0.00011915,13741.93,f
490,relation/9409219-400,way/636630371-400,400,3574.953,0.051747,0.424324,2.99e-05,3449.79,f
491,GB22-400,way/310495264-400,400,3574.953,0.060834,0.498838,3.52e-05,4055.59,f
492,GB16-400,way/91955171-400,400,3574.953,0.110164,0.903344,6.37e-05,7344.26,f
493,way/200635683-275,way/200511209-275,275,1843.335,0.192049,1.272323,7.96e-05,9602.44,f
494,GB17-275,way/200511209-275,275,1843.335,0.135526,0.89786,5.62e-05,6776.3,f
495,way/1297690788-275,GB17-275,275,1843.335,0.21281,1.409865,8.83e-05,10640.49,f
496,GB30-400,relation/7881280-400,400,3574.953,0.084611,0.693811,4.89e-05,5640.74,f
497,GB29-275,GB28-275,275,921.668,0.728854,4.828658,7.56e-05,18221.35,f
498,way/89453364-400,relation/7650368-400,400,3574.953,0.201062,1.648706,0.00011622,13404.11,f
499,way/32342648-275,way/96905262-275,275,1843.335,0.158817,1.052163,6.59e-05,7940.85,f
500,relation/9572254-400,way/100009331-400,400,3574.953,1.460017,11.97214,0.00084397,97334.47,f
501,way/103829261-400,way/814351697-400,400,3574.953,0.224062,1.837309,0.00012952,14937.47,f
502,way/635829123-400,way/32227788-400,400,3574.953,1.188308,9.744122,0.0006869,79220.5,f
503,way/97551523-400,way/111550033-400,400,3574.953,0.02995,0.245589,1.73e-05,1996.66,f
