TransformerID,bus0,bus1,voltage_bus0,voltage_bus1,s_nom
52,way/422486984-275,way/422486984-400,275,400,3575
53,way/43303585-275,way/43303585-400,275,400,3575
54,way/43472283-275,way/43472283-400,275,400,7150
55,way/4746208-275,way/4746208-400,275,400,5363
56,way/48876730-275,way/48876730-400,275,400,1788
57,way/49499923-275,way/49499923-400,275,400,5363
58,way/635829123-220,way/635829123-400,220,400,7150
59,way/65482882-275,way/65482882-400,275,400,1788
60,way/68515955-275,way/68515955-400,275,400,3575
61,way/701436399-220,way/701436399-400,220,400,5363
62,way/785730495-275,way/785730495-400,275,400,5363
63,way/86071326-275,way/86071326-400,275,400,3687
64,way/87204522-275,way/87204522-400,275,400,8938
65,way/884174267-275,way/884174267-400,275,400,3687
66,way/895564309-220,way/895564309-400,220,400,3575
67,way/89573357-275,way/89573357-400,275,400,3575
68,way/90547674-275,way/90547674-400,275,400,4609
69,way/91955171-275,way/91955171-400,275,400,3575
70,way/92419253-275,way/92419253-400,275,400,5363
71,way/92458761-275,way/92458761-400,275,400,5363
72,way/92529432-275,way/92529432-400,275,400,12513
73,way/94004582-220,way/94004582-400,220,400,10725
74,way/94530230-275,way/94530230-400,275,400,5363
75,way/95749833-275,way/95749833-400,275,400,7150
76,way/96107758-275,way/96107758-400,275,400,7150
77,way/96905262-275,way/96905262-400,275,400,3575
78,way/97256377-275,way/97256377-400,275,400,3575
,relation/10695345-400,relation/10695345,400.0,400,
,way/1078532568-400,way/1078532568,400.0,525,
,way/109189896,way/143783006-400,450.0,400,
,way/1262971878,way/1262971878-275,320.0,275,
,way/137050527-275,way/137050527,275.0,500,
,way/148382435,way/148382435-275,500.0,275,
,way/23281217-400,way/23281217,400.0,270,
,way/297840585,way/297840585-400,600.0,400,
,way/375626500-400,way/375626500,400.0,600,
,way/536905500-400,way/536905500,400.0,400,
,way/568527671,way/166703766-275,320.0,275,
,way/636630368-400,way/636630368,400.0,320,
,way/642490160,way/310502642-275,515.0,275,
,way/775577829-400,way/775577829,400.0,320,
,relation/10695345-400,relation/10695345,400.0,400,
,way/1078532568-400,way/1078532568,400.0,525,
,way/109189896,way/143783006-400,450.0,400,
,way/1262971878,way/1262971878-275,320.0,275,
,way/137050527-275,way/137050527,275.0,500,
,way/148382435,way/148382435-275,500.0,275,
,way/23281217-400,way/23281217,400.0,270,
,way/297840585,way/297840585-400,600.0,400,
,way/375626500-400,way/375626500,400.0,600,
,way/536905500-400,way/536905500,400.0,400,
,way/568527671,way/166703766-275,320.0,275,
,way/636630368-400,way/636630368,400.0,320,
,way/642490160,way/310502642-275,515.0,275,
,way/775577829-400,way/775577829,400.0,320,
,relation/10695345-400,relation/10695345,400.0,400,
,way/1078532568-400,way/1078532568,400.0,525,
,way/109189896,way/143783006-400,450.0,400,
,way/1262971878,way/1262971878-275,320.0,275,
,way/137050527-275,way/137050527,275.0,500,
,way/148382435,way/148382435-275,500.0,275,
,way/23281217-400,way/23281217,400.0,270,
,way/297840585,way/297840585-400,600.0,400,
,way/375626500-400,way/375626500,400.0,600,
,way/536905500-400,way/536905500,400.0,400,
,way/568527671,way/166703766-275,320.0,275,
,way/636630368-400,way/636630368,400.0,320,
,way/642490160,way/310502642-275,515.0,275,
,way/775577829-400,way/775577829,400.0,320,
,relation/10695345-400,relation/10695345,400.0,400,
,way/1078532568-400,way/1078532568,400.0,525,
,way/109189896,way/143783006-400,450.0,400,
,way/1262971878,way/1262971878-275,320.0,275,
,way/137050527-275,way/137050527,275.0,500,
,way/148382435,way/148382435-275,500.0,275,
,way/23281217-400,way/23281217,400.0,270,
,way/297840585,way/297840585-400,600.0,400,
,way/375626500-400,way/375626500,400.0,600,
,way/536905500-400,way/536905500,400.0,400,
,way/568527671,way/166703766-275,320.0,275,
,way/636630368-400,way/636630368,400.0,320,
,way/642490160,way/310502642-275,515.0,275,
,way/775577829-400,way/775577829,400.0,320,
