LoadID,Bus name,load_weight,RegionName
208,way/92529432-275,0.0032173587774794,Carrington
209,way/135693940-275,0.0028738945348384,Whitegate
210,way/92737152-275,0.0035043448272255,South Manchester
211,GB40-275,0.003145826862756,Bredbury
212,way/142841192-400,0.0041408856468859,Bradford West
213,way/142841192-400,0.0041408856468859,Bradford West
214,way/186747788-275,0.0028995896682167,Knaresborough
215,way/25492769-275,0.0041444860791362,Kirkstall
216,relation/10925187-275,0.0027664735090049,Skelton Grange
217,GB28-275,0.0038368646450379,Skelton Grange
218,relation/9598269-400,0.0038024845597449,Stalybridge
219,relation/9598269-400,0.0038024845597449,Stalybridge
220,way/1097582201-400,0.0047065282270645,Elland
221,way/90539508-400,0.0051594800579143,West Melton
222,way/90539508-400,0.0051594800579143,West Melton
223,way/90539508-400,0.0047836893846146,West Melton
224,way/90539508-400,0.004484294174134,West Melton
225,way/101077623-275,0.0008257768929826,Neepsend
226,way/116539370-275,0.0041146214536733,Pitsmoor
227,way/23164256-400,0.0025764841497764,Frodsham
228,way/23164256-400,0.0025764841497764,Frodsham
229,way/127184694-400,0.0038159774224469,Shrewsbury
230,relation/7886014-400,0.0039400150733271,Ironbridge
231,way/92221420-275,0.0026642854548989,Bushbury
232,way/92419253-400,0.0041374580916287,Macclesfield
233,way/92419253-400,0.0041374580916287,Macclesfield
234,way/796648851-275,0.003614872658248,Jordanthorpe
235,way/123866712-275,0.0046051334895138,Norton Lees
236,way/123866712-275,0.0046051334895138,Norton Lees
237,way/92331023-275,0.0052701403891965,Chesterfield
238,way/167621580-400,0.0021965823226208,Oldbury
239,GB54-400,0.0036282840376951,Rugeley
240,way/94543520-275,0.0034829610406588,Bustleholme
241,way/71118225-400,0.0043229252873868,Drakelow
242,way/87204522-400,0.0029007224105898,Drakelow
243,way/87204522-400,0.0029007224105898,Drakelow
244,way/49499923-275,0.004164570297901,Hams Hall
245,way/49499923-275,0.004164570297901,Hams Hall
246,way/109463536-275,0.0016243681458162,Poppleton
247,way/90125443-400,0.0034048216273937,Osbaldwick
248,way/25629803-400,0.0041995517566176,Creyke Beck
249,way/193617444-400,0.0007573994637203,Ferrybridge (_M)
250,way/193617444-400,0.0007573994637203,Ferrybridge (_M)
251,way/90547674-400,0.0007015957430759,Ferrybridge (_M)
252,way/90547674-400,0.0007015957430759,Ferrybridge (_M)
253,way/313495269-400,0.0010314590466934,Ferrybridge (_M)
254,way/785730495-275,0.0017036974599117,Thorpe Marsh
255,way/785730495-275,0.0017036974599117,Thorpe Marsh
256,way/159736514-400,0.0029182017330439,Templeborough
257,way/115887437-275,0.001254005896144,Thorpe Marsh
258,way/159736514-275,0.0051124992989785,Templeborough
259,way/160580052-400,0.0012176691790875,Camblesforth
260,way/314338790-400,0.0029630311187859,Staythorpe
261,way/33917128-275,0.0049602262642363,Creyke Beck
262,way/33917128-275,0.0049602262642363,Creyke Beck
263,way/33917128-400,0.0050004336219694,Creyke Beck
264,way/635836276-275,0.0040245495126082,Saltend North
265,GB30-400,0.0031691423079594,Keadby
266,GB32-400,0.0028912866395753,Grimsby West
267,way/635836276-275,0.0011794916907115,Saltend North
268,way/701436399-400,0.0025486649911666,Grimsby West
269,way/160279525-400,0.0029878241212523,Grimsby West
270,way/313180501-400,0.0017962202901033,Grimsby West
271,way/143905069-275,0.0033482519696727,Staythorpe
272,way/143905069-275,0.0033482519696727,Staythorpe
273,way/314338790-400,0.0021779798802392,Staythorpe
274,way/472164401-400,0.0051863203649131,Stoke Bardolph
275,way/91003253-400,0.0025873400172668,Staythorpe
276,relation/13110368-400,0.004919839885611,Willington
277,relation/13110368-400,0.004919839885611,Willington
278,way/90534270-400,0.0056081774342883,Enderby
279,way/895564309-400,0.002805288330211,
280,way/376450057-400,0.0051491839555492,
281,way/212779654-275,0.0004569705770411,Wishaw
282,way/239248206-400,0.0001758350095109,Fasnakyle
283,way/68515955-400,0.0001134088929186,Beauly
284,way/68515955-400,0.0001134088929186,Beauly
285,way/820229174-275,0.0004271203259785,Inverness
286,relation/8087295-275,6.973788713987218e-05,Dounreay
287,way/495624575-275,0.0002718888752906,Thurso
288,way/1262971878,9.402054835896796e-05,Mybster
289,way/568527671,0.0002043463527167,Keith
290,way/1185489725-220,0.0002778773039718,Keith
291,way/1185489725-220,0.0002778773039718,Keith
292,way/1263095953-400,9.095893464147106e-05,Fort Augustus
293,way/1263095953-400,9.095893464147106e-05,Fort Augustus
294,way/307717807-275,0.0002563847913342,Taynuilt
295,way/307769998-275,0.0001094426212359,Ardkinglas
296,way/1307462736-275,3.010204847360899e-05,Sloy
297,way/91056548-400,0.0002099840926021,Devol Moor
298,way/86071326-275,0.0001982405081207,Drumchapel
299,way/86071326-275,0.0001982405081207,Drumchapel
300,way/166703759-275,0.0002172001267183,Port Dundas
301,way/109073025-275,0.0004595114277514,Port Dundas
302,way/495512692-400,0.0002052958058508,Tummel Bridge
303,way/111528318-220,0.0003181006911625,Glenagnes
304,way/422486984-275,0.000310560531562,Bonnybridge
305,way/422486984-275,0.000310560531562,Bonnybridge
306,way/119315557-275,0.0005807803432135,Dalmarnock
307,way/308724719-275,0.0006562510710565,Coatbridge
308,way/308724719-275,0.0006813281692277,Coatbridge
309,GB10-275,0.0004261366392196,Devonside
310,way/76468460-275,0.0007595794430781,Grangemouth
311,way/76468460-275,0.000395726622172,Grangemouth
312,way/76468460-275,0.000395726622172,Grangemouth
313,way/730870685-275,0.0004655059237426,Grangemouth
314,way/59736773-275,0.0004499148466298,Glenrothes
315,way/95374266-275,0.0003785628406194,Westfield
316,way/89699558-275,0.0003944845086052,Glenniston
317,way/40685663-275,0.0005320380363201,Whitehouse
318,way/40685663-275,0.000450942692647,Whitehouse
319,way/32342648-275,0.0007638910074467,Portobello
320,way/32342648-275,0.0009811234473092,Portobello
321,way/27163121-400,0.0009206726935152,Kaimes
322,way/96905262-400,0.0005521671407696,Cockenzie
323,way/96905262-400,0.0005521671407696,Cockenzie
324,way/65482882-400,0.0004501081490122,Cockenzie
325,way/65482882-400,0.0004501081490122,Cockenzie
326,way/133323988-275,0.0001707399707984,Peterhead Shell
327,way/118821349-275,0.0002723802809123,Kintore
328,GB7-275,0.0002985330893483,Persley
329,way/262523325-400,0.0002356754608461,Dunbar
330,way/262523325-400,0.0003087001451081,Dunbar
331,way/97551523-400,0.0002898700317627,Dunbar
332,GB50-400,0.003286260191985,Legacy
333,way/895564309-400,0.0027915579795238,
334,way/92340133-400,0.0040155605631156,East Claydon
335,relation/7879831-400,0.0063438945017381,Swansea North
336,relation/7879831-400,0.0062857876090131,Swansea North
337,GB58-275,0.0037208489436501,Hams Hall
338,GB58-275,0.0037208489436501,Hams Hall
339,way/280317944-220,0.0016680847567974,Connahs Quay
340,way/115530033-400,0.0031985499989597,Cowley
341,way/87464485-400,0.0036501581786472,Rye House
342,way/159736514-275,0.0039083647776293,Templeborough
343,way/96107758-275,0.0042400350260951,Feckenham
344,way/96107758-275,0.0042400350260951,Feckenham
345,GB16-400,0.0018560743942761,Stella South
346,way/95895489-400,0.0021311939318911,Rassau
347,way/308802191-275,0.0003358734457851,East Kilbride South
348,GB7-275,0.0003074566321073,Persley
349,relation/7881280-400,0.001948838831424,Keadby
350,way/23228569-275,0.0034682577679355,Brimsdown
351,way/32604320-275,0.0034799414742493,Littlebrook (_J)
352,way/95895489-400,0.0031617326302346,Rassau
353,GB13-400,0.0004073074293521,Cockenzie
354,way/95895489-400,0.0012794459291972,Rassau
355,way/96905262-275,0.0009825668965645,Cockenzie
356,way/143383456-400,0.0006505657267104,Linnmill
357,way/166703758-275,0.0004948084275809,Giffnock
358,way/89038614-400,0.0022696600690093,Eaton Socon
359,way/92419253-275,0.0059952138241059,Macclesfield
360,GB59-275,0.0053580827689971,Bishops Wood
361,GB59-275,0.0053580827689971,Bishops Wood
362,way/41710456-400,0.0061511389698915,Amersham Main
363,way/59736773-275,0.0003929451972615,Glenrothes
364,way/76468460-275,0.0004121012273264,Grangemouth
365,way/96905262-275,0.0005114916856324,Cockenzie
366,GB22-400,0.0030745368365931,Stanah
367,way/92458761-275,0.0047717560593701,Penn
368,way/81098733-275,0.0015529029583345,Washway Farm
369,way/166703758-275,0.0003837573279082,Giffnock
370,way/92458761-275,0.0033514977811853,Penn
371,way/92458761-275,0.0033514977811853,Penn
372,way/89836009-275,0.0003964463788986,Bainsford
373,way/87464485-400,0.004038196267599,Rye House
374,way/87464485-400,0.004038196267599,Rye House
375,GB30-400,0.0036972719182445,Keadby
376,way/92340133-400,0.0043321105649955,East Claydon
377,way/143383456-400,0.0004965927765194,Linnmill
378,GB20-400,0.0022474265888869,Heysham
379,way/26938722-400,0.0028967451829315,Abham
380,way/495512692-400,7.764962171600392e-05,Tummel Bridge
381,GB71-275,0.0014185591456464,Upper Boat
382,GB52-400,0.0055452153076153,
383,way/87464485-400,0.004038196267599,Rye House
384,way/87464485-400,0.004038196267599,Rye House
385,relation/7886014-400,0.0030165391485757,Ironbridge
