Latitude,Longitude,ID,PowerKW,Title (AddressInfo.Country),Title (Connections.ConnectionType),Title (OperatorInfo)
59.62692,16.53303,97039,50,Sweden,Unknown,
59.51993,15.97357,97037,50,Sweden,Unknown,
59.49244,17.73552,97036,50,Sweden,Unknown,
59.48493,10.01178,97034,50,Norway,Unknown,
59.42364,16.09805,97032,50,Sweden,Unknown,
59.39162,16.46566,97030,50,Sweden,Unknown,
59.385376,5.31541,97029,50,Norway,Unknown,
59.34113,18.08767,97026,50,Sweden,Unknown,
59.28633,18.04831,97023,50,Sweden,Unknown,
59.23035,10.27262,97022,50,Norway,Unknown,
59.19487,17.60188,97021,50,Sweden,Unknown,
58.81855,7.47149,97019,50,Norway,Unknown,
58.66495,6.71543,97015,50,Norway,Unknown,
58.61642,7.41959,97014,50,Norway,Unknown,
58.43239,15.58972,97011,50,Sweden,Unknown,
58.38386,7.73975,97009,50,Norway,Unknown,
58.26281,8.39591,97007,50,Norway,Unknown,
57.7411,12.12556,97001,50,Sweden,Unknown,
57.72035,12.97395,97000,50,Sweden,Unknown,
56.9986,13.2392,96992,50,Sweden,Unknown,
56.20389,15.64106,96985,50,Sweden,Unknown,
56.09217,12.76488,96984,50,Sweden,Unknown,
68.67876,17.91541,94956,50,Norway,Unknown,
59.09591,7.53156,94955,50,Norway,Unknown,
67.90071,15.85671,94954,50,Norway,Unknown,
66.46263,15.09289,94953,50,Norway,Unknown,
66.40434,14.52831,94952,50,Norway,Unknown,
66.08059,13.82327,94951,50,Norway,Unknown,
64.93368,13.16657,94950,50,Norway,Unknown,
64.55928,12.48518,94949,50,Norway,Unknown,
64.25328,12.21518,94948,50,Norway,Unknown,
63.73403,11.28225,94947,50,Norway,Unknown,
63.39757,10.34219,94945,50,Norway,Unknown,
62.90934,8.20767,94944,50,Norway,Unknown,
62.7518,13.84325,94943,50,Sweden,Unknown,
62.54921,9.11493,94941,50,Norway,Unknown,
62.13476,9.99351,94939,50,Norway,Unknown,
61.92499,5.14778,94938,50,Norway,Unknown,
61.50807,5.71807,94937,50,Norway,Unknown,
61.15666,13.26603,94936,50,Sweden,Unknown,
60.59782,8.34635,94934,50,Norway,Unknown,
60.45467,10.64386,94933,50,Norway,Unknown,
60.41136,8.44149,94932,50,Norway,Unknown,
60.40637,5.21947,94931,50,Norway,Unknown,
60.28293,15.99123,94930,50,Sweden,Unknown,
59.94709,5.62806,94922,50,Norway,Unknown,
59.74069,10.22045,94917,50,Norway,Unknown,
59.58508,11.16548,94915,50,Norway,Unknown,
58.90727,6.85439,94907,50,Norway,Unknown,
58.8798,14.90832,94906,50,Sweden,Unknown,
58.76897,8.48564,94905,50,Norway,Unknown,
58.46598,8.71795,94899,50,Norway,Unknown,
58.44932,6.56425,94898,50,Norway,Unknown,
58.29375,6.43996,94896,50,Norway,Unknown,
57.8122,13.41923,94892,50,Sweden,Unknown,
57.73299,12.93892,94889,50,Sweden,Unknown,
68.77969,16.58068,91935,50,Norway,Unknown,
61.20322,8.23524,91911,50,Norway,Unknown,
59.34083,18.06719,91904,50,Sweden,Unknown,
59.30159,18.10539,91903,50,Sweden,Unknown,
69.13367,18.58023,90871,50,Norway,Unknown,
67.58005,15.89228,90870,50,Norway,Unknown,
67.25916,15.39072,90869,50,Norway,Unknown,
66.98046,15.31501,90868,50,Norway,Unknown,
66.02311,12.63676,90867,50,Norway,Unknown,
62.89366,7.67994,90862,50,Norway,Unknown,
62.19331,8.53645,90860,50,Norway,Unknown,
62.01373,7.63054,90859,50,Norway,Unknown,
61.96911,6.52601,90858,50,Norway,Unknown,
61.91865,7.16936,90857,50,Norway,Unknown,
61.87715,9.09854,90856,50,Norway,Unknown,
61.73343,6.50643,90855,50,Norway,Unknown,
60.89708,5.51911,90853,50,Norway,Unknown,
60.63119,11.30237,90850,50,Norway,Unknown,
60.29271,5.23504,90847,50,Norway,Unknown,
59.91186,10.49351,90840,50,Norway,Unknown,
59.90041,10.586145,90838,50,Norway,Unknown,
59.79495,5.17248,90837,50,Norway,Unknown,
59.56532,10.26869,90835,50,Norway,Unknown,
59.40167,8.48958,90834,50,Norway,Unknown,
59.3274,18.07057,90833,50,Sweden,Unknown,
59.28212,9.27258,90832,50,Norway,Unknown,
59.12996,11.27025,90829,50,Norway,Unknown,
59.01871,8.52353,90825,50,Norway,Unknown,
58.18688,8.16075,90818,50,Norway,Unknown,
58.32391,15.09125,90814,50,Sweden,Unknown,
56.18995,14.84881,90807,50,Sweden,Unknown,
63.67413,22.70516,88731,50,Finland,Unknown,
61.42295,6.76111,88729,50,Norway,Unknown,
59.33138,18.0861,88713,50,Sweden,Unknown,
56.44528,13.60305,88705,50,Sweden,Unknown,
63.40079,10.40364,87841,50,Norway,Unknown,
60.82215,11.33716,87833,50,Norway,Unknown,
60.70117,8.93798,87832,50,Norway,Unknown,
60.59661,5.39222,87824,50,Norway,Unknown,
60.18448,12.01167,87818,50,Norway,Unknown,
60.09982,5.22503,87817,50,Norway,Unknown,
59.64513,17.93373,87811,50,Sweden,Unknown,
59.61063,16.46442,87810,50,Sweden,Unknown,
