UnitID,name,type,Bus name,x,y,capacity,Technology,Cost
189,I2G-BPGM1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
190,I2G-CBST1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
191,I2G-CENT1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
192,I2G-CETL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
193,I2G-CEZC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
194,I2G-CNGS1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
195,I2G-CNRE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
196,I2G-CONS1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
197,I2G-CONV1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
198,I2G-COPN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
199,I2G-DARE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
200,I2G-DMCC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
201,I2G-DSKC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
202,I2G-DUEN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
203,I2G-DUGE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
204,I2G-DVAL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
205,I2G-EDFT1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
206,I2G-EDMK1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
207,I2G-ELEE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
208,I2G-ELTR1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
209,I2G-ENKI1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
210,I2G-ENSC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
211,I2G-ENSP1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
212,I2G-ENTC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
213,I2G-EPCO1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
214,I2G-EZCO1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
215,I2G-GASE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
216,I2G-GAZP1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
217,I2G-GLEN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
218,I2G-GRMT1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
219,I2G-HART1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
220,I2G-HELI1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
221,I2G-IBES1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
222,I2G-INCM1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
223,I2G-MCRA1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
224,I2G-MFTE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
225,I2G-MQBN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
226,I2G-NEAS1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
227,I2G-NEHO1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
228,I2G-NITR1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
