Bus name,bus_capacity,percentage
way/842685465-275,239.3,0.45927199726701495
way/241491759-275,236.5,0.4538981502450858
way/308802191-275,227.2,0.43604930120796404
way/635226843-400,226.5,0.43470583945248176
relation/9572254-400,225.1,0.43201891594151715
way/297840585-400,223.4,0.42875622310677447
way/68515955-275,219.2,0.42069545257388075
way/422486984-275,200.0,0.38384621585208095
relation/7894974-275,199.4,0.38269467720452477
way/27163121-275,191.4,0.36734082857044154
way/222205173-275,177.6,0.3408554396766479
way/96905262-275,171.6,0.3293400532010855
way/160580052-400,160.7,0.30842043443714706
way/495624575-275,157.8,0.3028546643072919
relation/7881280-400,146.7,0.2815511993275014
way/635829123-220,146.3,0.2807835068957973
way/100077745-400,144.8,0.2779046602769067
way/95338682-400,142.5,0.2734904287946077
way/642490160,133.9,0.2569850415129682
way/111528318-275,132.4,0.2541061948940776
way/89038614-400,132.0,0.25333850246237344
way/33917128-275,131.0,0.25141927138311304
GB20-400,127.9,0.2454696550374058
GB29-275,118.0,0.22646926735272777
way/376450057-400,116.8,0.2241661900576153
way/59736773-275,116.19999999999999,0.22301465141005902
way/101365758-275,108.9,0.20900426453145812
way/91003253-400,108.3,0.20785272588390186
way/635836276-275,106.0,0.20343849440160292
way/163036722-275,101.8,0.19537772386870922
relation/11543333-400,101.7,0.19518580076078318
way/111528318-220,99.0,0.19000387684678008
way/137050527-275,98.9,0.18981195373885407
way/160279525-400,96.3,0.18482195293277698
relation/12543034-275,92.4,0.17733695172366143
way/115277975-275,91.0,0.17465002821269685
way/153884024-275,90.0,0.17273079713343645
relation/11051275-400,89.7,0.17215502780965833
GB1-220,89.69999999999999,0.1721550278096583
way/297840585-220,89.5,0.17177118159380625
way/227767019-275,88.9,0.17061964294625
way/90534270-400,88.3,0.16946810429869374
way/635829123-400,83.4,0.16006387201031777
way/307769998-275,82.5,0.1583365640389834
way/100009331-400,81.0,0.15545771742009282
way/33917128-400,79.1,0.151811178369498
way/32227788-400,79.0,0.151619255261572
way/143398451-400,77.2,0.14816463931890325
relation/7879831-275,76.2,0.14624540823964285
GB30-400,75.3,0.1445181002683085
GB16-400,75.1,0.14413425405245642
way/119315534-275,75.0,0.14394233094453038
way/820237569-400,74.5,0.14298271540490018
way/895564309-400,72.4,0.13895233013845334
way/297840585,72.0,0.13818463770674916
way/86071326-275,70.0,0.13434617554822836
GB39-400,68.0,0.1305077133897075
way/148382435,64.0,0.12283078907266592
way/163036722-400,62.10000000000001,0.11918425002207117
GB9-275,59.6,0.11438617232392014
way/25629803-400,55.5,0.10651732489895248
way/314338790-400,52.6,0.1009515547690973
way/24165071-400,52.5,0.10075963166117127
way/26678829-400,52.0,0.09980001612154106
GB43-400,50.4,0.0967292463947244
way/313495269-400,49.7,0.09538578463924213
relation/13110369-400,49.0,0.09404232288375984
GB19-220,49.0,0.09404232288375984
way/1190395478-400,48.900000000000006,0.09385039977583381
way/166764802-275,47.6,0.09135539937279528
way/472164401-400,45.7,0.08770886032220052
way/97561542-275,45.0,0.08636539856671822
GB31-400,45.0,0.08636539856671822
way/49922626-400,44.3,0.08502193681123593
way/89699558-275,43.0,0.08252693640819742
way/1153252242-275,42.0,0.080607705328937
way/43472283-275,42.0,0.080607705328937
way/25935453-400,42.0,0.080607705328937
way/142841192-275,41.0,0.07868847424967661
way/89427607-400,40.4,0.07753693560212035
way/86071326-400,40.0,0.0767692431704162
way/295657862-275,40.0,0.0767692431704162
way/143783006-400,38.2,0.07331462722774747
way/34656007-400,37.3,0.0715873192564131
way/186747788-275,37.0,0.07101154993263498
way/142741752-400,36.4,0.06986001128507874
way/42800878-400,36.0,0.06909231885337458
way/123037622-275,35.0,0.06717308777411418
GB14-400,35.0,0.06717308777411418
way/43472283-400,34.5,0.06621347223448397
GB81-400,30.0,0.05757693237781215
GB32-400,30.0,0.05757693237781215
GB18-400,29.5,0.05661731683818194
way/313180501-400,28.4,0.054506162650995504
GB35-400,28.0,0.053738470219291345
way/193617444-275,28.0,0.053738470219291345
way/190511290-400,26.7,0.05124346981625281
way/45087479-275,26.0,0.04990000806077053
relation/13110367-400,25.9,0.04970808495284449
GB46-220,25.8,0.04951616184491845
relation/2452471-275,25.2,0.0483646231973622
way/90099036-400,24.8,0.047596930765658046
way/1190395478-220,24.5,0.04702116144187992
relation/9409219-400,24.5,0.04702116144187992
relation/7894483-400,24.5,0.04702116144187992
way/308724719-275,24.0,0.04606154590224972
GB27-400,24.0,0.04606154590224972
way/422486984-400,24.0,0.04606154590224972
way/81098733-275,24.0,0.04606154590224972
way/91955171-275,24.0,0.04606154590224972
