Bus name,bus_capacity,percentage
way/292471784-400,40.3,0.09644840130193374
way/166703758-275,40.0,0.09573042312847023
way/193617444-275,40.0,0.09573042312847023
GB16-400,40.0,0.09573042312847023
GB22-400,36.2,0.08663603293126557
relation/14921826-275,36.0,0.08615738081562321
way/553490952-400,35.5,0.08496075052651733
GB7-275,35.5,0.08496075052651733
way/96107758-400,34.2,0.08184951177484205
way/292371992-275,33.3,0.07969557725445146
way/101365758-275,32.9,0.07873827302316676
way/339008021-275,32.8,0.07849894696534558
GB51-400,32.7,0.07825962090752442
relation/7894975-400,32.1,0.07682366456059736
GB56-400,32.0,0.07658433850277618
way/123037622-275,30.4,0.07275512157763736
way/1153252242-275,30.0,0.07179781734635267
way/23164132-275,30.0,0.07179781734635267
way/96630594-275,30.0,0.07179781734635267
GB9-275,29.9,0.07155849128853149
way/495512689-400,29.0,0.06940455676814092
GB79-400,28.0,0.06701129618992915
way/222987687-275,27.3,0.06533601378518093
way/49499923-400,27.2,0.06509668772735976
way/94530230-275,27.2,0.06509668772735976
way/200635683-275,26.9,0.06437870955389623
way/310495264-400,26.3,0.06294275320696918
way/41710456-400,26.3,0.06294275320696918
way/677513264-220,25.0,0.059831514455293895
way/676775628-275,25.0,0.059831514455293895
way/433545528-220,24.0,0.05743825387708214
way/87464485-400,23.4,0.05600229753015508
GB66-275,23.4,0.05600229753015508
relation/7880111-275,23.3,0.055762971472333916
way/23234477-275,23.2,0.055523645414512726
relation/11051275-400,23.1,0.05528431935669156
GB35-400,21.7,0.05193375454719509
way/264102298-275,21.0,0.05025847214244687
way/315213320-275,20.5,0.04906184185334099
way/280317944-220,20.5,0.04906184185334099
way/16582436-400,20.0,0.047865211564235115
way/27332350-275,20.0,0.047865211564235115
way/143105488-275,20.0,0.047865211564235115
way/81098733-275,19.8,0.04738655944859276
GB18-400,19.7,0.047147233390771585
relation/7894975-275,18.7,0.04475397281255983
way/166703759-275,18.4,0.044035994639096306
way/142845284-400,18.1,0.04331801646563278
way/23164256-275,17.6,0.0421213861765269
way/71118225-400,17.3,0.04140340800306337
way/91955171-400,17.1,0.040924755887421026
way/103829261-400,16.6,0.03972812559831515
way/142841192-400,16.0,0.03829216925138809
way/1262971878,15.0,0.035898908673176334
way/814351697-400,15.0,0.035898908673176334
way/97256377-275,14.600000000000001,0.034941604441891636
GB10-275,14.0,0.03350564809496458
GB47-400,13.9,0.03326632203714341
way/119315534-275,13.899999999999999,0.0332663220371434
way/95749833-400,13.4,0.03206969174803753
GB54-400,13.4,0.03206969174803753
relation/13186702-275,13.2,0.03159103963239517
way/4797228-275,13.0,0.031112387516752826
way/118821349-275,13.0,0.031112387516752826
way/92221420-275,12.0,0.02871912693854107
way/143383456-400,12.0,0.02871912693854107
way/32075668-275,11.2,0.02680451847597166
way/98788846-275,10.4,0.024889910013402263
way/730870685-275,10.0,0.023932605782117557
GB19-220,10.0,0.023932605782117557
GB29-275,10.0,0.023932605782117557
GB31-400,10.0,0.023932605782117557
way/90547674-400,10.0,0.023932605782117557
way/43303585-275,9.9,0.02369327972429638
way/227767019-275,9.8,0.023453953666475208
way/163036722-275,9.0,0.021539345203905803
way/203880168-275,8.5,0.020342714914799925
way/23248656-275,8.3,0.019864062799157575
way/89573358-400,8.3,0.019864062799157575
way/94004582-400,8.0,0.019146084625694046
way/313180501-400,7.5,0.017949454336588167
way/193617444-400,7.4,0.01771012827876699
way/402783212-275,7.1,0.016992150105303465
way/211549457-275,6.9,0.016513497989661115
GB68-275,6.9,0.016513497989661115
way/23390317-275,6.3,0.01507754164273406
way/681875115-400,6.3,0.01507754164273406
GB17-275,6.3,0.01507754164273406
relation/7894483-400,6.2,0.014838215584912887
relation/10925187-275,6.1000000000000005,0.01459888952709171
GB78-400,6.0,0.014359563469270534
way/102198808-400,5.6,0.01340225923798583
GB33-400,5.4,0.012923607122343481
way/121820285-275,5.0,0.011966302891058779
way/297840585-220,5.0,0.011966302891058779
way/92458761-275,5.0,0.011966302891058779
way/90125443-400,5.0,0.011966302891058779
relation/7894457-275,5.0,0.011966302891058779
way/313495269-400,5.0,0.011966302891058779
GB39-400,5.0,0.011966302891058779
way/422486984-400,5.0,0.011966302891058779
way/143783006-400,5.0,0.011966302891058779
way/297840585-400,5.0,0.011966302891058779
way/775577829-400,5.0,0.011966302891058779
way/842685465-275,5.0,0.011966302891058779
way/22975329-400,5.0,0.011966302891058779
way/95749833-275,4.7,0.011248324717595251
way/636630371-400,4.6,0.011008998659774076
GB25-400,4.5,0.010769672601952902
way/101312018-275,4.3,0.010291020486310549
way/163036722-400,4.2,0.010051694428489374
relation/9598269-275,4.0,0.009573042312847023
way/43472283-400,4.0,0.009573042312847023
way/568527671,4.0,0.009573042312847023
GB27-400,4.0,0.009573042312847023
GB83-400,3.9000000000000004,0.009333716255025848
way/1190395478-220,3.9,0.009333716255025847
way/148266260-275,3.8,0.00909439019720467
way/292371992-400,3.6,0.00861573808156232
way/1190395478-400,3.6,0.00861573808156232
way/92737152-275,3.5,0.008376412023741144
GB43-400,3.5,0.008376412023741144
way/27163121-275,3.0,0.007179781734635267
way/536905500-400,2.8,0.006701129618992915
way/49601061-400,2.7,0.0064618035611717405
way/102549055-400,2.5,0.005983151445529389
GB34-400,2.5,0.005983151445529389
way/31015820-400,2.3,0.005504499329887038
way/310502642-275,2.3,0.005504499329887038
way/367005272-275,2.2,0.005265173272065863
way/262523325-400,2.0,0.0047865211564235115
way/23228362-400,2.0,0.0047865211564235115
