,UnitID,name,type,Bus name,x,y,capacity,Technology,Cost,Start Year,Retired Year,Status
20,new_bio_358,Bioenergy_358,biomass,way/23132983-275,-0.0456,51.6121,70.0,biomass,,2025.0,,construction
21,new_bio_369,Bioenergy_369,biomass,way/25935453-400,0.1297,52.3979,38.0,biomass,,2000.0,,operating
22,new_bio_401,Bioenergy_401,biomass,way/193617444-275,-1.2869,53.7187,34.0,biomass,,2015.0,,operating
23,new_bio_402,Bioenergy_402,biomass,way/193617444-275,-1.2869,53.7187,34.0,biomass,,2015.0,,operating
24,new_bio_450,Bioenergy_450,biomass,way/311840838-275,-1.1991,54.6458,46.0,biomass,,,,shelved
25,new_bio_789,Bioenergy_789,biomass,way/89427607-400,-4.6186,53.3001,150.0,biomass,,,,cancelled
26,new_bio_1067,Bioenergy_1067,biomass,way/167621580-400,-1.9974,52.5074,35.0,biomass,,,,construction
27,new_bio_1103,Bioenergy_1103,biomass,way/23232738-275,-0.5057,51.4861,37.0,biomass,,2010.0,,operating
28,new_bio_1154,Bioenergy_1154,biomass,relation/7894975-400,-2.6375,53.785,42.0,biomass,,,,shelved
29,new_bio_1155,Bioenergy_1155,biomass,relation/7894457-275,-2.4759,53.2646,70.0,biomass,,2025.0,,construction
30,new_bio_1162,Bioenergy_1162,biomass,way/642490160,-1.520356,55.20475,46.666666666666664,biomass,,2015.0,,operating
31,new_bio_1163,Bioenergy_1163,biomass,way/642490160,-1.520356,55.20475,46.666666666666664,biomass,,2015.0,,operating
32,new_bio_1164,Bioenergy_1164,biomass,way/642490160,-1.520356,55.20475,46.666666666666664,biomass,,2015.0,,operating
33,new_bio_1185,Bioenergy_1185,biomass,way/121820285-275,-3.7468,51.5632,40.0,biomass,,2019.0,,operating
34,new_bio_1186,Bioenergy_1186,biomass,way/59736773-275,-3.1597,56.2018,55.0,biomass,,2015.0,,operating
35,new_bio_1259,Bioenergy_1259,biomass,relation/13110368-275,-1.2801,52.7573,42.0,biomass,,2023.0,,operating
36,new_bio_1265,Bioenergy_1265,biomass,GB30-400,-0.7012,53.6198,13.571428571428571,biomass,,2027.0,,pre-construction
37,new_bio_1273,Bioenergy_1273,biomass,way/167621580-400,-2.0288,52.5169,40.0,biomass,,2014.0,,operating
38,new_bio_1319,Bioenergy_1319,biomass,way/376450057-400,-0.1991,52.5773,42.0,biomass,,,,shelved
39,new_bio_1335,Bioenergy_1335,biomass,GB31-400,-1.0653,53.6713,53.0,biomass,,,,cancelled
40,new_bio_1354,Bioenergy_1354,biomass,GB44-275,-2.8264,53.2829,49.0,biomass,,2024.0,,construction
41,new_bio_1376,Bioenergy_1376,biomass,way/97561542-275,-1.1391,54.6257,50.0,biomass,,2025.0,,pre-construction
42,new_bio_1392,Bioenergy_1392,biomass,relation/7872518-400,0.647,51.8533,49.0,biomass,,2026.0,,construction
43,new_bio_1394,Bioenergy_1394,biomass,way/102549055-400,0.1552,51.5047,31.0,biomass,,2012.0,,operating
44,new_bio_1395,Bioenergy_1395,biomass,way/102549055-400,0.1552,51.5047,31.0,biomass,,2012.0,,operating
45,new_bio_1400,Bioenergy_1400,biomass,relation/7650368-400,-0.5207,52.059,60.0,biomass,,2022.0,,operating
46,new_bio_1403,Bioenergy_1403,biomass,GB43-400,-2.7524,53.3257,20.0,biomass,,2014.0,,operating
47,new_bio_1404,Bioenergy_1404,biomass,GB43-400,-2.7524,53.3257,20.0,biomass,,2014.0,,operating
48,new_bio_1463,Bioenergy_1463,biomass,way/292471784-400,-2.6553,51.5406,38.0,biomass,,2016.0,,operating
49,new_bio_1604,Bioenergy_1604,biomass,relation/10925187-275,-1.4978,53.7764,50.0,biomass,,,,construction
50,new_bio_1608,Bioenergy_1608,biomass,way/895564309-220,-0.3823,53.0002,38.0,biomass,,2014.0,,operating
51,new_bio_1610,Bioenergy_1610,biomass,way/23232738-275,-0.6269,51.5239,50.0,biomass,,2024.0,,construction
52,new_bio_1611,Bioenergy_1611,biomass,way/32227788-400,0.9541,52.4816,42.0,biomass,,2017.0,,operating
53,new_bio_1623,Bioenergy_1623,biomass,way/313180501-400,-0.14462,53.60078,95.0,biomass,,2025.0,,construction
54,new_bio_1625,Bioenergy_1625,biomass,way/447297184-275,-0.046,51.4859,35.0,biomass,,1994.0,,operating
55,new_bio_1632,Bioenergy_1632,biomass,way/676646876-400,-3.3806,55.153,44.0,biomass,,2008.0,,operating
56,new_bio_1661,Bioenergy_1661,biomass,way/227495569-275,-1.1586,54.6002,299.0,biomass,,,,construction
57,new_bio_1662,Bioenergy_1662,biomass,way/97561542-275,-1.0903,54.5977,50.0,biomass,,2026.0,,pre-construction
58,new_bio_1665,Bioenergy_1665,biomass,way/147475796-275,-1.373,53.4231,44.0,biomass,,2018.0,,operating
59,new_bio_1669,Bioenergy_1669,biomass,way/118821349-400,-2.3653,57.2571,15.0,biomass,,,,shelved
60,new_bio_1670,Bioenergy_1670,biomass,way/16582436-400,0.3515,51.4535,22.0,biomass,,2028.0,,construction
61,new_bio_1671,Bioenergy_1671,biomass,way/25935453-400,0.7253,52.4486,44.0,biomass,,1999.0,,operating
62,new_bio_1681,Bioenergy_1681,biomass,way/109730296-400,-1.0968,54.5675,43.0,biomass,,2017.0,,operating
63,new_bio_1682,Bioenergy_1682,biomass,GB73-400,0.3456,51.4645,45.0,biomass,,,,pre-construction
64,new_bio_1784,Bioenergy_1784,biomass,way/91010022-400,0.7608,51.3659,50.0,biomass,,2020.0,,operating
65,new_bio_1789,Bioenergy_1789,biomass,way/97561542-275,-1.118,54.5895,24.5,biomass,,2018.0,,operating
66,new_bio_1790,Bioenergy_1790,biomass,way/97561542-275,-1.118,54.5895,24.5,biomass,,2018.0,,operating
67,new_bio_1795,Bioenergy_1795,biomass,relation/10377509-400,-3.5473,54.664,49.0,biomass,,2013.0,,operating
68,new_biomass_120,biomass_120,biomass,way/292471784-400,-2.6687,51.5329,34.0,biomass,,2021.0,,operating
69,new_biomass_181,biomass_181,biomass,way/101312018-275,-1.4007,53.4204,30.0,biomass,,1921.0,,operating
70,new_biomass_199,biomass_199,biomass,GB32-400,-0.5092,53.5423,40.0,biomass,,2016.0,,operating
71,new_biomass_226,biomass_226,biomass,way/98788846-275,-3.1504,51.4711,30.0,biomass,,2015.0,,operating
72,new_biomass_347,biomass_347,biomass,way/160580052-400,-0.999021,53.737196,645.0,biomass,,1975.0,,operating
73,new_biomass_348,biomass_348,biomass,way/160580052-400,-0.999021,53.737196,645.0,biomass,,1975.0,,operating
74,new_biomass_349,biomass_349,biomass,way/160580052-400,-0.999021,53.737196,645.0,biomass,,1975.0,,operating
75,new_biomass_350,biomass_350,biomass,way/160580052-400,-0.999021,53.737196,645.0,biomass,,1986.0,,operating
76,new_biomass_352,biomass_352,biomass,way/111550033-400,-2.4638,55.9761,30.0,biomass,,2019.0,,operating
77,new_biomass_358,biomass_358,biomass,way/23132983-275,-0.0456,51.6121,70.0,biomass,,2025.0,,construction
78,new_biomass_369,biomass_369,biomass,way/25935453-400,0.1297,52.3979,38.0,biomass,,2000.0,,operating
79,new_biomass_401,biomass_401,biomass,way/193617444-275,-1.2869,53.7187,68.0,biomass,,2015.0,,operating
80,new_biomass_402,biomass_402,biomass,way/193617444-275,-1.2869,53.7187,70.0,biomass,,2019.0,,operating
81,new_biomass_450,biomass_450,biomass,way/311840838-275,-1.1991,54.6458,46.0,biomass,,,,shelved
82,new_biomass_788,biomass_788,biomass,way/89427607-400,-4.6186,53.3001,149.0,biomass,,,,cancelled
83,new_biomass_789,biomass_789,biomass,way/89427607-400,-4.6186,53.3001,150.0,biomass,,,,cancelled
84,new_biomass_1067,biomass_1067,biomass,way/167621580-400,-1.9974,52.5074,35.0,biomass,,,,construction
85,new_biomass_1103,biomass_1103,biomass,way/23232738-275,-0.5057,51.4861,37.0,biomass,,2010.0,,operating
86,new_biomass_1154,biomass_1154,biomass,relation/7894975-400,-2.6375,53.785,42.0,biomass,,,,shelved
87,new_biomass_1155,biomass_1155,biomass,relation/7894457-275,-2.4759,53.2646,70.0,biomass,,2025.0,,construction
88,new_biomass_1162,biomass_1162,biomass,way/642490160,-1.520356,55.20475,140.0,biomass,,2015.0,,operating
89,new_biomass_1163,biomass_1163,biomass,way/642490160,-1.520356,55.20475,140.0,biomass,,1972.0,2015.0,operating
90,new_biomass_1164,biomass_1164,biomass,way/642490160,-1.520356,55.20475,140.0,biomass,,1972.0,2015.0,operating
91,new_biomass_1185,biomass_1185,biomass,way/121820285-275,-3.7468,51.5632,40.0,biomass,,2019.0,,operating
92,new_biomass_1186,biomass_1186,biomass,way/59736773-275,-3.1597,56.2018,55.0,biomass,,2015.0,,operating
93,new_biomass_1259,biomass_1259,biomass,relation/13110368-275,-1.2801,52.7573,42.0,biomass,,2023.0,,operating
94,new_biomass_1265,biomass_1265,biomass,GB30-400,-0.7012,53.6198,95.0,biomass,,2027.0,,pre-construction
95,new_biomass_1273,biomass_1273,biomass,way/167621580-400,-2.0288,52.5169,40.0,biomass,,2014.0,,operating
96,new_biomass_1319,biomass_1319,biomass,way/376450057-400,-0.1991,52.5773,42.0,biomass,,,,shelved
97,new_biomass_1335,biomass_1335,biomass,GB31-400,-1.0653,53.6713,53.0,biomass,,,,cancelled
98,new_biomass_1354,biomass_1354,biomass,GB44-275,-2.8264,53.2829,49.0,biomass,,2024.0,,construction
99,new_biomass_1376,biomass_1376,biomass,way/97561542-275,-1.1391,54.6257,50.0,biomass,,2025.0,,pre-construction
100,new_biomass_1392,biomass_1392,biomass,relation/7872518-400,0.647,51.8533,49.0,biomass,,2026.0,,construction
101,new_biomass_1394,biomass_1394,biomass,way/102549055-400,0.1552,51.5047,62.0,biomass,,2012.0,,operating
102,new_biomass_1395,biomass_1395,biomass,way/102549055-400,0.1552,51.5047,64.0,biomass,,2026.0,,construction
103,new_biomass_1400,biomass_1400,biomass,relation/7650368-400,-0.5207,52.059,60.0,biomass,,2022.0,,operating
104,new_biomass_1403,biomass_1403,biomass,GB43-400,-2.7524,53.3257,40.0,biomass,,2014.0,,operating
105,new_biomass_1404,biomass_1404,biomass,GB43-400,-2.7524,53.3257,40.0,biomass,,2015.0,,operating
106,new_biomass_1463,biomass_1463,biomass,way/292471784-400,-2.6553,51.5406,38.0,biomass,,2016.0,,operating
107,new_biomass_1604,biomass_1604,biomass,relation/10925187-275,-1.4978,53.7764,50.0,biomass,,,,construction
108,new_biomass_1608,biomass_1608,biomass,way/895564309-220,-0.3823,53.0002,38.0,biomass,,2014.0,,operating
109,new_biomass_1610,biomass_1610,biomass,way/23232738-275,-0.6269,51.5239,50.0,biomass,,2024.0,,construction
110,new_biomass_1611,biomass_1611,biomass,way/32227788-400,0.9541,52.4816,42.0,biomass,,2017.0,,operating
111,new_biomass_1623,biomass_1623,biomass,way/313180501-400,-0.14462,53.60078,95.0,biomass,,2025.0,,construction
112,new_biomass_1625,biomass_1625,biomass,way/447297184-275,-0.046,51.4859,35.0,biomass,,1994.0,,operating
113,new_biomass_1632,biomass_1632,biomass,way/676646876-400,-3.3806,55.153,44.0,biomass,,2008.0,,operating
114,new_biomass_1661,biomass_1661,biomass,way/227495569-275,-1.1586,54.6002,299.0,biomass,,,,construction
115,new_biomass_1662,biomass_1662,biomass,way/97561542-275,-1.0903,54.5977,50.0,biomass,,2026.0,,pre-construction
116,new_biomass_1665,biomass_1665,biomass,way/147475796-275,-1.373,53.4231,44.0,biomass,,2018.0,,operating
117,new_biomass_1669,biomass_1669,biomass,way/118821349-400,-2.3653,57.2571,30.0,biomass,,,,shelved
118,new_biomass_1670,biomass_1670,biomass,way/16582436-400,0.3515,51.4535,44.0,biomass,,2028.0,,construction
119,new_biomass_1671,biomass_1671,biomass,way/25935453-400,0.7253,52.4486,44.0,biomass,,1999.0,,operating
120,new_biomass_1681,biomass_1681,biomass,way/109730296-400,-1.0968,54.5675,43.0,biomass,,2017.0,,operating
121,new_biomass_1682,biomass_1682,biomass,GB73-400,0.3456,51.4645,45.0,biomass,,,,pre-construction
122,new_biomass_1784,biomass_1784,biomass,way/91010022-400,0.7608,51.3659,50.0,biomass,,2020.0,,operating
123,new_biomass_1789,biomass_1789,biomass,way/97561542-275,-1.118,54.5895,30.0,biomass,,2007.0,,operating
124,new_biomass_1790,biomass_1790,biomass,way/97561542-275,-1.118,54.5895,49.0,biomass,,2018.0,,operating
125,new_biomass_1795,biomass_1795,biomass,relation/10377509-400,-3.5473,54.664,49.0,biomass,,2013.0,,operating
126,752,BURWS-1,solar,way/25935453-400,0.302,52.283,49.9,solar,0.01,,,construction
127,843,LARKS-1,solar,way/45087479-275,-2.477369,51.57851,49.9,solar,0.01,2023.0,,operating
128,new_solar_21771,solar_21771,solar,way/89038614-400,-0.1982,52.3787,24.7,solar,,2014.0,,operating
129,new_solar_21772,solar_21772,solar,way/263863442-400,-1.4931,51.8283,20.0,solar,,,,pre-construction
130,new_solar_21773,solar_21773,solar,way/4746208-400,-0.3376,51.6573,49.9,solar,,,,cancelled
131,new_solar_21774,solar_21774,solar,way/92331023-275,-1.402,53.1018,20.0,solar,,,,shelved - inferred 2 y
132,new_solar_21775,solar_21775,solar,way/92331023-275,-1.4013,53.1129,25.0,solar,,,,cancelled
133,new_solar_21776,solar_21776,solar,GB56-400,-1.6474,52.6399,30.0,solar,,,,pre-construction
134,new_solar_21777,solar_21777,solar,way/92460913-400,-2.4141,51.795,49.9,solar,,,,cancelled
135,new_solar_21778,solar_21778,solar,way/92260633-275,-1.5074,52.2308,50.0,solar,,,,pre-construction
136,new_solar_21779,solar_21779,solar,way/55284068-275,-1.5614,52.4991,30.0,solar,,,,pre-construction
137,new_solar_21780,solar_21780,solar,way/89453364-400,-0.7338,51.8106,24.2,solar,,2015.0,,operating
138,new_solar_21781,solar_21781,solar,way/87204522-275,-1.743,52.8817,20.0,solar,,2015.0,,operating
139,new_solar_21782,solar_21782,solar,way/32227788-400,1.0281,52.4972,30.0,solar,,,,construction
140,new_solar_21783,solar_21783,solar,way/263863442-400,-1.4036,51.781,32.0,solar,,,,construction
141,new_solar_21784,solar_21784,solar,way/45087479-275,-2.5227,51.5397,21.0,solar,,2014.0,,operating
142,new_solar_21785,solar_21785,solar,way/92460913-400,-2.4215,51.7747,49.9,solar,,,,cancelled
143,new_solar_21786,solar_21786,solar,way/160279525-400,-0.1937,53.5523,50.0,solar,,,,pre-construction
144,new_solar_21787,solar_21787,solar,way/96630594-275,-1.5525,55.043,28.0,solar,,,,pre-construction
145,new_solar_21788,solar_21788,solar,way/310495264-400,-2.9687,53.7734,25.0,solar,,,,pre-construction
146,new_solar_21789,solar_21789,solar,way/230134599-275,-6.4404,54.9985,25.0,solar,,2017.0,,operating
147,new_solar_21790,solar_21790,solar,way/88389243-400,-0.8714,51.3873,33.0,solar,,2026.0,,pre-construction
148,new_solar_21791,solar_21791,solar,relation/13110368-400,-1.2011,52.8018,30.0,solar,,,,shelved
149,new_solar_21792,solar_21792,solar,relation/13110368-400,-1.2011,52.8018,30.0,solar,,,,cancelled
150,new_solar_21793,solar_21793,solar,relation/9409219-400,-1.4795,50.6942,30.0,solar,,,,pre-construction
151,new_solar_21794,solar_21794,solar,way/193617444-275,-1.3648,53.7571,40.0,solar,,,,pre-construction
152,new_solar_21795,solar_21795,solar,way/92260633-275,-1.5683,52.4392,27.0,solar,,2025.0,,pre-construction
153,new_solar_21796,solar_21796,solar,way/91003253-400,-0.7827,52.8947,49.9,solar,,,,cancelled
154,new_solar_21797,solar_21797,solar,GB14-400,-4.6485,55.683,63.0,solar,,,,pre-construction
155,new_solar_21798,solar_21798,solar,way/127184694-400,-2.7075,52.6544,30.0,solar,,,,cancelled
156,new_solar_21799,solar_21799,solar,way/111528318-220,-3.027,56.47,49.9,solar,,,,pre-construction
157,new_solar_21800,solar_21800,solar,way/133323988-275,-1.9126,57.5894,36.6,solar,,,,construction
158,new_solar_21801,solar_21801,solar,way/88389243-400,-0.8087,51.4598,21.5,solar,,,,pre-construction
159,new_solar_21802,solar_21802,solar,way/314338790-400,-0.5683,53.2624,20.0,solar,,,,shelved
160,new_solar_21803,solar_21803,solar,GB63-400,0.7993,51.8593,40.0,solar,,,,pre-construction
161,new_solar_21804,solar_21804,solar,way/96107758-275,-2.0025,52.1623,30.0,solar,,,,construction
162,new_solar_21805,solar_21805,solar,way/77065229-400,0.0489,52.0782,31.8,solar,,2015.0,,operating
163,new_solar_21806,solar_21806,solar,relation/13110367-400,-4.8713,51.6928,22.0,solar,,,,pre-construction
164,new_solar_21807,solar_21807,solar,way/32796576-400,-1.0173,51.387,25.8,solar,,,,pre-construction
165,new_solar_21808,solar_21808,solar,way/32227788-400,1.2671,52.5519,49.9,solar,,,,pre-construction
166,new_solar_21809,solar_21809,solar,way/263863442-400,-1.4003,51.6051,29.0,solar,,2015.0,,operating
167,new_solar_21810,solar_21810,solar,relation/11543333-400,-1.7926,54.6215,50.0,solar,,,,pre-construction
168,new_solar_21811,solar_21811,solar,way/29111844-400,0.7269,51.6217,50.0,solar,,,,pre-construction
169,new_solar_21812,solar_21812,solar,way/23059230-400,-1.2577,51.9438,840.0,solar,,,,pre-construction
170,new_solar_21813,solar_21813,solar,way/90099036-400,-1.854,50.796,37.0,solar,,2014.0,,operating
171,new_solar_21814,solar_21814,solar,way/25935453-400,0.319,52.319,28.0,solar,,2023.0,,operating
172,new_solar_21815,solar_21815,solar,way/32227788-400,1.2116,52.5616,28.5,solar,,,,construction
173,new_solar_21816,solar_21816,solar,way/25422135-220,1.0464,52.0774,33.0,solar,,,,pre-construction
174,new_solar_21817,solar_21817,solar,way/25422135-220,1.0438,52.0878,49.9,solar,,,,pre-construction
175,new_solar_21818,solar_21818,solar,way/32796576-400,-1.0695,51.3388,49.9,solar,,,,pre-construction
176,new_solar_21819,solar_21819,solar,way/143905069-400,-0.4658,53.1837,40.0,solar,,,,construction
177,new_solar_21820,solar_21820,solar,way/25935453-400,0.3492,52.2919,49.9,solar,,,,pre-construction
178,new_solar_21821,solar_21821,solar,way/90547685-275,-1.1533,53.2046,45.4,solar,,,,pre-construction
179,new_solar_21822,solar_21822,solar,relation/7886014-400,-2.6249,52.3331,49.9,solar,,,,pre-construction
180,new_solar_21823,solar_21823,solar,way/88287125-400,-0.6455,52.4419,49.9,solar,,,,pre-construction
181,new_solar_21824,solar_21824,solar,way/642490160,-1.5927,55.1245,50.0,solar,,,,pre-construction
182,new_solar_21825,solar_21825,solar,relation/7650368-400,-0.5884,52.0531,40.0,solar,,,,cancelled
183,new_solar_21826,solar_21826,solar,GB63-400,0.5172,52.1314,31.6,solar,,2014.0,,operating
184,new_solar_21827,solar_21827,solar,way/295657862-275,-3.7924,51.7967,20.0,solar,,,,pre-construction
185,new_solar_21828,solar_21828,solar,way/295657862-275,-3.7924,51.7967,20.0,solar,,,,pre-construction
186,new_solar_21829,solar_21829,solar,relation/7879831-275,-4.0432,51.7536,36.0,solar,,,,pre-construction
187,new_solar_21830,solar_21830,solar,way/222987687-275,-3.2307,51.4649,21.0,solar,,,,pre-construction
188,new_solar_21831,solar_21831,solar,way/127184694-400,-2.726,52.976,40.0,solar,,2023.0,,operating
189,new_solar_21832,solar_21832,solar,GB64-220,1.2833,52.0342,25.0,solar,,,,pre-construction
190,new_solar_21833,solar_21833,solar,way/23229136-275,0.3399,51.5392,49.9,solar,,,,pre-construction
191,new_solar_21834,solar_21834,solar,relation/13110369-400,-0.8221,53.3829,49.9,solar,,,,pre-construction
192,new_solar_21835,solar_21835,solar,way/88389243-400,-0.9562,51.2996,49.9,solar,,,,construction
193,new_solar_21836,solar_21836,solar,way/115530033-400,-1.1811,51.6586,49.9,solar,,,,pre-construction
194,new_solar_21837,solar_21837,solar,way/642490160,-1.6327,55.141,50.0,solar,,,,pre-construction
195,new_solar_21838,solar_21838,solar,relation/9572254-400,-4.936,50.3753,49.9,solar,,,,pre-construction
196,new_solar_21839,solar_21839,solar,relation/11543333-400,-1.5746,54.5432,49.9,solar,,,,pre-construction
197,new_solar_21840,solar_21840,solar,way/25935453-400,0.304,52.284,49.9,solar,,,,construction
198,new_solar_21841,solar_21841,solar,way/89453364-400,-0.6438,51.8793,49.9,solar,,,,pre-construction
199,new_solar_21842,solar_21842,solar,way/77065229-400,0.002,52.0796,24.0,solar,,2014.0,,operating
200,new_solar_21843,solar_21843,solar,way/91003253-400,-0.735,52.9725,50.0,solar,,,,pre-construction
201,new_solar_21844,solar_21844,solar,way/89038614-400,-0.2071,52.2104,30.0,solar,,,,pre-construction
202,new_solar_21845,solar_21845,solar,way/43472283-275,-1.3818,54.5879,49.9,solar,,,,pre-construction
203,new_solar_21846,solar_21846,solar,way/92340133-400,-0.877,51.7623,49.9,solar,,,,pre-construction
204,new_solar_21847,solar_21847,solar,way/160580052-400,-1.0207,53.7336,49.9,solar,,,,pre-construction
205,new_solar_21848,solar_21848,solar,way/89038614-400,-0.0179,52.2381,49.9,solar,,,,cancelled
206,new_solar_21849,solar_21849,solar,way/29111844-400,0.7066,51.6137,49.9,solar,,,,pre-construction
207,new_solar_21850,solar_21850,solar,way/29111844-400,0.5335,51.6615,49.9,solar,,,,pre-construction
208,new_solar_21851,solar_21851,solar,way/34656007-400,-4.51,50.7039,42.0,solar,,,,pre-construction
209,new_solar_21852,solar_21852,solar,way/34656007-400,-4.4906,50.7035,41.0,solar,,2014.0,,operating
210,new_solar_21853,solar_21853,solar,way/33917128-400,-0.3568,53.8292,49.9,solar,,,,pre-construction
211,new_solar_21854,solar_21854,solar,way/33917128-400,-0.3819,53.8613,49.9,solar,,,,pre-construction
212,new_solar_21855,solar_21855,solar,way/33917128-400,-0.3567,53.8292,49.9,solar,,,,pre-construction
213,new_solar_21856,solar_21856,solar,way/635226843-400,0.0894,52.8519,49.9,solar,,,,pre-construction
214,new_solar_21857,solar_21857,solar,way/186747788-275,-1.556,54.0683,49.9,solar,,,,pre-construction
215,new_solar_21858,solar_21858,solar,way/263863442-400,-1.404,51.6513,20.0,solar,,,,shelved
216,new_solar_21859,solar_21859,solar,way/263863442-400,-1.4022,51.6507,30.0,solar,,,,cancelled
217,new_solar_21860,solar_21860,solar,relation/7650368-400,-0.5188,51.9374,40.0,solar,,,,pre-construction
218,new_solar_21861,solar_21861,solar,relation/7650368-400,-0.5231,51.9348,24.6,solar,,,,cancelled
219,new_solar_21862,solar_21862,solar,way/23059230-400,-1.0597,51.6705,21.3,solar,,2015.0,,operating
220,new_solar_21863,solar_21863,solar,relation/10695345-400,1.337,51.155,24.0,solar,,,,pre-construction
221,new_solar_21864,solar_21864,solar,way/90099036-400,-1.8612,50.7918,20.0,solar,,2014.0,,operating
222,new_solar_21865,solar_21865,solar,way/90099036-400,-1.8563,50.7959,36.0,solar,,2014.0,,operating
223,new_solar_21866,solar_21866,solar,way/29111844-400,0.5644,51.6183,49.9,solar,,,,cancelled
224,new_solar_21867,solar_21867,solar,way/88287125-400,-0.5367,52.2976,21.0,solar,,,,shelved
225,new_solar_21868,solar_21868,solar,way/89038614-400,-0.0069,52.2415,50.0,solar,,2025.0,,pre-construction
226,new_solar_21869,solar_21869,solar,way/23988786-400,-1.6097,51.1997,22.5,solar,,,,pre-construction
227,new_solar_21870,solar_21870,solar,way/88389243-400,-0.9598,51.2472,49.9,solar,,,,pre-construction
228,new_solar_21871,solar_21871,solar,relation/13110368-275,-1.2536,52.846,49.9,solar,,,,pre-construction
229,new_solar_21872,solar_21872,solar,way/25422135-220,1.0416,52.076,49.9,solar,,,,pre-construction
230,new_solar_21873,solar_21873,solar,way/127184694-400,-2.6265,52.7124,25.0,solar,,,,pre-construction
231,new_solar_21874,solar_21874,solar,way/95279334-400,-1.9217,51.7109,23.0,solar,,2022.0,,operating
232,new_solar_21875,solar_21875,solar,way/92460913-400,-2.6269,52.0534,43.0,solar,,,,pre-construction
233,new_solar_21876,solar_21876,solar,way/23229136-275,0.3222,51.5408,49.9,solar,,,,pre-construction
234,new_solar_21877,solar_21877,solar,way/92460913-400,-2.0999,51.9817,49.9,solar,,,,pre-construction
235,new_solar_21878,solar_21878,solar,way/49922626-400,-2.5998,50.9076,35.0,solar,,,,construction
236,new_solar_21879,solar_21879,solar,way/87204522-275,-1.6449,52.675,49.9,solar,,,,pre-construction
237,new_solar_21880,solar_21880,solar,way/103915328-275,-2.224,51.3315,20.0,solar,,2015.0,,operating
238,new_solar_21881,solar_21881,solar,way/100009331-400,-3.9839,50.8971,50.0,solar,,,,pre-construction
239,new_solar_21882,solar_21882,solar,way/77065229-400,0.2855,52.0076,30.0,solar,,,,pre-construction
240,new_solar_21883,solar_21883,solar,way/142741752-400,-1.908,52.7622,49.9,solar,,,,pre-construction
241,new_solar_21884,solar_21884,solar,way/32227788-400,1.0898,52.6473,30.0,solar,,,,construction
242,new_solar_21885,solar_21885,solar,GB58-275,-1.7237,52.1637,26.0,solar,,,,pre-construction
243,new_solar_21886,solar_21886,solar,way/90547685-275,-1.2474,53.3722,49.0,solar,,,,pre-construction
244,new_solar_21887,solar_21887,solar,way/91003253-400,-0.7353,53.0222,30.0,solar,,2016.0,,operating
245,new_solar_21888,solar_21888,solar,relation/9572254-400,-5.3256,50.1909,30.0,solar,,,,cancelled
246,new_solar_21889,solar_21889,solar,way/88389243-400,-0.9627,51.1283,49.9,solar,,,,pre-construction
