BusID,bus_name,voltage,x,y,RegionName,color,geometry,index_right,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE
80,relation/10377509-400,400.0,-3.050444102,55.03199063,Chapelcross,green,POINT (-3.050444102 55.03199063),952.0,UKM92,3.0,UK,Dumfries & Galloway,Dumfries & Galloway,4.0,3.0,1.0
81,relation/10695345-400,400.0,1.345638898,51.30987814,Richborough,red,POINT (1.345638898 51.30987814),1487.0,UKJ44,3.0,UK,East Kent,East Kent,4.0,1.0,1.0
82,relation/10925187-275,275.0,-1.49655456,53.77709845,Skelton Grange,green,POINT (-1.49655456 53.77709845),1362.0,UKE42,3.0,UK,Leeds,Leeds,4.0,1.0,2.0
83,relation/11051275-400,400.0,-2.670464759,54.29765311,Hutton,green,POINT (-2.670464759 54.29765311),1186.0,UKD12,3.0,UK,East Cumbria,East Cumbria,4.0,2.0,1.0
84,relation/11543333-400,400.0,-1.555028214,54.70567199,Spennymoor,green,POINT (-1.555028214 54.70567199),1104.0,UKC14,3.0,UK,Durham CC,Durham CC,4.0,1.0,1.0
85,relation/12543034-275,275.0,-3.299087619,51.57455529,Upper Boat,green,POINT (-3.299087619 51.57455529),1489.0,UKL15,3.0,UK,Central Valleys,Central Valleys,3.0,1.0,2.0
86,relation/13110367-400,400.0,-4.989693057,51.68215993,Pembroke,green,POINT (-4.989693057 51.68215993),1132.0,UKL14,3.0,UK,South West Wales,South West Wales,4.0,3.0,1.0
87,relation/13110368-275,275.0,-1.255426653,52.86342639,Willington,red,POINT (-1.255426653 52.86342639),1119.0,UKF16,3.0,UK,South Nottinghamshire,South Nottinghamshire,4.0,1.0,3.0
88,relation/13110368-400,400.0,-1.255163941,52.86364381,Willington,green,POINT (-1.255163941 52.86364381),1119.0,UKF16,3.0,UK,South Nottinghamshire,South Nottinghamshire,4.0,1.0,3.0
89,relation/13110369-400,400.0,-0.80883446,53.35935915,Staythorpe,red,POINT (-0.80883446 53.35935915),1112.0,UKF15,3.0,UK,North Nottinghamshire,North Nottinghamshire,4.0,1.0,2.0
90,relation/13186702-275,275.0,-2.97612483,51.54838496,Uskmouth,red,POINT (-2.97612483 51.54838496),1134.0,UKL21,3.0,UK,Monmouthshire and Newport,Monmouthshire and Newport,4.0,1.0,1.0
91,relation/14921826-275,275.0,-2.96240536,54.94214226,Harker,green,POINT (-2.96240536 54.94214226),1186.0,UKD12,3.0,UK,East Cumbria,East Cumbria,4.0,2.0,1.0
92,relation/14921826-400,400.0,-2.962139659,54.94236341,Harker,red,POINT (-2.962139659 54.94236341),1186.0,UKD12,3.0,UK,East Cumbria,East Cumbria,4.0,2.0,1.0
93,relation/2452471-275,275.0,-3.860721547,56.00757672,Bonnybridge,red,POINT (-3.860721547 56.00757672),1467.0,UKM76,3.0,UK,Falkirk,Falkirk,4.0,1.0,1.0
94,relation/7650368-400,400.0,-0.500739962,51.93429316,Sundon,green,POINT (-0.500739962 51.93429316),1172.0,UKH25,3.0,UK,Central Bedfordshire,Central Bedfordshire,4.0,1.0,3.0
95,relation/7872518-400,400.0,0.575898117,51.86573283,Braintree,green,POINT (0.575898117 51.86573283),1399.0,UKH34,3.0,UK,Essex Haven Gateway,Essex Haven Gateway,4.0,2.0,1.0
96,relation/7879831-275,275.0,-3.958613809,51.68587296,Swansea North,red,POINT (-3.958613809 51.68587296),1133.0,UKL18,3.0,UK,Swansea,Swansea,4.0,1.0,1.0
97,relation/7879831-400,400.0,-3.958370213,51.6860959,Swansea North,green,POINT (-3.958370213 51.6860959),1133.0,UKL18,3.0,UK,Swansea,Swansea,4.0,1.0,1.0
98,relation/7880111-275,275.0,-0.48424131,51.3504784,West Weybridge,green,POINT (-0.48424131 51.3504784),1401.0,UKJ25,3.0,UK,West Surrey,West Surrey,4.0,1.0,2.0
99,relation/7880111-400,400.0,-0.483982929,51.35069411,West Weybridge,green,POINT (-0.483982929 51.35069411),1401.0,UKJ25,3.0,UK,West Surrey,West Surrey,4.0,1.0,2.0
100,relation/7881280-400,400.0,-0.756037109,53.59806107,Keadby,green,POINT (-0.756037109 53.59806107),1353.0,UKE13,3.0,UK,North and North East Lincolnshire,North and North East Lincolnshire,4.0,2.0,1.0
