id,tech,capacity_mw,abs_year,stage,discount_factor,discounted_pre_dev_per_mw,discounted_construction_per_mw,discounted_fixed_om_per_mw,discounted_variable_om_per_mw,discounted_total_cost_per_mw,discounted_mwh_per_mw,discounted_pre_dev_total,discounted_construction_total,discounted_fixed_om_total,discounted_variable_om_total,discounted_total_cost,discounted_mwh_total,discounted_infra_lump_total
onwind_26675,onshore_wind,66.0,22,operation,0.3278337971784007,0.0,0.0,10064.497573376902,7366.2287223203575,17430.72629569726,1227.704787053393,0.0,0.0,664256.8398428756,486171.0956731436,1150427.9355160191,81028.51594552393,0.0
onwind_26675,onshore_wind,66.0,23,operation,0.3116290847703429,0.0,0.0,9567.012902449527,7002.118557338743,16569.13145978827,1167.019759556457,0.0,0.0,631422.8515616688,462139.82478435704,1093562.676346026,77023.30413072617,0.0
onwind_26675,onshore_wind,66.0,24,operation,0.2962253657512765,0.0,0.0,9094.118728564188,6656.006233211732,15750.12496177592,1109.3343722019554,0.0,0.0,600211.8360852364,439296.4113919743,1039508.2474772107,73216.06856532906,0.0
onwind_26675,onshore_wind,66.0,25,operation,0.28158304729208794,0.0,0.0,8644.5995518671,6327.0021228248415,14971.601674691941,1054.50035380414,0.0,0.0,570543.5704232287,417582.14010643953,988125.7105296681,69597.02335107325,0.0
onwind_26675,onshore_wind,66.0,26,operation,0.26766449362365774,0.0,0.0,8217.299954246293,6014.260573027415,14231.560527273708,1002.3767621712359,0.0,0.0,542341.7969802553,396941.19781980943,939282.9948000647,66156.86630330156,0.0
onwind_26675,onshore_wind,66.0,27,operation,0.2544339293000549,0.0,0.0,7811.121629511685,5716.977731014654,13528.09936052634,952.8296218357755,0.0,0.0,515534.02754777117,377320.53024696716,892854.5577947384,62886.75504116118,0.0
onwind_26675,onshore_wind,66.0,28,operation,0.24185734724339814,0.0,0.0,7425.0205603723225,5434.389478150811,12859.410038523132,905.7315796918017,0.0,0.0,490051.3569845733,358669.7055579535,848721.0625425267,59778.28425965891,0.0
onwind_26675,onshore_wind,66.0,29,operation,0.22990242133402866,0.0,0.0,7058.0043349546795,5165.769465922824,12223.773800877503,860.9615776538039,0.0,0.0,465828.28610700887,340940.78475090634,806769.0708579152,56823.46412515106,0.0
onwind_26675,onshore_wind,66.0,30,operation,0.21853842332131998,0.0,0.0,6709.129595964523,4910.427248976068,11619.556844940591,818.4045414960112,0.0,0.0,442802.55333365855,324088.1984324205,766890.751766079,54014.699738736745,0.0
onwind_26684,onshore_wind,34.0,0,pre_dev,1.0,32500.0,0.0,0.0,0.0,32500.0,0.0,1105000.0,0.0,0.0,0.0,1105000.0,0.0,0.0
onwind_26684,onshore_wind,34.0,1,pre_dev,0.9505703422053231,30893.536121673,0.0,0.0,0.0,30893.536121673,0.0,1050380.228136882,0.0,0.0,0.0,1050380.228136882,0.0,0.0
onwind_26684,onshore_wind,34.0,2,pre_dev,0.9035839754803451,29366.479203111216,0.0,0.0,0.0,29366.479203111216,0.0,998460.2929057813,0.0,0.0,0.0,998460.2929057813,0.0,0.0
onwind_26684,onshore_wind,34.0,3,pre_dev,0.858920128783598,27914.904185466934,0.0,0.0,0.0,27914.904185466934,0.0,949106.7423058758,0.0,0.0,0.0,949106.7423058758,0.0,0.0
onwind_26684,onshore_wind,34.0,4,construction,0.816464000744865,0.0,449055.2004096758,0.0,0.0,449055.2004096758,0.0,0.0,15267876.813928977,0.0,0.0,15267876.813928977,0.0,1551281.6014152435
onwind_26684,onshore_wind,34.0,5,construction,0.7761064645863736,0.0,426858.5555225055,0.0,0.0,426858.5555225055,0.0,0.0,14513190.887765186,0.0,0.0,14513190.887765186,0.0,1474602.2827141099
onwind_26684,onshore_wind,34.0,6,operation,0.7377437876296327,0.0,0.0,22648.734280229724,16576.660261765268,39225.39454199499,2762.7767102942116,0.0,0.0,770056.9655278106,563606.448900019,1333663.4144278297,93934.40815000319,0.0
onwind_26684,onshore_wind,34.0,7,operation,0.7012773646669512,0.0,0.0,21529.215095275402,15757.281617647595,37286.496712923,2626.213602941266,0.0,0.0,731993.3132393637,535747.5750000182,1267740.888239382,89291.26250000304,0.0
onwind_26684,onshore_wind,34.0,8,operation,0.666613464512311,0.0,0.0,20465.033360527945,14978.40457951292,35443.437940040865,2496.4007632521534,0.0,0.0,695811.1342579501,509265.7557034393,1205076.8899613894,84877.62595057322,0.0
onwind_26684,onshore_wind,34.0,9,operation,0.6336629890801434,0.0,0.0,19453.4537647604,14238.027166837375,33691.480931597776,2373.004527806229,0.0,0.0,661417.4280018536,484092.92367247073,1145510.3516743244,80682.15394541179,0.0
onwind_26684,onshore_wind,34.0,10,operation,0.6023412443727599,0.0,0.0,18491.87620224373,13534.246356309293,32026.122558553023,2255.707726051549,0.0,0.0,628723.7908762868,460164.376114516,1088888.1669908029,76694.06268575267,0.0
onwind_26684,onshore_wind,34.0,11,operation,0.5725677227877946,0.0,0.0,17577.82908958529,12865.253190408072,30443.082279993363,2144.208865068012,0.0,0.0,597646.1890458999,437418.60847387445,1035064.7975197743,72903.1014123124,0.0
onwind_26684,onshore_wind,34.0,12,operation,0.5442658961861164,0.0,0.0,16708.963012913773,12229.328127764325,28938.2911406781,2038.2213546273874,0.0,0.0,568104.7424390683,415797.1563439871,983901.8987830554,69299.52605733117,0.0
onwind_26684,onshore_wind,34.0,13,operation,0.5173630191883236,0.0,0.0,15883.044689081535,11624.83662335012,27507.881312431655,1937.4727705583532,0.0,0.0,540023.5194287722,395244.4451939041,935267.9646226763,65874.074198984,0.0
onwind_26684,onshore_wind,34.0,14,operation,0.49178994219422395,0.0,0.0,15097.951225362674,11050.224927138896,26148.176152501568,1841.7041545231493,0.0,0.0,513330.3416623309,375707.64752272243,889037.9891850533,62617.941253787074,0.0
onwind_26684,onshore_wind,34.0,15,operation,0.46748093364469956,0.0,0.0,14351.664662892277,10504.016090436213,24855.68075332849,1750.6693484060354,0.0,0.0,487956.59853833745,357136.5470748312,845093.1456131686,59522.7578458052,0.0
onwind_26684,onshore_wind,34.0,16,operation,0.44437351106910605,0.0,0.0,13642.266789821555,9984.806169616173,23627.072959437726,1664.1343616026952,0.0,0.0,463837.0708539329,339483.4097669499,803320.4806208827,56580.56829449163,0.0
onwind_26684,onshore_wind,34.0,17,operation,0.422408280483941,0.0,0.0,12967.934210856989,9491.260617505865,22459.19482836285,1581.8767695843108,0.0,0.0,440909.76316913764,322702.8609951994,763612.624164337,53783.81016586657,0.0
