Project name,country,status,Product,latitude,longitude,capacity_MWel,Capacity_Nm?? H???/h,Capacity_kt H2/y
Don Quichote,BEL,Operational,H2,50.73127486,4.219267381,0.3,65,0.1
Regio Energie Solothurn/Aarmat hybrid plant,CHE,DEMO,H2,0,0,0.7,135,0.1
RWE PtG plant Ibbenb??ren,DEU,DEMO,H2,0,0,0.15,29,0
DemoSNG,SWE,DEMO,CH4,0,0,0.146,28,0
Stroml??ckenf??ller 1st phase,DEU,Operational,H2,0,0,0.02,4,0
Higashi-Ogishima-Naga-Park,JPN,DEMO,H2,35.51710941,139.7587348,0.005,1,0
Emden II Upscaling,DEU,DEMO,CH4,0,0,,,
SYNFUEL,DNK,DEMO,Synfuels,0,0,,,
"Hydrogen Valley South Tyrol - Bolzano, CHIC",ITA,Operational,H2,46.47409854,11.31719371,1.5,326,0.3
H2BER (Berlin airport),DEU,Operational,H2,52.36999214,13.52429883,0.5,109,0.1
"Hanau, Wolfgang Industrial Park",DEU,Operational,H2,0,0,0.021,4,0
"MicroPyros, Staubing",DEU,Operational,CH4,0,0,,,
"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",DEU,Operational,CH4,52.8518701,7.6764179,6.3,1370,1.1
H2 Logic HRS with onsite electrolysis Aalborg,DNK,Operational,H2,0,0,0.431,94,0.1
WindGas Falkenhagen,DEU,Operational,H2,53.20031054,12.23511242,2,435,0.3
P2G plant Erdgas Schwaben,DEU,Operational,H2,0,0,1,192,0.1
"Oslo, CHIC",NOR,Operational,H2,0,0,0.6,130,0.1
"HySynergy, phase 1",DNK,FID/Construction,H2,55.59138504,9.752643675,20,4348,3.4
CO2RRECT-Niederaussem,DEU,DEMO,CH4,0,0,0.26,50,0
"Sir Samuel building Griffith Center, Brisbane, Australia",AUS,Operational,H2,0,0,0.2,43,0
"MicrobEnergy GmbH, Schwandorf",DEU,Operational,CH4,0,0,0.18,35,0
"H2Move, Fraunhofer ISE",DEU,Operational,H2,53.82325973,9.289435519,0.04,8,0
"Hazira, Reliance, back-up hydrogen supply",IND,Operational,H2,0,0,,,
El Tubo - ACTA EL500,ESP,DEMO,H2,0,0,0.003,1,0
Refhyne,DEU,Operational,H2,50.86056156,6.980581616,10,1923,1.5
H&R ??lwerke Hamburg-Neuhof,DEU,Operational,H2,53.51426977,9.950046941,5,962,0.7
H2Herten,DEU,Operational,H2,51.60030557,7.138382801,0.165,36,0
H2 research center BTU Cottbus,DEU,Operational,H2,0,0,0.14,30,0
Cotbus,DEU,Operational,H2,0,0,0.12,26,0
Eucolino Schwandorf,DEU,Operational,H2,0,0,0.108,24,0
Agios Efstratios,GRC,Operational,H2,0,0,0.1,22,0
Hydrogen mini grid system Yorkshire (Rotherham),GBR,Operational,H2,0,0,0.03,7,0
"Fronius Energy Cell, self-sufficient house",AUT,DEMO,H2,0,0,0.009,2,0
Hitachi Zosen - PTTEP CO2 Conversion to Methane Project R&D),THA,DEMO,CH4,0,0,,,
Commercial Plant Svartsengi/George Olah plant,ISL,Operational,MeOH,63.844239,-22.4317498,6,1333,1
"Hamburg Hafen City, CEP",DEU,Operational,H2,53.54591627,10.00251676,0.6,130,0.1
"Hybrid Power Plant Enertrag, Prenzlau",DEU,Operational,H2,0,0,0.5,109,0.1
"EnBW H2 station, Stuttgart",DEU,Operational,H2,0,0,0.3,65,0.1
Ramea Wind-Hydrogen-Diesel Project,CAN,Operational,H2,0,0,0.124,27,0
Hydrogen Island Bozcaada,TUR,Operational,H2,0,0,0.05,11,0
DNV Kema/DNV GL,NLD,Operational,H2,0,0,0.01,2,0
"HARP System, Bella Coola",CAN,Operational,H2,0,0,0.3,65,0.1
H2KT - Hydrogen Energy Storage in Nuuk,DNK,Operational,H2,0,0,0.087,19,0
ITHER,ESP,DEMO,H2,0,0,0.065,14,0
H2SusBuild,GRC,DEMO,H2,0,0,0.22,49,0
"Hybrid energy storage system NFCRC, California",USA,DEMO,H2,0,0,0.007,1,0
Nukissiorfiit Nuuk Hydrogen Plant,DNK,Operational,H2,0,0,,,
"Centre of Fuel Cell Technology, Chennai",IND,Operational,H2,0,0,0.01,2,0
"Hychico, Comodoro Rivadavia",ARG,Operational,H2,-45.86627843,-67.48912491,0.828,180,0.1
Taleghan solar hydrogen energy system,IRN,Operational,H2,0,0,0.2,44,0
Istanbul,TUR,DEMO,H2,0,0,0.16,35,0
AltHytude,FRA,DEMO,CH4,51.03566443,2.37743555,0.08,17,0
Regenerativer Energipark Ostfalia/hybrid renewable energy park (HREP),DEU,Operational,H2,0,0,0.006,1,0
DRI CO2 recycling,USA,DEMO,,0,0,0.005,1,0
Neo Olvio of Xanthi,GRC,DEMO,H2,0,0,0.004,1,0
HYLINK Totara,NZL,DEMO,H2,0,0,0.0025,0,0
Baglan Energy Park Wales,GBR,Operational,H2,0,0,0.046,10,0
"Synthetic Energy, Idaho",USA,DEMO,H2,0,0,0.036,7,0
Hydepark,TUR,DEMO,H2,0,0,0.007,1,0
"Stand-alone power system, Neo Olvio of Xanthi",GRC,DEMO,H2,0,0,0.004,1,0
"HYLINK, Totara Valley",NZL,DEMO,H2,0,0,0,0,0
RES2H2 Gran Canaria,ESP,DEMO,H2,0,0,0.055,12,0
"H2 from the sun, Brunate",ITA,DEMO,H2,0,0,0.007,2,0
CEC Denizli Turkey,TUR,DEMO,H2,0,0,0.004,1,0
"CUTE and HyFLEET:CUTE, Barcelona",ESP,DEMO,H2,0,0,0.3,65,0.1
Savli wind-hydrogen demo project,IND,DEMO,H2,0,0,0.005,1,0
"Dahej, Reliance, back-up hydrogen supply",IND,Operational,H2,0,0,2.042,444,0.3
"HARI project, West Beacon Farm",GBR,Operational,H2,0,0,0.034,7,0
"Porto, CUTE",PRT,DEMO,H2,0,0,0.3,65,0.1
Energiepark Mainz,DEU,Operational,H2,49.99621073,8.245269018,6,1154,0.9
INGRID,ITA,DEMO,H2,41.363128,15.312347,1.2,261,0.2
Tohoku pilot plant in 2003,JPN,DEMO,H2,0,0,0.018,4,0
Gwalpahari Solar-Hydrogen demonstration,IND,Operational,H2,28.42927593,77.14838872,0.12,27,0
Solar Energy Centre SmartFuel hydrogen station ,IND,Operational,H2,28.62986571,77.17691407,,,
FaHyence,FRA,Operational,H2,49.10645566,7.07085165,0.138,30,0
CPI Zaoquan thermal power plant in China's Ningxia region,CHN,Operational,H2,0,0,0.092,20,0
Laboratory Plant HRI Quebec,CAN,DEMO,H2,0,0,0.005,1,0
Power plant in Lebanon for a Power Plant Cooling application,LBN,Operational,H2,34.0090636,35.70256741,0.114,25,0
Minatec's semiconductor labs in Grenoble,FRA,Operational,H2,45.19199534,5.749916925,0.055,12,0
Grimstad Renewable Energy Park,NOR,Operational,H2,58.34140301,8.580593718,0.05,11,0
Hypos - Sunfire,DEU,DEMO,H2,0,0,0.18,47,0
Electrochaea: Biological methanation in Aved??re,DNK,DEMO,CH4,55.62871238,12.44766261,1.2,261,0.2
REMOTE - Agkistro (Greece,GRC,Operational,H2,41.37341688,23.44195112,0.025,5,0
"REMOTE - Spain, Canary Islands",ESP,Operational,H2,0,0,0.08,17,0
Aman - Green Hydrogen Project - phase 1,MRT,Feasibility study,Ammonia,23.7,-9.22,2500,555556,433.1
HRS CMB Port of Antwerp,BEL,Operational,H2,51.24091437,4.407831171,1,192,0.1
Haldor Topsoe - El-Opgraderet Biogas I,DNK,DEMO,CH4,55.82093676,12.54037049,0.038,10,0
H2 Logic HRS with onsite electrolysis in Vejle,DNK,Operational,H2,0,0,0.431,94,0.1
H2 Logic HRS with onsite electrolysis Holstebro,DNK,Operational,H2,0,0,0.431,94,0.1
H2 Logic 3 HRS with onsite electrolysis in Copenhagen,DNK,Operational,H2,0,0,1.292,281,0.2
Iberdrola - Puertollano II (extension from Ref10),ESP,Feasibility study,Ammonia,38.67206718,-4.053051263,210,42472,33.1
