Project name,country,status,Product,latitude,longitude,capacity_MWel,Capacity_Nm?? H???/h,Capacity_kt H2/y
"Norwegian Hydrogen, Hellesylt Hydrogen Hub 1st project",NOR,FID/Construction,H2,62.08729831,6.881016898,3,577,0.4
RIC Energy Valladolid -phase 1,ESP,FID/Construction,H2,41.61815064,-4.813024608,5,962,0.7
Ansasol - Castilla y Le??n,ESP,Concept,H2,41.77125204,-4.272404019,440,97778,76.2
Cartagena refinery,COL,Feasibility study,H2,10.33779801,-75.49612978,60,11538,9
Barrancabermeja refinery,COL,Feasibility study,H2,7.070431295,-73.88198051,60,11538,9
Grey2Green (Phase I),PRT,FID/Construction,H2,37.96403252,-8.810157888,100,19231,15
Brint?? - Hydrogen Island,DNK,Concept,H2,55.23562371,3.037146416,10494.4,2332079,1818
University of New South Wales biomass demo,AUS,DEMO,H2,-33.91152045,151.233031,,,
Fortescue Future Industries -  Industrial Park at TransAlta coal mine conversion,USA,Concept,H2,46.75586723,-122.8594303,0,,
MadoquaPower2X - Sines - phase 1,PRT,Feasibility study,Ammonia,37.95889357,-8.860073289,500,108696,84.7
"River Wind Ukraine, phase1",UKR,Concept,H2,47.52658763,35.09990343,500,111111,86.6
"River Wind Ukraine, phase 2",UKR,Concept,H2,47.52658763,35.09990343,1200,266667,207.9
"River Wind Ukraine, phase 3",UKR,Concept,H2,47.52658763,35.09990343,1300,288889,225.2
Jangada,DEU,Feasibility study,Synfuels,51.51578268,13.34817938,75,14423,11.2
Iverson e-fuels,NOR,Feasibility study,Ammonia,59.65048155,6.353890774,250,55556,43.3
Sunrhyse,FRA,FID/Construction,H2,43.5772468,6.073063205,30,5769,4.5
HYNOVERA (Phase 1),FRA,Feasibility study,Synfuels,43.5772468,6.073063205,120,26667,20.8
HIF USA,USA,Feasibility study,Synfuels,29.06896444,-95.70428426,1800,346154,269.9
HIF Asia Pacific,AUS,Feasibility study,Synfuels,-41.06361,145.875275,300,66667,52
Great Southern Project ,AUS,FID/Construction,H2,-41.08938155,146.8595579,7.6,1689,1.3
MoU Lhyfe-wpd,SWE,Concept,H2,61.30856948,17.07644118,600,133333,104
Kogas plant in Haengwon ,KOR,Feasibility study,H2,33.39611582,126.5812693,1,192,0.1
MoU Fortescue Future Industries-Djibouti,DJI,Concept,H2,11.72055933,42.77294184,0,,
Niagara Hydrogen Centre (NHC),CAN,FID/Construction,H2,43.09848636,-79.06175354,20,3846,3
E-methanol plant in Singapore,SGP,Feasibility study,MeOH,1.278303621,103.7858852,110.4,24540,19
"Eyre Peninsula Gateway Hydrogen Project, phase 2",AUS,Concept,H2,-32.93556,137.573215,1500,333333,259.9
H2U Offshore ANCAP,URY,Concept,H2,-34.71417066,-54.05979109,0,,
"Hyport@Duqm, phase 2",OMN,Concept,Ammonia,19.66692773,57.72544501,1000,222222,173.3
CF Industries blue ammonia Blue Point (LA),USA,FID/Construction,Ammonia,30.09898196,-90.95452514,,323355,252.1
"P2X Europe - Nordic Electrofuel Porsgrunn project, phase 1",NOR,Feasibility study,Synfuels,59.13990876,9.654776822,47.4,10542,8.2
"P2X Europe - Nordic Electrofuel Porsgrunn project, phase 1",NOR,Concept,Synfuels,59.13990876,9.654776822,4696.6,1043685,813.7
"TAZIZ project, MoU ADNOC, ENEOS, Mitsui, phase 1",ARE,Concept,H2,24.29893386,54.3540001,,64132,50
"TAZIZ project, MoU ADNOC, ENEOS, Mitsui, phase 2",ARE,Concept,H2,24.29893386,54.3540001,,192396,150
"MoU Shell - Mitsubishi, phase1",NLD,Concept,Ammonia,53.49980961,3.950024515,4197.7,932831,727
"MoU Shell - Mitsubishi, phase2",NLD,Concept,Ammonia,53.49980961,3.950024515,6296.6,1399247,1091
Liberty Biomass to ammonia (western Australia),AUS,Concept,Ammonia,-26.298368,117.270077,,23097,18
MEPAU Mid West CCUS hub,AUS,Concept,Ammonia,-29.463478,115.13971,,230968,180.1
H2 Industries waste to hydrogen plant,OMN,Concept,H2,23.713641,58.044372,,85937,67
"Amun, phase 1",MAR,Concept,H2,31.051878,-9.745255,,,
First Hydrogen - Liverpool,GBR,Concept,H2,53.400002,-2.983333,40,8889,6.9
First Hydrogen - Manchester,GBR,Concept,H2,53.483959,-2.244644,40,8889,6.9
First Hydrogen - London,GBR,Concept,H2,51.509865,-0.118092,40,8889,6.9
First Hydrogen - Thames Estuary,GBR,Concept,H2,51.499998,0.583331,40,8889,6.9
H2 hub Darwin,AUS,Feasibility study,H2,-12.462827,130.841782,1000,222222,173.3
"Hydrogen Energy Metallurgical Chemical Demonstration Zone, 1",CHN,Feasibility study,Ammonia,40.650002,109.833336,1215,270000,211
"Hydrogen Energy Metallurgical Chemical Demonstration Zone, 2",CHN,FID/Construction,Ammonia,40.650002,109.833336,135,30000,23
"Prieska ammonia project, phase 1",ZAF,Feasibility study,Ammonia,-30.647854,24.011477,148.9,33092,26
"Prieska ammonia project, phase 2",ZAF,Concept,Ammonia,-30.647854,24.011477,5623,1249551,974
Ammonia Iowa project,USA,Feasibility study,Ammonia,42.983824,-93.96658,426.8,94841,74
Inverness hydrogen hub - Phase 1,GBR,FID/Construction,H2,57.477772,-4.224721,6,1304,1
"Sohar Port, Steel Industry, phase 1",OMN,Concept,H2,24.50108168,56.62819083,35,7778,6.1
"Sohar Port, Steel Industry, phase 2",OMN,Concept,H2,24.50108168,56.62819083,315,70000,54.6
ACME Odisha Plant,IND,Feasibility study,Ammonia,13.99088349,75.31805232,1500,333333,259.9
Energy Hub at MIRA Technology Park.,GBR,Operational,H2,52.55390743,-1.459806532,1,222,0.2
CF Industries and Mitsui Blue ammonia complex (LA),USA,Feasibility study,Ammonia,29.58187,-92.294868,,323355,252
Asahi Kasei pilot,JPN,DEMO,H2,35.55825532,139.7039251,3.2,696,0.5
Linde Hellas - Mandra,GRC,Operational,H2,38.06765298,23.50601299,1,222,0.2
White Martins Pernambuco,BRA,Operational,H2,-8.393468198,-34.96769705,0.9,200,0
Denham Hydrogen Demonstration Plant,AUS,Operational,H2,-25.91829834,113.5523059,0.348,77,0.1
Estaci??n Andes,COL,Operational,H2,6.168167174,-75.61993832,0,2,0.001
Vall??e Hydrog??ne Grand Ouest (VHyGO) - H2 Ouest (Phase 2),FRA,Operational,H2,46.93631592,-2.069927077,1.75,380,0.3
Lhyfe Bretagne - Bul??on,FRA,Operational,H2,47.93365445,-2.676585757,5,1111,0.9
PetroChina Yumen Oilfield - Phase 2,CHN,FID/Construction,H2,40.23697399,97.54262857,28.9,6285,5
Azolla Hydrogen - Cal State demonstration,USA,DEMO,H2,34.06679179,-118.1654756,,105,0
"H2 Green City, phase 1",ESP,FID/Construction,H2,37.36173625,-5.993656138,1,192,0.1
"H2 Green City, phase 2",ESP,Concept,H2,37.36173625,-5.993656138,49,10889,8.5
Jeju demostration project,KOR,DEMO,H2,33.39611582,126.5812693,2,444,0.3
Douglas County PUD - industrial area north of East Wenatchee,USA,FID/Construction,H2,47.49344847,-120.303228,5,1111,0.9
Kashiwazaki Clean Hydrogen/Ammonia Project Niigata demonstration,JPN,FID/Construction,Ammonia,37.36542077,138.5836652,,,1
Grandpuits biorefinery,FRA,FID/Construction,H2,48.58975171,2.948005298,,,20
Sur hydrogen cluster,OMN,Feasibility study,H2,22.56695744,59.50727686,1300,288889,225.2
"BP Alternative Energy Investments project, Duqm",OMN,Concept,H2,19.66692773,57.72544501,1731.6,384793,300
"BP Alternative Energy Investments projects, Dhofar",OMN,Feasibility study,H2,18.6325085,53.95588127,1731.6,384793,300
"Plug Power Charleston, Tenesse (former United Hydrogen)",USA,Operational,H2,35.28736183,-84.75784536,15.8,3043,2
"Plug Power Charleston, Tenesse (former United Hydrogen), expansion 1",USA,Operational,H2,35.28736183,-84.75784536,8.5,1639,1
"Plug Power Charleston, Tenesse (former United Hydrogen), expansion 2",USA,FID/Construction,H2,35.28736183,-84.75784536,21.4,4107,3
"Sany Heavy Energy Wind, Solar, Hydrogen, storage and Ammonia Integrated Demostration Project",CHN,FID/Construction,Ammonia,43.09643494,109.7130013,207.8,46175,36
China Nuclear Wind Storage Hydrogen and Ammonia Demostration Project,CHN,FID/Construction,Ammonia,46.37723785,121.4387032,124.7,27705,21.6
Chifeng Energy Internet of Things Zero Carbon Hydrogen Ammonia Demostration Project- Phase 1,CHN,FID/Construction,Ammonia,42.27209053,118.8909742,680,147820,115
China Power Construction Chifeng Hydrogen Demonstration Project ,CHN,FID/Construction,Ammonia,42.27209053,118.8909742,107.4,23857,18.6
Shengyuan Energy wind-solar hydrogen production and station project,CHN,FID/Construction,H2,39.41081074,109.7501634,31.4,6984,5.4
Tengger Wind-solar Hydrogen Production Demostration Project,CHN,FID/Construction,Ammonia,39.47614745,107.6110798,122.9,26714,20.8
Ordos Kubuqi Wind and Solar Hydrogen Production Demostration Project,CHN,FID/Construction,Ammonia,40.22516549,109.6955635,91.2,19830,15.5
New energy hydrogen production and co-production carbon-free fuel demostration project,CHN,FID/Construction,Ammonia,40.66034677,109.8430225,161.6,35914,28
Ulanqab Wind Solar Hydrogen and Ammonia Integrated Demostration project,CHN,FID/Construction,Ammonia,41.0680602,113.3121844,148.3,32964,25.7
Trafford Low Carbon Energy Park  - phase 2,GBR,Concept,H2,53.43694426,-2.408255046,180,40000,31.2
"NTPC Green Hydrogen Blending Project (Kawas, Surat)",IND,Operational,H2,21.18090152,72.71930875,0.0065,1,0
NTPC Green Hydrogen Mobility Project - Delhi,IND,FID/Construction,H2,28.52575896,77.50695591,1.6,348,0.3
"Wyhlen hydroelectric power plant, expansion",DEU,FID/Construction,H2,47.53989242,7.712353516,4.2,924,1
Wilhelmshaven - VoltH2,DEU,Feasibility study,H2,53.52954064,8.1296932,100,22222,17.3
Prince George HRS,CAN,FID/Construction,H2,53.91546345,-122.7538007,10,2222,1.7
Flins Plant - HYVIA,FRA,Operational,H2,48.96409174,1.868283911,1,192,0.1
Hynoca Alkmaar,NLD,DEMO,H2,52.63599499,4.740785753,,1629,1
H2UB Laren,NLD,Feasibility study,H2,52.24877113,5.218904792,,169,0.13
Cleanup Gas,NLD,DEMO,H2,0,0,,5956,5
GROHW,NLD,Operational,H2,52.25720524,6.208756306,0.5,111,0.1
NASA?€?s Ames Research Center,USA,DEMO,H2,37.41788042,-122.0671376,4,1053,0.8
H2Stroom,NLD,Feasibility study,H2,0,0,0,,
H2Agro,NLD,DEMO,H2,0,0,0,,
H2ARVESTER,NLD,Feasibility study,H2,0,0,0,,
Narvik - Ammonia project- Phase 1,NOR,Feasibility study,Ammonia,68.43902846,17.42319205,250,55556,43.3
Constellation - Nine Mile Point Nuclear Plant,USA,Operational,H2,43.44070904,-76.41302569,1,192,0.1
Green Marlin,IRL,Feasibility study,Ammonia,51.6499974,-9.7166638,3200,711111,554.4
Project Iracema - Ammonia project in Port of Pecem,BRA,Feasibility study,Ammonia,-3.530928034,-38.79237746,2400,533333,415.8
"Amun, phase 2",MAR,Concept,H2,31.051878,-9.745255,,,
Collinsvile Energy hub - Han Ho,AUS,Concept,Ammonia,-20.52267623,147.8186211,3741.7,831485,648
Synthetic methane Cameron terminal to Japan,USA,Concept,CH4,30.035508,-93.337624,335.8,74626,58
Pauna Greener Future - NH3 (phase 2),CHL,Feasibility study,Ammonia,-22.339335,-69.662196,300,66667,52
"Cepsa San Roque Energy Park (Algeciras) - Andalucian Green Hydrogen Valley
Carteia Project - Phase 1",ESP,Feasibility study,Various,36.20535,-5.382586,500,111111,86.6
"Cepsa La R??bida Energy Park (Huelva) - phase 1 - Andalucian Green Hydrogen Valley
Onuba Project (Together with THARSIS: LUXIA project)",ESP,Feasibility study,Various,37.26196388,-6.941284646,400,88889,69.3
Scatec e-Methanol - first project,EGY,Concept,MeOH,31.437276,31.754646,60,13333,10.4
Danish nuclear in Indonesia,IDN,Concept,H2,0.553772265,117.5719914,1000,263158,205.2
Petrobrazi Refinery - Green H2,ROU,FID/Construction,H2,44.93877342,25.99598758,55,12222,9.5
ACWA Power - Green H2 - Phase 1,UZB,FID/Construction,Ammonia,41.48802112,69.58351216,20,4348,3.4
ACWA Power - Green H2 - Phase 2,UZB,Concept,Ammonia,41.48802112,69.58351216,1299.2,288710,225
Hellenic Hydrogen in  Western Macedonia,GRC,Feasibility study,H2,40.38498201,21.43943753,100,22222,17.3
Hycamite CSF Plant,FIN,Operational,H2,63.8413308,23.12696039,,2565,2
MEG HP1,AUS,FID/Construction,H2,-31.65444131,116.6503757,10,1923,1.5
"Arrowsmith Hydrogen Project, phase 3",AUS,Concept,H2,-29.2453428,114.9341591,300,65217,50.8
"Arrowsmith Hydrogen Project, phase 4",AUS,Concept,H2,-29.2453428,114.9341591,300,65217,50.8
Valle Peligna Green Hydrogen Project,ITA,Feasibility study,H2,42.12284503,13.76722845,30,5769,4.5
Port Taranaki - Infinite Green Energy,NZL,Feasibility study,H2,-39.05782898,174.0315812,600,130435,101.7
Petrofac Ain Sokhna Ammonia project,EGY,Feasibility study,Ammonia,29.659369,32.34481,259.8,57742,45
Proton Energy DEMO in Saskatchewan,CAN,DEMO,H2,51.91880069,-109.1355967,,,
Proton Energy Commercial stage in Saskatchewan,CAN,Feasibility study,H2,51.91880069,-109.1355967,,234082,183
Plug Power Kokkola plant,FIN,Feasibility study,Ammonia,63.8413308,23.12696039,1000,192308,149.9
Plug Power Kristinestad plant,FIN,Feasibility study,H2,62.27542839,21.3813769,1000,192308,149.9
Plug Power Porvoo plant,FIN,Feasibility study,H2,60.3923,25.6651,200,38462,30
"GH2SOTO, phase 1",ESP,Feasibility study,H2,43.31418219,-5.872072634,5,1111,0.9
"GH2SOTO, phase 2",ESP,Concept,H2,43.31418219,-5.872072634,15,3333,2.6
AIRA H2,ESP,Feasibility study,H2,37.33961088,-5.841793776,10,2222,1.7
H2BCNHUB,ESP,Feasibility study,H2,41.3904683,2.169883854,20,4444,3.5
Industrias Quimicas Del Oxido De Etileno,ESP,Feasibility study,H2,41.11894588,1.243389233,15,3333,2.6
Green HyChemical Huelva,ESP,Feasibility study,H2,37.26196388,-6.941284646,20,4444,3.5
H2 PILLAR,ESP,Feasibility study,H2,41.57197543,-0.741827787,20,4444,3.5
Green hydrogen Projecte Alperujo/Jaen,ESP,Feasibility study,H2,37.75108726,-3.741929753,9,2000,1.6
Tree Energy Solutions (TES) - TotalEnergies TX plant (Live Oak),USA,Feasibility study,CH4,29.759374,-95.39991816,500,111111,86.6
Energie Steiermark plant in Styria,AUT,Operational,H2,47.26375901,15.19674482,1,222,0.2
"Energie Steiermark plant in Styrua, expansion",AUT,Concept,H2,47.12751961,15.36153977,149,33111,25.8
Tierra del Fuego green hydrogen project,ARG,Feasibility study,H2,-53.764171,-67.748406,334.7,64373,50
"Point Tupper green hydrogen project, phase 1",CAN,Feasibility study,H2,45.583347,-61.339879,421.4,81041,63
Greenb2e - Valencia,ESP,Feasibility study,H2,39.47159514,-0.366634623,80.8,17957,14
Besaya H2,ESP,Feasibility study,H2,43.34813208,-4.050370423,500,111111,86.6
Castellon Port,ESP,Feasibility study,Ammonia,39.97246162,0.024564552,1549.9,344426,269
BotH2nia - Flexens Kokkola,FIN,Feasibility study,H2,63.8413308,23.12696039,350,77778,60.6
Ord Hydrogen Project,AUS,Concept,H2,-15.77422,128.740009,20,4444,3.5
WAH2 Blue  Ammonia Project - phase 1,AUS,Feasibility study,Ammonia,-20.73724868,121.6018511,,57742,45
WAH2 Blue  Ammonia Project - phase 2,AUS,Concept,Ammonia,-20.73724868,121.6018511,,127032,99
"Asian Renewable Energy Hub, completion",AUS,Feasibility study,Various,-20.317253,121.042081,14000,3111111,2426
MoU China General Nuclear Power Group - Quinto Energy,BRA,Concept,H2,-12.73429614,-38.43793742,5400,1200000,935.6
Ineratec Port of Amsterdam,NLD,Concept,Synfuels,52.36610168,5.034774033,,,
"Point Tupper green hydrogen project, phase 2",CAN,Feasibility study,H2,45.583347,-61.339879,2552.2,490807,383
ACWA Power - Large scale H2 project,IDN,Concept,H2,-5.94891905,106.0185777,5000,1111111,866.3
Adelaida project,CHL,Feasibility study,H2,-23.09942966,-70.44975907,3,667,0.5
H2 plant Wilbarger County,USA,Concept,H2,34.06866149,-99.23048902,973.8,187266,146
Hydrogen Power South Australia,AUS,FID/Construction,H2,-33.03493146,137.5755824,250,55556,43.3
Bristol Springs Solar Hydrogen Project,AUS,Feasibility study,H2,-32.78405234,115.8859671,36,8000,6.2
Xcel Energy's Minnesota nuclear plant,USA,DEMO,H2,44.56952134,-92.73810307,0.24,63,0
Porto Central,BRA,Feasibility study,H2,-20.31037598,-40.29244512,3.5,777,1
"Unigel, phase III",BRA,Concept,Ammonia,-12.68996796,-38.31799582,360,80000,62.4
Pembina low carbon complex,CAN,Feasibility study,Ammonia,53.83134776,-112.9712474,,230968,180
"Cepsa La R??bida Energy Park (Huelva) - phase 3 - Andalusian Green Hydrogen Valley
ONUBA II Project",ESP,Concept,Various,37.26196388,-6.941284646,400,88889,69.3
Evergreen Project,AUS,Concept,H2,-32.33790488,135.9581393,7000,1555556,1212.8
TES- Green Energy Hub - Wilhelmshaven Port,DEU,Concept,H2,53.52954064,8.1296932,500,111111,86.6
Guelmim-Oued Noun - Chbika project - phase 1,MAR,Feasibility study,Ammonia,28.266656,-10.716838,400,88889,69.3
Madoqua E-methanol,PRT,Feasibility study,MeOH,40.64427,-8.64554,500,108696,84.7
Paysandu green hydrogen project,URY,Feasibility study,Synfuels,-32.30268022,-58.08636694,1000,222222,173.3
Iberdrola - Trammo green hydrogen ,ESP,Feasibility study,Ammonia,37.24883713,-6.909735439,140,31111,24.3
H2HubNS,POL,FID/Construction,H2,50.32737688,22.32510816,5,962,0.7
Hygenco Demonstration Plant,IND,DEMO,H2,23.2018955,75.81369931,0.1,22,0
Hygenco JSL Plant,IND,Operational,H2,30.0306919,76.31095506,1.8,391,0.3
Exxonmobil Antwerp Refinery CCS,BEL,Feasibility study,H2,51.25504372,4.345077184,,,
CNPC China Northwest (Xinjiang) hub refinery hydrogen,CHN,Feasibility study,H2,38.13314119,77.14616253,,,
H2GE Rostock,DEU,Concept,H2,54.1352831,12.11605421,,320225,249.7
Prax Lindsey Oil Refinery Phase 2,GBR,Feasibility study,H2,53.63974652,-0.257045555,,,
"Project Cavendish, phase2",GBR,Feasibility study,H2,51.50098666,0.562990964,,336236,262
Centrica Equinor hydrogen hub Easington collaboration,GBR,Feasibility study,H2,54.78190423,-1.34538743,,,
Balikpapan Refinery,IDN,Feasibility study,H2,-1.259528245,116.8192186,,,
Dalstur Energy Coal India coal hydrogen,IND,Concept,H2,19.52304762,80.33553745,,,
Indian Oil Corporation Koyali refinery,IND,Feasibility study,H2,22.37091877,73.12275077,,,
ENI Venice bio-refinery Porto Marghera (Ravenna phase 2),ITA,Feasibility study,H2,45.45824888,12.2562711,,30000,23.4
Yara Sluiskil fertiliser,NLD,FID/Construction,Ammonia,51.30600812,3.8498667,,,
Omifco ammonia capture,OMN,Concept,Ammonia,22.64587405,59.4653504,,295062,230
Enbridge Ingleside Energy Center Low carbon ammonia (TX),USA,Feasibility study,Ammonia,27.83676482,-97.20349518,,300259,234
Northern Plains Nitrogen Blue ammonia (ND),USA,Feasibility study,Ammonia,48.16596631,-100.8400613,,,
Linde hydrogen plant for OCI fertilizer blue ammonia Beaumont (Texas),USA,FID/Construction,H2,30.09352524,-94.21479052,,254065,198
CF Industries blue ammonia Yazoo (LA),USA,FID/Construction,Ammonia,32.86350234,-90.38223241,,,
Ascension Clean Energy (ACE) complex (LA),USA,Concept,Ammonia,30.18615496,-90.94819623,,1662971,1297
OCI Fertilizer plant phase 1 (IA),USA,FID/Construction,Ammonia,40.69842348,-91.22548687,,138581,108
OCI Fertilizer plant phase 2 (IA),USA,Feasibility study,Ammonia,40.69842348,-91.22548687,,92387,72
Lone Cypress Hydrogen project (CA),USA,Feasibility study,H2,35.27110046,-119.4268478,,33812,26.4
"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 1",USA,Feasibility study,Ammonia,27.88453428,-97.2653451,,,
"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 2",USA,Concept,Ammonia,27.88453428,-97.2653451,,,
Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),USA,Feasibility study,H2,38.0467923,-122.256026,,,
Linde-BASF capture SMR plant Covent (LA),USA,Feasibility study,H2,30.02004748,-90.82274403,,,
Blue Biston ATR advanced CCUS system (WY),USA,Feasibility study,H2,43.43389447,-107.9030236,,,
Carbon Capture on Air Liquide US Gulf Coast Steam Methane Reformer Using the CryocapTM FG Process (TX),USA,Feasibility study,H2,29.44411673,-90.66936246,,,
Combined Carbon Capture Solution on Air Liquide Northern California Steam Methane Reformer (CA),USA,Feasibility study,H2,39.75214012,-122.9655702,,,
Jindal - Suez Canal Economic Zone authority  green steel project,EGY,Concept,H2,29.659369,32.34481,3623,805115,628
Atome - La Villeta,PRY,Feasibility study,Ammonia,-25.50853885,-57.56098216,145,31522,24.6
Langage Energy Park - Carlton Power,GBR,FID/Construction,H2,50.3961784,-3.997929567,7,1556,1.2
Pamesa - eCombustible,ESP,Operational,H2,39.96497328,-0.258763322,8,1778,1.4
"Pamesa - eCombustible, full replacement of natural gas",ESP,Feasibility study,H2,39.96497328,-0.258763322,,,
Freedom Pines Fuels,USA,Operational,Synfuels,32.37807754,-82.58400853,2.5,481,0.4
Fortescue Future Industries - Egypt,EGY,Concept,H2,28.10464175,32.17322407,2980,662222,516.3
First Ammonia Port of Victoria,USA,Concept,Ammonia,28.70336929,-96.94063611,100,26316,20.5
Hy2B plant in Pfeffenhausen,DEU,Operational,H2,48.66413062,11.97302149,5,1087,0.8
POSCO green ammonia plant,OMN,Feasibility study,Ammonia,19.66692773,57.72544501,2539.6,564363,440
BLUE SKY 300,GRC,Feasibility study,H2,38.77822679,22.72016003,50,11111,8.7
Kenya Electricity Generating Company pilot shceme,KEN,Feasibility study,Ammonia,-0.842934319,36.31870492,5,1111,0.9
MoU CWP - Ministry of Energy and Natural Resources ,DJI,Concept,H2,11.72055933,42.77294184,0,,
"Mexican Green Hydrogen Hub, phase 2",MEX,Concept,Ammonia,24.05111224,-104.5229752,274,52692,41.1
HyMed,ITA,Concept,H2,39.30522964,17.43628054,1000,222222,173.3
NWTN - CMEC Middle East green hydrogen plant,ARE,Concept,H2,24.29893386,54.3540001,20,4444,3.5
Plant Zero.1,GBR,DEMO,Synfuels,51.91560676,-1.141052146,0,,
Trecwn Green Energy Hub ,GBR,Feasibility study,H2,51.87698161,-4.930685956,15,3333,2.6
Icarus,GRC,Concept,H2,37.77336987,21.07248083,300,66667,52
Julio Verne project,ESP,FID/Construction,H2,42.22728685,-8.740421382,1.4,311,0.2
Lhyfe Delfzijl,NLD,Feasibility study,H2,53.3344145,6.92135995,200,44444,34.7
SGP BioEnergy biorefiney,PAN,Feasibility study,H2,8.958139431,-79.56964233,4675.2,1038941,810
"Smartenergy Porto Torres, phase 1",ITA,Feasibility study,H2,40.83096225,8.378441308,20,4444,3.5
"Smartenergy Porto Torres, phase 3",ITA,Feasibility study,H2,40.83096225,8.378441308,180,40000,31.2
Statkraft-Foresight Cheshire,GBR,Feasibility study,H2,53.27841899,-2.737265624,30,5769,4.5
Cobra Castell??n,ESP,Feasibility study,H2,39.99341067,-0.020854671,90,20000,15.6
Cobra Cartagena,ESP,Feasibility study,H2,37.59702298,-1.009983277,115,25556,19.9
Gente Grande project - TEG Chile Magallanes,CHL,Feasibility study,H2,-52.67547911,-69.2546732,3637.7,808389,630
Jingneng Coal-to-Chemical Renewable Green Hydrogen Alternative Demostration Project,CHN,FID/Construction,Ammonia,46.1247345,121.9746727,158.2,34395,27
Jingneng Chagannur Wind Poer Hydrogen Production Project,CHN,Operational,H2,43.8984136,116.0348102,2.3,493,0.4
China Energy Construction Green Power Hydrogen Production and Ammonia Demostration Project,CHN,FID/Construction,Ammonia,40.94386035,107.2488454,57.7,12826,10
China Datang wind-solar hydrogen production demostration project,CHN,FID/Construction,H2,43.8984136,116.0348102,31.4,6984,5
CHN Energy Wind-solar hydrogen ammonia  + Low-carbon parkdemostration Project,CHN,FID/Construction,Ammonia,38.85862649,105.7351573,109.7,24370,19
Green Ammonia Linz ?€? Decarbonizing Chemical Processes with Water Electrolysis (Gramli),AUT,Feasibility study,Ammonia,48.33649842,14.2900022,60,11538,9
AES Brazil - Port of Pecem,BRA,Concept,Ammonia,-3.544616898,-38.81463772,1663,369549,288
Yeosu Blue Hydrogen Project,KOR,Concept,H2,35.09228022,128.3645867,,10261,8
H2 - Jurong Island,SGP,Feasibility study,H2,1.275192472,103.6826911,9,1957,2
"Carbon Governance  green hydrogen project, phase 1",IND,Concept,H2,1.099565011,104.482807,210.7,46816,37
"Carbon Governance  green hydrogen project, phase 2",IND,Concept,H2,1.099565011,104.482807,210.7,46816,37
"Carbon Governance  green hydrogen project, phase 3",IND,Concept,H2,1.099565011,104.482807,386.2,85830,67
MoU IHI-Enoc,ARE,Concept,Ammonia,24.96912194,55.13231421,692.9,153979,120
"Fortescue Future Industries - Windlab - Queensland hub, phase 1",AUS,Concept,H2,-20.18307836,145.0110819,0,,
"Fortescue Future Industries - Windlab - Queensland hub, phase 1",AUS,Concept,H2,0,0,0,,
HDF MSR-Zimbawe (Manicaland),ZWE,Concept,H2,-20.19377263,32.64946399,22.1,4917,3.8
"KEPCO, Korea Southern Power, KNOC, Samsun, Posco",SAU,Concept,Ammonia,23.55917588,38.70203043,2494.5,554324,432
ReNu - Countrywide Hydrogen - Anantara Energy Holdings MoU,IDN,Feasibility study,H2,0.775089216,103.4396062,10,2222,1.7
PTT - Egat - ACWA MoU,THA,Concept,Ammonia,14.947186,100.918815,2494.5,554324,432
"Clean Energy Holdings - Clear Fork, phase 1",USA,Feasibility study,H2,33.02285896,-98.66283734,250,55556,43.3
Electus Energy - Bakersfield,USA,Concept,H2,35.45280867,-118.9877879,75,16667,13
"MercurHy, phase 1",AUS,Concept,H2,-24.87151503,116.5669529,150,33333,26
"MercurHy, phase 2",AUS,Concept,H2,-24.87151503,116.5669529,350,77778,60.6
"MercurHy, phase 3",AUS,Concept,H2,-24.87151503,116.5669529,500,111111,86.6
Orsted - Skovgaard Energy project in western Denmark,DNK,Feasibility study,H2,56.4579505,8.924583825,150,33333,26
Orsted - Skovgaard Energy project in western Denmark,DNK,Concept,H2,56.4579505,8.924583825,2850,633333,493.8
"Meirama, phase 2",ESP,Concept,H2,43.20862085,-8.437899933,170,36957,28.8
First Hydrogen - Shawinigan,CAN,Feasibility study,H2,46.69769048,-72.80986778,50,11111,8.7
Blastr Green Steel - Inkoo,FIN,Feasibility study,H2,60.0501164,24.00875496,800,177778,138.6
" Liquid Wind, Flagship 3rd plant",SWE,Feasibility study,MeOH,64.82774735,18.45146923,220.9,49081,38
Greenko ZeroC - Kakinada city ,IND,FID/Construction,Ammonia,16.98884806,82.23555973,1300,282609,220.3
Enap - Cabo Negro,CHL,FID/Construction,H2,-52.83957293,-70.20085087,1,222,0.2
Hydrogen Offshore Production Europe (HOPE),BEL,DEMO,H2,51.25206487,2.907652439,10,1923,1.5
Linde - Fort Saskatchewan ,CAN,FID/Construction,H2,53.71402262,-113.2079564,,1282643,1000
Yara-BASF Gulf Coast,USA,Feasibility study,Ammonia,29.79420741,-92.5736165,,300259,234
SSE Aldbrough storage site,GBR,FID/Construction,H2,53.823794,-0.105366945,35,7778,6.1
Kintore Scotland Hydrogen project - phase 1,GBR,Feasibility study,H2,57.23340616,-2.34648168,500,111111,86.6
Kintore Scotland Hydrogen project - phase 2,GBR,Concept,H2,57.23340616,-2.34648168,2500,555556,433.1
Rosedale Green Hydrogen project,AUS,Concept,H2,-38.15117361,146.78955,560,124444,97
