Project/Plant Name,status,technology_all,technology,rated power_kW,country,latitude,longitude,grid_level
GAT College 30 kW Imergy Flow Battery,Operational,Electro-chemical battery and chemical storage,Flow battery,30,India,12.926844,77.53,null
Community Energy Storage for Grid Support (Residential CES Units) - DTE Energy,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,500,United States,41.910738,-83.43,Secondary Distribution
Ice Energy Project at 1540 Charles Dr Ste B,Operational,Thermal energy storage,Latent heat,10,United States,40.5863563,-122.391675,null
Caterva SWARM,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,1300,Germany,49.45203,11.08,null
VRB ESS Green Vision ,Contracted,Electro-chemical battery and chemical storage,Flow battery,200,Germany,50.3569429,7.59,Secondary Distribution
SEPTA Wayside Energy Storage System - Viridity Energy,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,900,United States,40,-75,null
SEPTA Wayside Energy Storage System - Griscom Ultracapacitors,Operational,Electro-chemical battery and chemical storage,Electro-chemical capacitor,70,United States,40.017107,-75.084547,null
15 MW Energy Storage at Herne Cogeneration Plant - STEAG GmbH,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,15000,Germany,51.6104829,7.53,null
DMG Gildemeister CellCube Industrial Smart Grid,Operational,Electro-chemical battery and chemical storage,Flow battery,260,Germany,52.0302285,8.53,null
McAlpine Circuit CES System,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,50,United States,35.2272086,-80.8430827,Secondary Distribution
CKW E-SpeicherWerk Castle Meggenhorn,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,55,Switzerland,47,8,Secondary Distribution
NICE GRID project in Carros (Southern France): Low Voltage Grid Batteries (LVGB),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,33,France,43.7846,7.18785,Secondary Distribution
Bosch Braderup ES Facility: Flow Battery - Energiespeicher Nord GmbH & Co KG,Operational,Electro-chemical battery and chemical storage,Flow battery,325,Germany,54.83235,8.9,Primary Distribution
Geesthacht Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,120000,Germany,53.4379562,10.36,Transmission
Cruachan Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,440000,United Kingdom,56.406482,-5.11,Transmission
Miyako Island Mega-Solar Demo: Li-Ion,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,100,Japan,25,125,Secondary Distribution
Miyako Island Mega-Solar Demo: NaS,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,4000,Japan,24.730068,125.42,Transmission
5 kW / 40 kWh - redT Wokingham Development Facility,Operational,Electro-chemical battery and chemical storage,Flow battery,5,United Kingdom,51,-1,null
Minera El Tesoro CSP Installation,Operational,Thermal energy storage,Heat thermal storage,10500,Chile,-23.3695439,-69.86,null
Xcel Energy - Xtreme Power,De-Commissioned,Electro-chemical battery and chemical storage,Lead-acid battery,1500,United States,39.7566228,-104.62,null
Baoquan Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,1200000,China,35.460431,113.48,Transmission
Dutt Power Electronics BESS,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,40,Spain,43.1294954,-2.1374208,null
Okinawa Yanbaru Seawater Pumped Storage Power Station,De-Commissioned,Electro-mechanical energy storage,Pumped hydro storage,30000,Japan,26.67347,128.27,null
Fort Bliss Microgrid - Lockheed Martin,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,300,United States,31.8072113,-106.43,null
Net Zero Plus Electric Training Institute (NZP-ETI) - Solar Plus Storage,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,500,United States,34.0005691,-118.16,null
Nissan Technical Center North America,Operational,Thermal energy storage,Latent heat,1425,United States,42.508645,-83.41,Secondary Distribution
Ice Energy project at 280 Hartnell Ave ,Operational,Thermal energy storage,Latent heat,20,United States,40.56610748,-122.368486,null
Ice Energy project at 2680 Radio Ln ,Operational,Thermal energy storage,Latent heat,170,United States,40.54787428,-122.3792334,null
NICE GRID project in Carros (Southern France): Secondary Substation Battery (SSB),Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,France,43.792389,7.19,Secondary Distribution
WEMAG Schwerin Battery Park - Younicos,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,15000,Germany,53.635359,11.4,Secondary Distribution
Xilongchi Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,1200000,China,37.87059,112.55,Transmission
SMUD 2500 R St. Housing Development,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,153,United States,38.5693268,-121.4890322,Secondary Distribution
University of Central Florida - DN Tanks,Operational,Thermal energy storage,Sensible heat,3000,United States,28.6004783,-81.2,Secondary Distribution
DREWAG Reick 2 MW Pilot,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,Germany,51.015794,13.79,Primary Distribution
EPSRC Grid Connected Energy Storage Research Demonstrator with WPD and Toshiba,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,United Kingdom,52.5853723,-2.06,Secondary Distribution
Vianden Pumped Storage Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,1096000,Luxembourg,49.9341924,6.2,Transmission
