Project/Plant Name,status,technology_all,technology,rated power_kW,country,latitude,longitude,grid_level
PG&amp;E Advanced Underground Compressed Air Energy Storage (CAES) -  300 MW A-CAES demo plant,Announced,Electro-mechanical energy storage,Compressed air energy storage,300000,United States,37.9175935,-121.171038,Transmission
Kannagawa Pumped Hydro Plant no.3 - 6,Operational,Electro-mechanical energy storage,Pumped hydro storage,1880000,Japan,36.0359852,138.55,null
Kyogoku Pumped Hydro Power Station (Unit 3),Operational,Electro-mechanical energy storage,Pumped hydro storage,200000,Japan,42.8582077,140.88,null
Kings County Energy Storage - PG&E Henrietta Substation,Contracted,Electro-chemical battery and chemical storage,Zinc-based battery,10000,United States,36.0988489,-119.88,null
Convergent 35 MW / 140 MWh - SCE,Contracted,Electro-chemical battery and chemical storage,Lithium-ion battery,35000,United States,33.7174708,-117.83,Transmission
MAREX,Under Construction,Electro-mechanical energy storage,Pumped hydro storage,1500,Ireland,53.7355952,-9.57,Transmission
20 MW / 80 MWh - Energy Nuevo - Amber Kinetics,Announced/Never Built,Electro-mechanical energy storage,Flywheel,20000,United States,36.6783938,-119.9277947,Transmission
Valdencanas Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,225000,Spain,40.2268415,-2.33,Transmission
Flathead Electric ViZn Z20,Operational,Electro-chemical battery and chemical storage,Flow battery,80,United States,48.2359399,-114.28,null
The Cork Trust Medical Centre Dorrigo,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,60,Australia,-30.297854,152.6861458,null
Busselton Farm Property - Gildemeister / VSUN Energy,Operational,Electro-chemical battery and chemical storage,Flow battery,10,Australia,-33.8133575,115.3299128,Secondary Distribution
Jeju Smart Grid Test-Bed and Wind Farm,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,800,South Korea,33.5588706,126.81,null
Jeju Smart Grid: Sehwa School Demo,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,40,South Korea,33.5213068,126.85,null
Rio Grande-Cerro Pelado Hydroelectric Complex,Operational,Electro-mechanical energy storage,Pumped hydro storage,750000,Argentina,-31.9166667,-64.63,Transmission
Smart Operator,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,75,Germany,48,11,Primary Distribution
Newcastle Sportsground No 2 - Elmofo / Kokam,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,10,Australia,-32.9298771,151.7607026,null
Grand Ridge Energy Storage 31.5 MW,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,31500,United States,41.3308666,-88.71,null
Invenergy Grand Ridge Wind Project BESS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,31500,United States,41.3308666,-88.71,null
Franchise Services - JLM Energy,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,60,United States,33.5965685,-117.659405,Secondary Distribution
Archimede Solar Power Plant,Operational,Thermal energy storage,Sensible heat,4720,Italy,37.1578584,15.18,null
Xiangshuijian (???????????????????????????) Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,1000000,China,31.352859,118.43,Transmission
MVLA High School District - Mountain View HS,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,200,United States,37.3586027,-122.0671533,Secondary Distribution
Olivenhain-Hodges Storage Project,Operational,Electro-mechanical energy storage,Pumped hydro storage,40000,United States,33.12,-117.09,null
Entergy Chef Menteur Highway 500 kW Energy Storage,Operational,Electro-chemical battery and chemical storage,,500,United States,30.0733718,-89.86,null
La Muela pumped-storage plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,2000000,Spain,39.2408334,-0.94,null
Ferrolinera WESS: Li-Ion Batteries - Win Inertia ,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,300,Spain,40.37563,-3.68,Secondary Distribution
Ferrolinera WESS: Ultracapacitors - Win Inertia,Operational,Electro-chemical battery and chemical storage,Electro-chemical capacitor,300,Spain,40.37563,-3.68,Secondary Distribution
Clean Energy Storage: Sun Buzz,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,5,United States,47.6739881,-122.12,null
Rocky Mountain Institute Innovation Center,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,30,United States,39.3685167,-107.04,null
Duke Energy Rankin Substation - Win Inertia / Aquion Energy,Operational,Electro-chemical battery and chemical storage,Sodium-based battery,50,United States,35.29315669,-81.02474807,Primary Distribution
Duke Energy Rankin Substation - Win Inertia / Maxwell,Operational,Electro-chemical battery and chemical storage,Electro-chemical capacitor,250,United States,35.29315669,-81.02474807,Primary Distribution
Santa Rita Jail Smart Grid - Alameda County RDSI CERTS Microgrid Demonstration ,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,2000,United States,37.7176811,-121.89,Secondary Distribution
Guodian Longyuan Wind Farm VFB - Rongke Power & Anshan Rongxin,Operational,Electro-chemical battery and chemical storage,Flow battery,5000,China,41.805865,123.43,null
SEPTA Recycled Energy and Optimization Project - Viridity Energy,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,800,United States,39.9866038,-75.13,Primary Distribution
Schooner America 2.0 Electric Populsion,Operational,Electro-chemical battery and chemical storage,Lithium-ion battery,250,United States,40.7481266,-74.01,Secondary Distribution
Huizhou Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,2448000,China,23.111847,114.42,Transmission
East Penn Manufacturing Co. Grid-Scale Energy Storage Demonstration,Operational,Electro-chemical battery and chemical storage,Lead-acid battery,3000,United States,40.4776121,-75.77,Transmission
