name,type,status,country,latitude,longitude,injection
Monash Energy C to L CO2 Capture and Storage Project,Capture & Storage,Terminated,Australia,-38.235301,146.57174,"35,620"
Leucadia Energy Capture Project - Louisiana,Capture & Storage,Terminated,United States,30.189176,-93.306548,"12,330"
Kwinana Project,Capture & Storage,Terminated,Australia,-32.215362,115.776058,"10,960"
Kentucky NewGas project,Capture & Storage,Terminated,United States,37.293611,-87.118872,"13,700"
Kemper County IGCC Project,Capture & Storage,Terminated,United States,32.649461,-88.757013,"8,220"
Kedzierzyn,Capture & Storage,Terminated,Poland,50.316361,18.251953,"6,850"
Hydrogen Energy California Project,Capture & Storage,Terminated,United States,35.332443,-119.383456,"7,124"
Hunton Energy Freeport Plant,Capture & Storage,Terminated,United States,28.9773217,-95.3509855,"21,920"
Hunterston Station CCS,Capture & Storage,Terminated,Scotland,55.720961,-4.895658,
Hazelwood Post-Combustion 2030 Project,Capture & Storage,Terminated,Australia,-38.27297592,146.3917847,50
Halten CO2 Project (Draugen-Heidrun),Capture & Storage,Terminated,Norway,63.41136551,8.729652405,"6,850"
FutureGen - Tuscola,Capture & Storage,Terminated,United States,39.801556,-88.325743,
FutureGen - Odessa,Capture & Storage,Terminated,United States,31.85984802,-102.3777237,
FutureGen - Mattoon,Capture & Storage,Terminated,United States,39.496862,-88.440473,
FutureGen - Jewett,Capture & Storage,Terminated,United States,31.36325836,-96.14356995,
FutureGen 2.0,Capture & Storage,Terminated,United States,39.773533,-90.097383,"2,740"
First Energy Bay Shore Plant,Capture & Storage,Terminated,United States,41.689842,-83.437491,438
Fairview ZeroCarbon Project,Capture & Storage,Terminated,Australia,-25.843656,148.565414,274
E.ON Ruhrgas Killingholme IGCC,Capture & Storage,Terminated,United Kingdom,53.65401077,-0.258845001,"6,850"
DONG Energy - High-Efficiency PC Plant in Greifswalde,Capture & Storage,Terminated,Germany,54.081028,13.488122,90
CATO1 - Rotterdam ROAD project,Capture & Storage,Terminated,Netherlands,51.958989,4.026485,"3,014"
Browse LNG,Capture & Storage,Terminated,Australia,-14.43468022,120.6738281,
BP-Peterhead Hydrogen Power Plant/Miller Field Project,Capture & Storage,Terminated,Scotland,57.477624,-1.788701,"2,740"
Belchatow CCS Project,Capture & Storage,Terminated,Poland,51.266389,19.330556,"4,932"
Baard Energy - Ohio River Clean Fuels,Capture & Storage,Terminated,United States,40.602446,-80.650773,85
Aviva Corp Coolimba Oxyfuel Project,Capture & Storage,Terminated,Australia,-29.81,115.24,"7,946"
American Electric Power - Mountaineer,Capture & Storage,Terminated,United States,38.97882462,-81.938797,"15,000"
Taylorville Energy Center,Capture,Terminated,United States,39.589044,-89.188766,55
Sweeny Polygeneration with CO2 Capture,Capture,Terminated,United States,29.07198,-95.749718,"13,700"
Seminole Electric Cooperative,Capture,Terminated,United States,29.7329,-81.6332,"13,801"
Scottish Power - Cockenzie Project,Capture,Terminated,United Kingdom,55.967693,-2.9709975,5
RWE nPower - Blyth Post-Combustion Project,Capture,Terminated,United Kingdom,55.143175,-1.527295,"8,220"
Nuon Power Buggenum,Capture,Terminated,Netherlands,51.22278,5.9733,822
NRG Energy Inc. (Somerset Plant),Capture,Terminated,United States,41.73715,-71.146057,
Lianyungang IGCC with CO2 Capture,Capture,Terminated,China,34.596891,119.220804,"2,740"
FINNCAP - Meri Pori CCS Project,Capture,Terminated,Finland,61.631878,21.40684,"3,288"
E.ON Kingsnorth Ruhrgas UK Post-Combustion Project,Capture,Terminated,United Kingdom,51.418737,0.601415,20
American Electric Power - Tanners Creek Plant,Capture,Terminated,United States,39.082102,-84.859778,500
American Electric Power - Red Rock Facility,Capture,Terminated,United States,36.476601,-97.177595,950
AES Shady Point,Capture,Terminated,United States,35.191944,-94.6425,200
Western Kentucky CO2 Test,Storage,Completed,United States,37.792519,-86.69423,690
WESTCARB Validation Phase - Arizona Utilities CO2 Storage Pilot,Storage,Completed,United States,34.928611,-110.258611,0
Virginia Tech - Small-scale Injection Project,Storage,Completed,United States,37.036435,-82.144217,"20,300"
University of Kansas - Small-scale Injection Project,Storage,Completed,United States,37.319659,-97.433597,"40,000"
SWP Validation Phase - SACROC CO2 Injection Project,Storage,Completed,United States,32.809575,-100.9307056,"157,000"
SWP Validation Phase - Pump Canyon CO2-ECBM Sequestration Demonstration,Storage,Completed,United States,36.85479722,-107.6983472,"16,700"
SWP Validation Phase - Aneth EOR Sequestration Project,Storage,Completed,United States,37.30745,-109.3378278,"292,000"
Site Characterization of the Highest-Priority Geologic Formations for CO2 Storage in Wyoming,Storage,Completed,United States,41.712614,-108.79482,
Site Characterization for CO2 Storage from Coal-fired Power Facilities in the Black Warrior Basin of Alabama,Storage,Completed,United States,33.647396,-87.195723,
SECARB Validation Phase - Stacked Storage Test,Storage,Completed,United States,31.578581,-91.172386,"627,744"
SECARB Validation Phase - Plant Daniel Project,Storage,Completed,United States,30.53,-88.556111,"2,740"
SECARB Validation Phase - Central Appalachian Basin Coal Test,Storage,Completed,United States,37.08158333,-81.9609,907
SECARB Validation Phase - Black Warrior Basin Project,Storage,Completed,United States,33.347691,-87.49419,252
SECARB Development Phase -Cranfield Project,Storage,Completed,United States,31.589822,-91.154311,"4,743,898"
RECOPOL Project,Storage,Completed,Poland,49.9476,19.0632,2
Qinshui ECBM Project,Storage,Completed,China,35.69060135,112.1750412,192
PICOREF Project,Storage,Completed,France,47.83117,1.938112,
Pembina Cardium CO2 EOR Pilot,Storage,Completed,Canada,52.66256,-114.667908,79
PCOR Validation Phase - Northwest McGregor EOR Huff n' Puff Project,Storage,Completed,United States,48.575622,-102.942431,400
PCOR Validation Phase - Lignite Test,Storage,Completed,United States,48.549909,-102.239482,80
PCOR Development Phase - Bell Creek Project,Storage,Completed,United States,45.097,-105.109,"2,740"
Newark Basin Characterization of New York and New Jersey,Storage,Completed,United States,41.002159,-73.908508,0
Nagaoka Storage Project,Storage,Completed,Japan,37.449965,138.850413,40
MRCSP Validation Phase - Cincinnati Arch Geologic Test,Storage,Completed,United States,38.908484,-84.853985,910
MRCSP Validation Phase - Appalachian Basin Test,Storage,Completed,United States,39.912682,-80.76458,50
MOVECBM Project,Storage,Completed,Poland,49.9476,19.0632,15
"Modeling CO2 Sequestration in a Saline Reservoir and Depleted Oil Reservoir to Evaluate The Regional CO2 Sequestration Potential of The Ozark Plateau Aquifer System, South-Central Kansas",Storage,Completed,United States,37.165836,-101.251679,
MGSC Validation Phase - Tanquary Site,Storage,Completed,United States,38.40745,-87.95868,91
MGSC Validation Phase - Sugar Creek Field,Storage,Completed,United States,37.26265,-87.578917,"6,560"
MGSC Validation Phase - Mumford Hills Field,Storage,Completed,United States,38.187413,-87.879005,"6,300"
MGSC Validation Phase - Loudon Field,Storage,Completed,United States,39.041661,-88.893386,39
Liaohe EOR Project,Storage,Completed,China,41.137084,122.137069,"2,300"
JCOP Yubari/Ishikari ECBM Project,Storage,Completed,Japan,43.006987,142.08831,415
Gulf of Mexico Miocene Mega Transect Site Characterization,Storage,Completed,United States,28.394151,-96.186152,
Geologic Characterization of the South Georgia Rift Basin for Source Proximal CO2 Storage,Storage,Completed,United States,33.113913,-80.533211,
Frio Brine Pilot,Storage,Completed,United States,30.030999,-94.86129,"1,455"
Fenn Big Valley Project,Storage,Completed,Canada,52.050455,-112.734195,200
CO2SINK Project (Ketzin),Storage,Completed,Germany,51.191544,12.356714,"67,271"
Characterization of the Most Promising Sequestration Formations in the Rocky Mountain Region,Storage,Completed,United States,40.435449,-107.593316,
"Characterization of the Miocene and Pliocene Formations in the Wilmington Graben, Offshore Los Angeles, for Large Scale Geologic Storage of CO2",Storage,Completed,United States,33.592869,-118.174017,
Blackhorse Energy LLC - Small-scale Injection Project,Storage,Completed,United States,30.4658,-90.767859,"52,000"
Big Sky Validation Phase - Basalt Injection,Storage,Completed,United States,46.106511,-118.915757,977
An Evaluation of the Carbon Sequestration Potential of the Cambro Ordovician Strata of the Illinois and Michigan Basins,Storage,Completed,United States,40.10099,-88.229099,
Allison Unit CO2-ECBM Pilot,Storage,Completed,United States,39.979384,-107.510387,400
Weyburn-Midale Project,Capture & Storage,Completed,Canada,49.414461,-103.438402,"40,000,000"
