TerminalName,type,status,country,Capacity,CapacityUnits,CapacityInBcm/y,latitude,longitude
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
G2 LNG Terminal,Export,Cancelled,United States,1.3,mtpa,1.77,29.811571,-93.3596
Golden Pass LNG Import Terminal,Import,Mothballed,United States,15.7,mtpa,21.35,29.761394,-93.919418
Golden Pass LNG Terminal,Export,Construction,United States,6.03,mtpa,8.21,29.761394,-93.919418
Golden Pass LNG Terminal,Export,Construction,United States,6.03,mtpa,8.21,29.761394,-93.919418
Golden Pass LNG Terminal,Export,Construction,United States,6.03,mtpa,8.21,29.761394,-93.919418
Gulf LNG Import Terminal,Import,Idle,United States,8.8,mtpa,11.97,30.322382,-88.503663
Gulf LNG Terminal,Export,Proposed,United States,5.43,mtpa,7.38,30.322382,-88.503663
Gulf LNG Terminal,Export,Proposed,United States,5.43,mtpa,7.38,30.322382,-88.503663
Ingleside Energy LNG Terminal,Export,Cancelled,United States,1,bcf/d,10.34,27.874167,-97.208333
Jordan Cove LNG Export Terminal,Export,Cancelled,United States,1.5,mtpa,2.04,43.425,-124.269
Jordan Cove LNG Export Terminal,Export,Cancelled,United States,1.5,mtpa,2.04,43.425,-124.269
Jordan Cove LNG Export Terminal,Export,Cancelled,United States,1.5,mtpa,2.04,43.425,-124.269
Jordan Cove LNG Export Terminal,Export,Cancelled,United States,1.5,mtpa,2.04,43.425,-124.269
Jordan Cove LNG Export Terminal,Export,Cancelled,United States,1.5,mtpa,2.04,43.425,-124.269
Kenai LNG Terminal,Import,Proposed,United States,0.01,bcf/d,0.07,60.679484,-151.38834
Kenai LNG Terminal,Export,Mothballed,United States,1.5,mtpa,2.04,60.679484,-151.38834
Lake Charles LNG Import Terminal,Import,Mothballed,United States,17.9,mtpa,24.34,30.120416,-93.287833
Lake Charles LNG Terminal,Export,Proposed,United States,0.78,bcf/d,8.06,30.120416,-93.287833
Lake Charles LNG Terminal,Export,Proposed,United States,0.78,bcf/d,8.06,30.120416,-93.287833
Lake Charles LNG Terminal,Export,Proposed,United States,0.78,bcf/d,8.06,30.120416,-93.287833
Louisiana LNG Terminal,Export,Cancelled,United States,2.5,mtpa,3.4,29.39,-89.48
Louisiana LNG Terminal,Export,Cancelled,United States,2.5,mtpa,3.4,29.39,-89.48
Magnolia LNG Terminal,Export,Proposed,United States,2.2,mtpa,2.99,30.105668,-93.300819
Magnolia LNG Terminal,Export,Proposed,United States,2.2,mtpa,2.99,30.105668,-93.300819
Magnolia LNG Terminal,Export,Proposed,United States,2.2,mtpa,2.99,30.105668,-93.300819
Magnolia LNG Terminal,Export,Proposed,United States,2.2,mtpa,2.99,30.105668,-93.300819
Monkey Island LNG Terminal,Export,Cancelled,United States,2,mtpa,2.72,29.79362711,-93.34143969
Monkey Island LNG Terminal,Export,Cancelled,United States,2,mtpa,2.72,29.79362711,-93.34143969
Monkey Island LNG Terminal,Export,Cancelled,United States,2,mtpa,2.72,29.79362711,-93.34143969
Monkey Island LNG Terminal,Export,Cancelled,United States,2,mtpa,2.72,29.79362711,-93.34143969
Monkey Island LNG Terminal,Export,Cancelled,United States,2,mtpa,2.72,29.79362711,-93.34143969
Monkey Island LNG Terminal,Export,Cancelled,United States,2,mtpa,2.72,29.79362711,-93.34143969
Point Comfort LNG Terminal,Export,Cancelled,United States,4.5,mtpa,6.12,28.676111,-96.558889
Point Comfort LNG Terminal,Export,Cancelled,United States,4.5,mtpa,6.12,28.676111,-96.558889
Port Arthur LNG Terminal,Export,Construction,United States,6.75,mtpa,9.18,29.81166342,-93.95962882
Port Arthur LNG Terminal,Export,Construction,United States,6.75,mtpa,9.18,29.81166342,-93.95962882
Port Arthur LNG Terminal,Export,Proposed,United States,6.75,mtpa,9.18,29.81166342,-93.95962882
Port Arthur LNG Terminal,Export,Proposed,United States,6.75,mtpa,9.18,29.81166342,-93.95962882
Texas LNG Terminal,Export,Proposed,United States,2,mtpa,2.72,25.950835,-97.410844
Texas LNG Terminal,Export,Proposed,United States,2,mtpa,2.72,25.950835,-97.410844
Rio Grande LNG Terminal,Export,Construction,United States,5.87,mtpa,7.98,25.950835,-97.410844
Rio Grande LNG Terminal,Export,Construction,United States,5.87,mtpa,7.98,25.950835,-97.410844
Rio Grande LNG Terminal,Export,Construction,United States,5.87,mtpa,7.98,25.950835,-97.410844
Rio Grande LNG Terminal,Export,Proposed,United States,5.4,mtpa,7.34,25.950835,-97.410844
Rio Grande LNG Terminal,Export,Proposed,United States,5.4,mtpa,7.34,25.950835,-97.410844
Rio Grande LNG Terminal,Export,Cancelled,United States,4.5,mtpa,6.12,25.950835,-97.410844
Sabine Pass LNG Import Terminal,Import,Operating,United States,30.4,mtpa,41.34,29.75409666,-93.87405115
Sabine Pass LNG Terminal,Export,Operating,United States,5,mtpa,6.8,29.75409666,-93.87405115
Sabine Pass LNG Terminal,Export,Operating,United States,5,mtpa,6.8,29.75409666,-93.87405115
Sabine Pass LNG Terminal,Export,Operating,United States,5,mtpa,6.8,29.75409666,-93.87405115
Sabine Pass LNG Terminal,Export,Operating,United States,5,mtpa,6.8,29.75409666,-93.87405115
Sabine Pass LNG Terminal,Export,Operating,United States,5,mtpa,6.8,29.75409666,-93.87405115
Sabine Pass LNG Terminal,Export,Operating,United States,4.5,mtpa,6.12,29.75409666,-93.87405115
Sabine Pass LNG Terminal,Export,Proposed,United States,16.83,mtpa,22.89,29.75409666,-93.87405115
Strom LNG Terminal,Export,Cancelled,United States,0.02,bcf/d,0.2,28.900556,-82.593611
Plaquemines LNG Terminal,Export,Construction,United States,13.33,mtpa,18.13,29.600411,-89.886404
Plaquemines LNG Terminal,Export,Proposed,United States,10,mtpa,13.6,29.600411,-89.886404
Plaquemines LNG Terminal,Export,Proposed,United States,3.2,mtpa,4.35,29.600411,-89.886404
Arzew-Bethioua LNG Terminal,Export,Retired,Algeria,1.3,mtpa,1.77,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.32,mtpa,1.8,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.32,mtpa,1.8,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.32,mtpa,1.8,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.32,mtpa,1.8,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.32,mtpa,1.8,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.32,mtpa,1.8,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.37,mtpa,1.86,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.37,mtpa,1.86,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.37,mtpa,1.86,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.37,mtpa,1.86,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.37,mtpa,1.86,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,1.37,mtpa,1.86,35.80452,-0.24097
Arzew-Bethioua LNG Terminal,Export,Operating,Algeria,4.7,mtpa,6.39,35.80452,-0.24097
Skikda LNG Terminal,Export,Retired,Algeria,1,mtpa,1.36,36.8779,6.9415
Skikda LNG Terminal,Export,Retired,Algeria,1,mtpa,1.36,36.8779,6.9415
Skikda LNG Terminal,Export,Retired,Algeria,1,mtpa,1.36,36.8779,6.9415
