ProjectID,Wiki,TerminalName,FacilityType,Status,Country,Capacity,CapacityUnits,CapacityInBcm/y,StartYearEarliest,Location,State/Province,Latitude,Longitude,CostUSD,LastUpdated
1,https://www.gem.wiki/Chaozhou_LNG_Terminal_(Huaying),Chaozhou LNG Terminal (Huaying）,Import,Proposed,China,6,mtpa,8.16,--,Raoping County,Guangdong,23.583697,117.12851,--,2024-02-14
0,https://www.gem.wiki/Zhangzhou_LNG_Terminal_(China_Energy_Reserve),Zhangzhou LNG Terminal (China Energy Reserve),Import,Shelved,China,3,mtpa,4.08,--,Zhangzhou Development Zone,Fujian,24.406885,118.063012,--,2024-01-17
0,https://www.gem.wiki/Dongying_LNG_Terminal_(China_Huadian),Dongying LNG Terminal (China Huadian),Import,Cancelled,China,,,--,--,Economic Zone,Shandong,38.08339506,119.0333177,--,2024-02-12
0,https://www.gem.wiki/Dongying_LNG_Terminal_(Hainuo_Port),Dongying LNG Terminal (Hainuo Port),Import,Shelved,China,3,mtpa,4.08,2022,Dongying Port,Shandong,38.08339506,119.0333177,--,2024-02-12
0,https://www.gem.wiki/Dongying_FSRU,Dongying FSRU,Import,Cancelled,China,3,mtpa,4.08,2022,Dongying Port,Shandong,38.08339506,119.0333177,--,2024-01-30
0,https://www.gem.wiki/Jiangyin_LNG_Terminal_(Garson_Gas),Jiangyin LNG Terminal (Garson Gas),Import,Construction,China,3,mtpa,4.08,2023,Jiangyin,Jiangsu,31.949128,120.007213,--,2024-02-07
0,https://www.gem.wiki/Jiujiang_LNG_Terminal,Jiujiang LNG Terminal,Import,Shelved,China,,,--,2023,Hukou Shawan,Jiangxi,29.77861542,116.2638593,--,2024-01-29
0,https://www.gem.wiki/Panjin_LNG_Terminal,Panjin LNG Terminal,Import,Shelved,China,,,--,--,Panjin Port,Liaoning,40.679064,122.133293,--,2024-01-29
0,https://www.gem.wiki/Quanzhou_LNG_Terminal,Quanzhou LNG Terminal,Import,Shelved,China,3,mtpa,4.08,--,Quangang,Fujian,25.18252863,118.9743127,--,2024-01-17
1,https://www.gem.wiki/Quanzhou_LNG_Terminal,Quanzhou LNG Terminal,Import,Shelved,China,3,mtpa,4.08,--,Quangang,Fujian,25.18252863,118.9743127,--,2024-01-17
0,https://www.gem.wiki/Rongcheng_LNG_Terminal,Rongcheng LNG Terminal,Import,Cancelled,China,,,--,--,Rongcheng Shidao,Shandong,36.891775,122.437258,--,2024-01-31
0,https://www.gem.wiki/Rudong_LNG_Terminal_(Jiangsu_Guoxin),Rudong LNG Terminal (Jiangsu Guoxin),Import,Operating,China,2.95,mtpa,4.01,2023,Rudong,Jiangsu,32.526845,121.412712,832000000,2024-02-07
1,https://www.gem.wiki/Rudong_LNG_Terminal_(Jiangsu_Guoxin),Rudong LNG Terminal (Jiangsu Guoxin),Import,Construction,China,3.05,mtpa,4.15,2025,Rudong,Jiangsu,32.526845,121.412712,--,2024-02-07
0,https://www.gem.wiki/Taizhou_Toumengang_LNG_Terminal,Taizhou Toumengang LNG Terminal,Import,Proposed,China,3,mtpa,4.08,--,Toumen Island,Zhejiang,28.68703057,121.7892551,--,2024-02-08
0,https://www.gem.wiki/Wenzhou_Huagang_LNG_Terminal,Wenzhou Huagang LNG Terminal,Import,Construction,China,3,mtpa,4.08,--,"Dongtou District, Zhuangyuan'ao",Zhejiang,27.903136,121.127993,--,2023-02-07
0,https://www.gem.wiki/Yantai_FSRU,Yantai FSRU,Import,Cancelled,China,,,--,--,Fushan Dajijia Town,Shandong,37.66856,120.275379,--,2024-01-30
0,https://www.gem.wiki/Aguadulce_FSRU,Aguadulce FSRU,Import,Proposed,Colombia,,,--,--,Bay of Buenaventura,Valle del Cauca,3.921808,-77.108302,--,2024-08-28
0,https://www.gem.wiki/Mumbai_FSRU,Mumbai FSRU,Import,Shelved,India,5,mtpa,6.8,--,Mumbai Port,Maharashtra,18.958761,72.850767,349700000,2024-06-17
0,https://www.gem.wiki/Beddawi_FSRU,Beddawi FSRU,Import,Shelved,Lebanon,3.5,mtpa,4.76,--,Beddawi,,34.466704,35.832663,--,2024-05-30
0,https://www.gem.wiki/Selaata_FSRU,Selaata FSRU,Import,Shelved,Lebanon,,,--,--,Selaata,,34.281578,35.650967,--,2024-05-30
0,https://www.gem.wiki/Zahrani_FSRU,Zahrani FSRU,Import,Shelved,Lebanon,,,--,--,Zahrani,,33.508047,35.3422655,--,2024-05-30
0,https://www.gem.wiki/Puerto_Sandino_FSRU,Puerto Sandino FSRU,Import,Construction,Nicaragua,1.3,mtpa,1.77,2024,,,12.171182,-86.767115,--,2024-08-29
