Ref,Project name,Country,Status,Technology,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,References,Latitude,Longitude,Dummy_1,LOWE_CF,,,,,
49,Sarawak Energy,MYS,Operational,ALK,Other/unknown,,H2,,,,,,1,,,,,,,,,0.276,60,0.0,,[240] [357],0,0,Electrolysis,0.57,,,,,
50,Vårgårda Bostäder housing complex,SWE,Operational,ALK,Dedicated renewable,Solar PV,H2,,,,,,,,1,,,,,,,0.276,60,0.0,,,58.05926991,12.81683708,Electrolysis,0.3,,,,,
51,SoCalGas-NREL,USA,Operational,Other Electrolysis,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.25,56,0.0,,[3] [109],0,0,Electrolysis,0.57,,,,,
52,Stromlückenfüller 2nd phase,DEU,Operational,PEM,Grid,,H2,,,,,,,,1,,,,,,,0.2,38,0.0,,[427],0,0,Electrolysis,0.57,,,,,
54,ATCO clean energy innovation hub,AUS,Operational,PEM,Grid,,H2,,,,,,,1,,,1,,,,,0.15,29,0.0,,[306] [307],0,0,Electrolysis,0.57,,,,,
55,Tauron CO2-SNG,POL,Operational,Other Electrolysis,Grid,,CH4,,,,,,,,,,,,,1,,0.081,18,0.0,,"[3], [92], [93]",0,0,Electrolysis,0.57,,,,,
56,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,JPN,DEMO,Other Electrolysis,Other/Unknown,,,,,,,,,,,,,,,,,,,,,,37.46907169,138.8410337,Electrolysis,0.57,,,,,
58,VTT Bio economy+,FIN,DEMO,PEM,Other/unknown,,Synfuels,,,,,,,,,,,,1,,,0.025,5,0.0,,[234] [389],0,0,Electrolysis,0.57,,,,,
59,Kopernikus,DEU,DEMO,SOEC,Other/unknown,,Synfuels,,,,,,,,,,,,1,,,0.01,3,0.0,,[445],49.01252508,8.416944469,Electrolysis,0.57,,,,,
60,Rozenburg Power2Gas Phase 2,NLD,DEMO,PEM,Grid,,H2,,,,,,,,1,,,,,,,0.007,1,0.0,,"[7], [9], [148] [464]",0,0,Electrolysis,0.57,,,,,
61,Balance project,FIN,DEMO,SOEC,Other/unknown,,Various,,,,,,,1,,,,,1,,,0.006,2,0.0,,[215],0,0,Electrolysis,0.57,,,,,
62,H2One - SP Group,SGP,Operational,PEM,Other/unknown,,H2,,,,,,1,,,,,,,,,0.005,1,0.0,,[556],0,0,Electrolysis,0.57,,,,,
