type,latitude,longitude,capacity_mw
Hydro,47.4698,13.1945,16.0
Hydro,48.1465,14.1176,37.0
Hydro,48.1892,15.0682,236.0
Hydro,41.3979,48.3308,1.0
Hydro,40.79,47.0287,402.0
Hydro,40.9487,46.168,405.0
Hydro,40.6837,47.0926,16.0
Hydro,40.9193,46.2829,150.0
Hydro,22.495,92.216,230.0
Biomass,50.5851,5.418,95.0
Hydro,50.4359,6.2106,1.8
Hydro,50.3849,5.8618,1164.0
Hydro,50.426,5.7328,8.0
Hydro,50.5335,5.2962,9.9
Hydro,50.4928,5.07,9.0
Hydro,50.4665,4.8992,5.0
Hydro,50.5922,5.4613,10.0
Hydro,50.7517,5.6863,20.0
Hydro,50.6517,5.6308,19.7
Hydro,49.733,5.377,1.9
Hydro,50.1884,4.3861,144.0
Biomass,51.1341,3.777,268.0
Hydro,27.4254,89.9043,64.0
Hydro,27.1104,89.5313,336.0
Hydro,27.2162,91.2035,60.0
Hydro,27.3567,91.6497,2.2
Hydro,27.036,89.5953,1020.0
Hydro,-16.1925,-68.1405,10.6
Hydro,-16.0456,-67.9939,30.0
Hydro,-16.4124,-67.7725,38.4
Hydro,-16.105,-68.067,34.0
Hydro,-17.2122,-65.8758,54.0
Hydro,-16.1425,-68.1158,24.0
Hydro,-16.0784,-68.0336,30.0
Hydro,-16.0416,-67.9566,34.0
Hydro,-16.124,-68.09,11.0
Hydro,-17.1916,-65.8232,93.4
Hydro,-16.1318,-68.1095,18.0
Hydro,-16.2072,-68.1235,9.6
Hydro,-16.3887,-67.7373,51.1
Hydro,-16.2719,-68.1227,11.0
Hydro,44.5075,17.1618,110.0
Hydro,43.0133,17.8041,420.0
Hydro,42.6037,18.2357,216.0
Hydro,43.5872,17.7189,115.0
Hydro,43.6924,17.7325,180.0
Hydro,44.3774,17.2816,48.0
Hydro,44.4279,17.2404,30.0
Hydro,44.5624,17.135,48.5
Hydro,43.3776,17.8449,75.0
Hydro,43.2989,17.794,60.0
Hydro,43.3375,17.3261,30.0
Hydro,43.747,17.6758,160.0
Hydro,43.4478,17.8369,210.0
Hydro,42.7338,18.4971,180.0
Hydro,42.7066,18.3805,8.0
Hydro,43.7603,19.2891,315.0
Hydro,-29.0648,-51.6749,100.71
Biomass,-22.8877,-45.3275,2.0
Hydro,-13.0992,-54.8189,6.66
Biomass,-19.4632,-44.2871,4.8
Hydro,-30.7944,-52.6272,4.86
Hydro,-26.7712,-52.1902,1.46
Hydro,-20.2617,-43.7981,1.3005
Hydro,-11.675,-46.6722,14.683
Biomass,-20.6583,-49.8415,1.2
Biomass,-19.2517,-44.985,21.6
Biomass,-9.4938,-40.3564,14.0
Hydro,-27.5247,-51.5067,3.9
Hydro,-27.3156,-49.0858,3.893
Hydro,-19.4983,-41.0236,330.0
Hydro,-27.4967,-52.8036,3.0
Biomass,-21.0335,-47.9605,4.25
Biomass,-21.1971,-51.2083,2.4
Biomass,-18.4533,-39.9358,11.2
Biomass,-20.0833,-51.2895,4.2
Biomass,-22.3457,-52.5145,38.1
Hydro,-24.0814,-47.5067,72.0
Hydro,-20.7672,-41.5306,2.056
Hydro,-11.9319,-62.0425,5.0
Biomass,-20.4819,-47.8662,75.0
Hydro,-26.7819,-49.3972,2.544
