id,tech,capacity_mw,lcoe_total,lcoe_pre,lcoe_cons,lcoe_fixed,lcoe_var,lcoe_infra,lcoe_fuel,lcoe_carbon
onwind_27429,onshore_wind(>3MW),14.4,44.24969089212125,3.0052614698204776,21.813562190651453,8.197815696013244,6.000000000000001,5.233051535636081,0.0,0.0
onwind_27431,onshore_wind(>3MW),17.5,43.32269319152286,3.0052614698204776,21.813562190651453,8.197815696013246,6.000000000000001,4.30605383503769,0.0,0.0
onwind_27432,onshore_wind(>3MW),44.0,40.729274404511536,3.005261469820477,21.813562190651453,8.197815696013244,6.000000000000001,1.7126350480263537,0.0,0.0
onwind_27435,onshore_wind(>3MW),28.7,41.64228193882523,3.0052614698204767,21.813562190651453,8.197815696013244,6.0,2.6256425823400544,0.0,0.0
onwind_27444,onshore_wind(>3MW),11.5,45.569329975020786,3.0052614698204776,21.813562190651457,8.197815696013246,6.000000000000001,6.552690618535615,0.0,0.0
onwind_27451,onshore_wind(>3MW),443.0,39.18674306328689,3.005261469820477,21.81356219065145,8.197815696013244,6.0,0.17010370680171458,0.0,0.0
onwind_27452,onshore_wind(>3MW),26.0,41.91494482237592,3.005261469820477,21.813562190651453,8.197815696013246,6.000000000000001,2.8983054658907528,0.0,0.0
onwind_27454,onshore_wind(>3MW),14.0,44.39920665028228,3.005261469820477,21.813562190651453,8.197815696013244,6.0,5.382567293797112,0.0,0.0
offwind_27456,offshore_wind,183.6,47.32394572270536,2.345996040102335,21.786707978202,17.104512136505647,1.0,5.086729567895383,0.0,0.0
offwind_27457,offshore_wind,659.0,43.65439908146489,2.345996040102335,21.786707978201992,17.104512136505647,1.0,1.4171829266549199,0.0,0.0
onwind_27458,onshore_wind(>3MW),20.5,42.69253897176126,3.005261469820477,21.813562190651457,8.197815696013244,6.000000000000002,3.6758996152760766,0.0,0.0
onwind_27459,onshore_wind(>3MW),18.0,43.203080584994034,3.005261469820477,21.813562190651453,8.197815696013246,6.0,4.186441228508865,0.0,0.0
onwind_27462,onshore_wind(>3MW),10.0,46.55223356780113,3.0052614698204776,21.813562190651457,8.197815696013244,6.000000000000001,7.535594211315957,0.0,0.0
onwind_27463,onshore_wind(>3MW),18.5,43.08993352476407,3.005261469820477,21.813562190651453,8.197815696013246,6.000000000000001,4.0732941682788955,0.0,0.0
onwind_27470,onshore_wind(>3MW),27.2,41.7870784047631,3.005261469820477,21.813562190651453,8.197815696013244,6.000000000000001,2.7704390482779253,0.0,0.0
onwind_27471,onshore_wind(>3MW),30.0,41.5285040935905,3.0052614698204776,21.813562190651453,8.197815696013244,6.000000000000002,2.511864737105319,0.0,0.0
onwind_27473,onshore_wind(>3MW),24.0,42.15647027786682,3.005261469820477,21.813562190651457,8.197815696013244,6.000000000000001,3.1398309213816487,0.0,0.0
offwind_27480,offshore_wind,210.0,46.68447114845565,2.3459960401023348,21.786707978201996,17.104512136505644,1.0,4.447254993645677,0.0,0.0
onwind_27481,onshore_wind(>3MW),12.5,45.045114725537935,3.0052614698204767,21.813562190651453,8.197815696013244,6.0,6.028475369052765,0.0,0.0
onwind_27482,onshore_wind(>3MW),18.2,43.157075736329105,3.005261469820477,21.813562190651453,8.197815696013244,6.000000000000001,4.1404363798439325,0.0,0.0
onwind_27484,onshore_wind(>3MW),10.4,46.26240302121205,3.0052614698204776,21.813562190651453,8.197815696013244,6.000000000000002,7.245763664726881,0.0,0.0
onwind_27489,onshore_wind(>3MW),322.0,39.250664021432875,3.005261469820477,21.813562190651453,8.197815696013244,6.0,0.2340246649477005,0.0,0.0
onwind_27490,onshore_wind(>3MW),108.0,39.714379561236655,3.0052614698204776,21.813562190651453,8.197815696013244,6.000000000000001,0.6977402047514775,0.0,0.0
onwind_27491,onshore_wind(>3MW),109.0,39.707978274954534,3.0052614698204776,21.813562190651453,8.197815696013244,6.000000000000001,0.6913389184693538,0.0,0.0
onwind_27493,onshore_wind(>3MW),14.0,44.39920665028228,3.005261469820477,21.813562190651453,8.197815696013244,6.0,5.382567293797112,0.0,0.0
onwind_27502,onshore_wind(>3MW),43.0,40.769103126558655,3.005261469820477,21.813562190651453,8.197815696013244,6.000000000000001,1.7524637700734782,0.0,0.0
onwind_27504,onshore_wind(>3MW),42.0,40.810828454417546,3.005261469820477,21.813562190651453,8.197815696013244,6.000000000000001,1.7941890979323707,0.0,0.0
onwind_27505,onshore_wind(>3MW),15.0,44.04036883069581,3.0052614698204776,21.813562190651453,8.197815696013244,6.000000000000002,5.023729474210638,0.0,0.0
onwind_27507,onshore_wind(>3MW),12.3,45.14313871527864,3.005261469820477,21.813562190651453,8.197815696013244,6.000000000000001,6.12649935879346,0.0,0.0
onwind_27508,onshore_wind(>3MW),18.0,43.203080584994034,3.005261469820477,21.813562190651453,8.197815696013246,6.0,4.186441228508865,0.0,0.0
onwind_27511,onshore_wind(>3MW),10.0,46.55223356780113,3.0052614698204776,21.813562190651457,8.197815696013244,6.000000000000001,7.535594211315957,0.0,0.0
onwind_27517,onshore_wind(>3MW),26.0,41.91494482237592,3.005261469820477,21.813562190651453,8.197815696013246,6.000000000000001,2.8983054658907528,0.0,0.0
onwind_27523,onshore_wind(>3MW),16.0,43.72638573855765,3.005261469820477,21.813562190651453,8.197815696013244,6.000000000000001,4.709746382072473,0.0,0.0
HEYM2D-1,nuclear,416.6666666666667,105.8422906167841,6.269828022472698,88.5922756767495,9.180186917561922,1.7999999999999998,0.0,0.0,0.0
HRTL-1,nuclear,416.6666666666667,105.8422906167841,6.269828022472698,88.5922756767495,9.180186917561922,1.7999999999999998,0.0,0.0,0.0
HRTL-2,nuclear,416.6666666666667,105.8422906167841,6.269828022472698,88.5922756767495,9.180186917561922,1.7999999999999998,0.0,0.0,0.0
SIZB-1,nuclear,454.6666666666667,105.8422906167841,6.269828022472698,88.59227567674948,9.18018691756192,1.7999999999999996,0.0,0.0,0.0
SIZB-2,nuclear,454.6666666666667,105.8422906167841,6.269828022472698,88.59227567674948,9.18018691756192,1.7999999999999996,0.0,0.0,0.0
TORND-1,nuclear,454.6666666666667,105.8422906167841,6.269828022472698,88.59227567674948,9.18018691756192,1.7999999999999996,0.0,0.0,0.0
DNGB21,nuclear,655.0,105.84229061678411,6.269828022472698,88.59227567674948,9.180186917561922,1.7999999999999998,0.0,0.0,0.0
DNGB22,nuclear,655.0,105.84229061678411,6.269828022472698,88.59227567674948,9.180186917561922,1.7999999999999998,0.0,0.0,0.0
nuclear_1162,nuclear,680.0,105.84229061678411,6.269828022472698,88.59227567674948,9.180186917561922,1.8,0.0,0.0,0.0
nuclear_1163,nuclear,680.0,105.84229061678411,6.269828022472698,88.59227567674948,9.180186917561922,1.8,0.0,0.0,0.0
nuclear_1192,nuclear,1250.0,105.84229061678411,6.269828022472698,88.5922756767495,9.18018691756192,1.7999999999999998,0.0,0.0,0.0
KNLCV-1,hydro,45.0,75.78638708295112,0.0,58.867564150429565,9.918822932521563,7.000000000000001,0.0,0.0,0.0
CLAC-1,hydro,30.6,75.78638708295112,0.0,58.867564150429565,9.918822932521563,7.000000000000001,0.0,0.0,0.0
FASN3,hydro,14.8,75.78638708295112,0.0,58.86756415042956,9.918822932521563,7.000000000000001,0.0,0.0,0.0
FASN-4,hydro,14.8,75.78638708295112,0.0,58.86756415042956,9.918822932521563,7.000000000000001,0.0,0.0,0.0
RHEI-4,hydro,56.0,75.78638708295112,0.0,58.867564150429565,9.918822932521563,7.000000000000001,0.0,0.0,0.0
SLOY-1,hydro,30.6,75.78638708295112,0.0,58.867564150429565,9.918822932521563,7.000000000000001,0.0,0.0,0.0
SLOY-4,hydro,30.6,75.78638708295112,0.0,58.867564150429565,9.918822932521563,7.000000000000001,0.0,0.0,0.0
ERRO-1,hydro,12.2,75.78638708295114,0.0,58.867564150429565,9.918822932521564,7.000000000000002,0.0,0.0,0.0
ERRO-2,hydro,12.2,75.78638708295114,0.0,58.867564150429565,9.918822932521564,7.000000000000002,0.0,0.0,0.0
ERRO-3,hydro,12.2,75.78638708295114,0.0,58.867564150429565,9.918822932521564,7.000000000000002,0.0,0.0,0.0
FASN-1,hydro,14.8,75.78638708295112,0.0,58.86756415042956,9.918822932521563,7.000000000000001,0.0,0.0,0.0
FASN2,hydro,14.8,75.78638708295112,0.0,58.86756415042956,9.918822932521563,7.000000000000001,0.0,0.0,0.0
FINL-1,hydro,12.2,75.78638708295114,0.0,58.867564150429565,9.918822932521564,7.000000000000002,0.0,0.0,0.0
NANT-1,hydro,440.0,75.78638708295112,0.0,58.86756415042956,9.918822932521563,7.000000000000001,0.0,0.0,0.0
SLOY-2,hydro,30.6,75.78638708295112,0.0,58.867564150429565,9.918822932521563,7.000000000000001,0.0,0.0,0.0
SLOY-3,hydro,30.6,75.78638708295112,0.0,58.867564150429565,9.918822932521563,7.000000000000001,0.0,0.0,0.0
hydro_4896,hydro,2016.0,75.78638708295112,0.0,58.867564150429565,9.918822932521563,7.000000000000001,0.0,0.0,0.0
hydro_4899,hydro,75.0,75.78638708295114,0.0,58.867564150429565,9.918822932521563,7.0,0.0,0.0,0.0
hydro_4901,hydro,384.0,75.78638708295112,0.0,58.86756415042956,9.918822932521564,7.000000000000001,0.0,0.0,0.0
hydro_4903,hydro,320.0,75.78638708295114,0.0,58.86756415042957,9.918822932521564,7.000000000000002,0.0,0.0,0.0
hydro_4904,hydro,100.0,75.78638708295112,0.0,58.86756415042956,9.918822932521563,7.000000000000001,0.0,0.0,0.0
hydro_4910,hydro,46.0,75.78638708295112,0.0,58.867564150429565,9.918822932521563,7.000000000000001,0.0,0.0,0.0
AG-NHAV02,ccgt,22.5,92.88893829645983,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,9.247890777496927,43.14508339236268,28.65869019254298
ABERU-1,ccgt,4.571428571428571,129.15800993945555,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,45.51696242049269,43.14508339236267,28.658690192542977
BRIDU-1,ccgt,300.0,84.33463932727516,0.1412106128190609,7.216562167410897,2.479501153827269,2.0,0.6935918083122695,43.145083392362665,28.658690192542977
COWE1,ccgt,70.0,86.61358384030116,0.1412106128190609,7.216562167410896,2.479501153827269,2.0,2.9725363213382976,43.145083392362665,28.658690192542977
COWE2,ccgt,70.0,86.61358384030116,0.1412106128190609,7.216562167410896,2.479501153827269,2.0,2.9725363213382976,43.145083392362665,28.658690192542977
CROYD-2,ccgt,50.0,87.8025983688365,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,4.161550849873617,43.14508339236267,28.65869019254298
DBFRM-1,ccgt,21.0,93.54950192342386,0.1412106128190609,7.216562167410897,2.4795011538272695,2.0,9.908454404460993,43.14508339236267,28.65869019254298
DIDC01G,ccgt,265.0,84.42624579252393,0.1412106128190609,7.216562167410897,2.479501153827269,2.0,0.7851982735610598,43.14508339236267,28.658690192542977
DIDC02G,ccgt,265.0,84.42624579252393,0.1412106128190609,7.216562167410897,2.479501153827269,2.0,0.7851982735610598,43.14508339236267,28.658690192542977
DIDC03G,ccgt,265.0,84.42624579252393,0.1412106128190609,7.216562167410897,2.479501153827269,2.0,0.7851982735610598,43.14508339236267,28.658690192542977
DIDC04G,ccgt,265.0,84.42624579252393,0.1412106128190609,7.216562167410897,2.479501153827269,2.0,0.7851982735610598,43.14508339236267,28.658690192542977
FAWN-1,ccgt,62.5,86.97028819886177,0.1412106128190609,7.216562167410897,2.4795011538272695,2.0,3.3292406798988936,43.14508339236267,28.65869019254298
FELL-1,ccgt,62.5,86.97028819886177,0.1412106128190609,7.216562167410897,2.4795011538272695,2.0,3.3292406798988936,43.14508339236267,28.65869019254298
GYAR-1,ccgt,398.0,84.16385541467565,0.1412106128190609,7.216562167410897,2.4795011538272695,2.0,0.522807895712766,43.14508339236267,28.65869019254298
KLYN-A-1,ccgt,395.0,84.16782610755449,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,0.5267785885915971,43.14508339236267,28.65869019254298
PETEM1,ccgt,147.0,85.05654100531444,0.1412106128190609,7.216562167410897,2.4795011538272695,2.0,1.4154934863515705,43.14508339236267,28.658690192542977
PETDG-1,ccgt,147.0,85.05654100531444,0.1412106128190609,7.216562167410897,2.4795011538272695,2.0,1.4154934863515705,43.14508339236267,28.658690192542977
SEVIU-1,ccgt,283.3333333333333,84.37543884541115,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.7343913264482854,43.14508339236267,28.65869019254298
SHOS-1,ccgt,420.0,84.13647023918594,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,0.4954227202230497,43.14508339236267,28.65869019254298
SOLUU-1,ccgt,140.0,85.127315679632,0.1412106128190609,7.216562167410896,2.479501153827269,2.0,1.4862681606691488,43.145083392362665,28.658690192542977
TAYL2G,ccgt,48.0,87.97599632091455,0.1412106128190609,7.216562167410897,2.479501153827269,2.0,4.334948801951684,43.145083392362665,28.65869019254298
TAYL3G,ccgt,48.0,87.97599632091455,0.1412106128190609,7.216562167410897,2.479501153827269,2.0,4.334948801951684,43.145083392362665,28.65869019254298
THRNL-1,ccgt,50.0,87.8025983688365,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,4.161550849873617,43.14508339236267,28.65869019254298
VKING-2,ccgt,50.0,87.8025983688365,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,4.161550849873617,43.14508339236267,28.65869019254298
CARR-1,ccgt,67.5,86.72367777812853,0.1412106128190609,7.216562167410898,2.47950115382727,2.0,3.0826302591656427,43.14508339236267,28.658690192542984
CARR-2,ccgt,67.5,86.72367777812853,0.1412106128190609,7.216562167410898,2.47950115382727,2.0,3.0826302591656427,43.14508339236267,28.658690192542984
CDCL-1,ccgt,445.0,84.10863750209477,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.4675899831318671,43.14508339236268,28.65869019254298
DAMC-1,ccgt,1302.5,83.80079995081982,0.1412106128190609,7.216562167410896,2.479501153827269,2.0,0.15975243185695265,43.145083392362665,28.65869019254298
DIDCB5,ccgt,265.0,84.42624579252393,0.1412106128190609,7.216562167410897,2.479501153827269,2.0,0.7851982735610598,43.14508339236267,28.658690192542977
DIDCB6,ccgt,265.0,84.42624579252393,0.1412106128190609,7.216562167410897,2.479501153827269,2.0,0.7851982735610598,43.14508339236267,28.658690192542977
EECL-1,ccgt,408.0,84.15104149566308,0.1412106128190609,7.216562167410897,2.4795011538272695,2.0,0.5099939767001982,43.145083392362665,28.658690192542977
GRAI1G,ccgt,235.83333333333337,84.5233551196428,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.8823076006799186,43.14508339236267,28.658690192542977
GRAI4G,ccgt,235.83333333333337,84.5233551196428,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.8823076006799186,43.14508339236267,28.658690192542977
GRMO-1,ccgt,20.7,93.69310271189433,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,10.052055192931443,43.14508339236267,28.65869019254298
INDQ-1,ccgt,1302.5,83.80079995081982,0.1412106128190609,7.216562167410896,2.479501153827269,2.0,0.15975243185695265,43.145083392362665,28.65869019254298
LAGA-1,ccgt,905.0,83.87096745541999,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.22991993645710593,43.14508339236267,28.65869019254298
LBAR-1,ccgt,367.5,84.20724491350352,0.1412106128190609,7.216562167410896,2.479501153827269,2.0,0.5661973945406281,43.14508339236267,28.65869019254298
LBAR-1G,ccgt,367.5,84.20724491350352,0.1412106128190609,7.216562167410896,2.479501153827269,2.0,0.5661973945406281,43.14508339236267,28.65869019254298
MRWD-1,ccgt,20.0,94.04492464364692,0.1412106128190609,7.216562167410896,2.4795011538272695,2.0,10.403877124684042,43.14508339236267,28.658690192542977
PEHE-1,ccgt,913.3333333333334,83.86886964578078,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,0.22782212681789873,43.14508339236267,28.658690192542977
PEHE-2,ccgt,913.3333333333334,83.86886964578078,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,0.22782212681789873,43.14508339236267,28.658690192542977
PEHED-1,ccgt,913.3333333333334,83.86886964578078,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,0.22782212681789873,43.14508339236267,28.658690192542977
PEMB-11,ccgt,461.0,84.09240878250667,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.45136126354377626,43.14508339236267,28.65869019254298
PEMB-21,ccgt,461.0,84.09240878250667,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.45136126354377626,43.14508339236267,28.65869019254298
PEMB-31,ccgt,461.0,84.09240878250667,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.45136126354377626,43.14508339236267,28.65869019254298
PEMB-41,ccgt,461.0,84.09240878250667,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.45136126354377626,43.14508339236267,28.65869019254298
PEMB-51,ccgt,461.0,84.09240878250667,0.14121061281906092,7.216562167410897,2.4795011538272695,2.0,0.45136126354377626,43.14508339236267,28.65869019254298
RATS-1,ccgt,4.571428571428571,129.15800993945555,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,45.51696242049269,43.14508339236267,28.658690192542977
RATS-2,ccgt,4.571428571428571,129.15800993945555,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,45.51696242049269,43.14508339236267,28.658690192542977
RATS-3,ccgt,4.571428571428571,129.15800993945555,0.14121061281906092,7.216562167410898,2.4795011538272695,2.0,45.51696242049269,43.14508339236267,28.658690192542977
