id,tech,capacity_mw,lcoe_per_mwh,pv_total_costs,pv_generation_mwh,pv_pre_capex_per_mw,pv_construction_capex_per_mw,pv_fixed_opex_per_mw,pv_variable_opex_per_mw,pv_pre_capex,pv_construction_capex,pv_fixed_opex,pv_variable_opex,pv_infra,lcoe_pre,lcoe_cons,lcoe_fixed,lcoe_var,lcoe_infra,lcoe_fuel,lcoe_carbon,capex_df,build_years
biomass_1403,biomass,40.0,65.07043357643812,152131690.72500744,2337954.1577250846,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4824947.374297934,97864786.28123623,32693993.643986627,16365679.10407559,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0,0.7709439463628691,5
biomass_1404,biomass,40.0,65.07043357643812,152131690.72500744,2337954.1577250846,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4824947.374297934,97864786.28123623,32693993.643986627,16365679.10407559,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.16351232557230966,0.0,0.0,0.7709439463628691,5
biomass_1463,biomass,38.0,65.07903948831036,144544220.40482762,2221056.44983883,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4583700.005583037,92971546.96717441,31059293.9617873,15547395.148871811,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840184,7.0,0.1721182374445365,0.0,0.0,0.7709439463628691,5
biomass_1608,biomass,38.0,65.07903948831036,144544220.40482762,2221056.44983883,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4583700.005583037,92971546.96717441,31059293.9617873,15547395.148871811,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840184,7.0,0.1721182374445365,0.0,0.0,0.7709439463628691,5
biomass_1611,biomass,42.0,65.06264727522041,159719161.0451873,2454851.8656113385,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,5066194.74301283,102758025.59529804,34328693.326185964,17183963.05927937,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840186,7.000000000000001,0.15572602435458063,0.0,0.0,0.7709439463628691,5
biomass_1625,biomass,35.0,65.09379248009131,133163014.92455791,2045709.888009449,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,4221828.952510692,85631687.9960817,28607244.4384883,14319969.21606614,382284.321411079,2.063747639514363,41.859155346511265,13.984018264840183,6.999999999999999,0.18687122922549676,0.0,0.0,0.7709439463628691,5
biomass_1632,biomass,44.0,65.05556881956791,167306631.36536708,2571749.573497593,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,5307442.111727727,107651264.90935984,35963393.00838529,18002247.01448315,382284.321411079,2.0637476395143626,41.859155346511265,13.984018264840184,7.0,0.1486475687020997,0.0,0.0,0.7709439463628691,5
biomass_1665,biomass,44.0,65.05556881956791,167306631.36536708,2571749.573497593,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,5307442.111727727,107651264.90935984,35963393.00838529,18002247.01448315,382284.321411079,2.0637476395143626,41.859155346511265,13.984018264840184,7.0,0.1486475687020997,0.0,0.0,0.7709439463628691,5
biomass_1671,biomass,44.0,65.05556881956791,167306631.36536708,2571749.573497593,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,5307442.111727727,107651264.90935984,35963393.00838529,18002247.01448315,382284.321411079,2.0637476395143626,41.859155346511265,13.984018264840184,7.0,0.1486475687020997,0.0,0.0,0.7709439463628691,5
biomass_1681,biomass,43.0,65.0590257397703,163512896.2052772,2513300.7195544657,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,5186818.427370278,105204645.25232895,35146043.16728563,17593105.03688126,382284.321411079,2.0637476395143626,41.85915534651127,13.984018264840184,7.0,0.15210448890447412,0.0,0.0,0.7709439463628691,5
biomass_1784,biomass,50.0,65.03773111132367,190069042.32590654,2922442.6971563557,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,6031184.217872417,122330982.85154527,40867492.05498329,20457098.880094487,382284.321411079,2.0637476395143626,41.859155346511265,13.984018264840184,6.999999999999999,0.13080986045784773,0.0,0.0,0.7709439463628691,5
biomass_1789,biomass,30.0,65.12493768496222,114194339.12410836,1753465.6182938134,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,3618710.5307234502,73398589.71092717,24520495.23298997,12274259.328056693,382284.321411079,2.063747639514363,41.85915534651127,13.984018264840183,6.999999999999999,0.2180164340964129,0.0,0.0,0.7709439463628691,5
biomass_1790,biomass,49.0,65.04040070031259,186275307.1658166,2863993.8432132285,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,5910560.533514968,119884363.19451438,40050142.21388362,20047956.902492598,382284.321411079,2.0637476395143626,41.85915534651127,13.984018264840184,6.999999999999999,0.1334794494467834,0.0,0.0,0.7709439463628691,5
biomass_1795,biomass,49.0,65.04040070031259,186275307.1658166,2863993.8432132285,120623.68435744834,2446619.6570309056,817349.8410996657,409141.97760188975,5910560.533514968,119884363.19451438,40050142.21388362,20047956.902492598,382284.321411079,2.0637476395143626,41.85915534651127,13.984018264840184,6.999999999999999,0.1334794494467834,0.0,0.0,0.7709439463628691,5
LARKS-1,PV(50kW+),49.9,40.10832523221977,30074783.1862177,749838.9177830358,50000.0,380952.38095238095,145028.57802325767,0.0,2495000.0,19009523.80952381,7236926.043360557,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,1.7781596843165324,0.0,0.0,0.9576719576719577,2
solar_21771,PV(50kW+),24.7,41.92248005184636,15560063.020031607,371162.75088659284,50000.0,380952.38095238095,145028.57802325767,0.0,1235000.0,9409523.80952381,3582205.877174464,0.0,1333333.3333333333,3.3273813092773117,25.351476642112853,9.651307596513076,0.0,3.5923145039431166,0.0,0.0,0.9576719576719577,2
solar_21780,PV(50kW+),24.2,41.99670142589477,15272072.540543789,363649.3348767428,50000.0,380952.38095238095,145028.57802325767,0.0,1210000.0,9219047.61904762,3509691.588162835,0.0,1333333.3333333333,3.3273813092773117,25.351476642112853,9.651307596513076,0.0,3.6665358779915276,0.0,0.0,0.9576719576719577,2
solar_21781,PV(50kW+),20.0,42.76667396027299,12852952.512846107,300536.6403940023,50000.0,380952.38095238095,145028.57802325767,0.0,1000000.0,7619047.619047619,2900571.5604651533,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,4.436508412369749,0.0,0.0,0.9576719576719577,2
solar_21784,PV(50kW+),21.0,42.555411654922054,13428933.471821746,315563.4724137024,50000.0,380952.38095238095,145028.57802325767,0.0,1050000.0,8000000.0,3045600.138488411,0.0,1333333.3333333333,3.327381309277312,25.351476642112853,9.651307596513078,0.0,4.225246107018808,0.0,0.0,0.9576719576719577,2
solar_21789,PV(50kW+),25.0,41.87937227779904,15732857.307724299,375670.80049250287,50000.0,380952.38095238095,145028.57802325767,0.0,1250000.0,9523809.523809524,3625714.4505814416,0.0,1333333.3333333333,3.3273813092773117,25.351476642112853,9.651307596513078,0.0,3.549206729895799,0.0,0.0,0.9576719576719577,2
solar_21805,PV(50kW+),31.8,41.12042241102886,19649527.82875864,477853.2582264637,50000.0,380952.38095238095,145028.57802325767,0.0,1590000.0,12114285.714285715,4611908.781139594,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.790256863125628,0.0,0.0,0.9576719576719577,2
solar_21809,PV(50kW+),29.0,41.389826521951335,18036781.14362685,435778.1285713033,50000.0,380952.38095238095,145028.57802325767,0.0,1450000.0,11047619.047619047,4205828.762674472,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513078,0.0,3.0596609740481027,0.0,0.0,0.9576719576719577,2
solar_21813,PV(50kW+),37.0,40.72827820323823,22644628.81543196,555992.7847289043,50000.0,380952.38095238095,145028.57802325767,0.0,1850000.0,14095238.095238095,5366057.386860534,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.3981126553349994,0.0,0.0,0.9576719576719577,2
solar_21814,PV(50kW+),28.0,41.49910012816734,17460800.184651215,420751.29655160324,50000.0,380952.38095238095,145028.57802325767,0.0,1400000.0,10666666.666666666,4060800.1846512146,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,3.1689345802641062,0.0,0.0,0.9576719576719577,2
solar_21826,PV(50kW+),31.6,41.13808226459295,19534331.636963513,474847.89182252367,50000.0,380952.38095238095,145028.57802325767,0.0,1580000.0,12038095.238095239,4582903.065534943,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513078,0.0,2.8079167166897143,0.0,0.0,0.9576719576719577,2
solar_21831,PV(50kW+),40.0,40.548419754088115,24372571.692358878,601073.2807880046,50000.0,380952.38095238095,145028.57802325767,0.0,2000000.0,15238095.238095239,5801143.120930307,0.0,1333333.3333333333,3.3273813092773117,25.35147664211285,9.651307596513076,0.0,2.2182542061848745,0.0,0.0,0.9576719576719577,2
solar_21842,PV(50kW+),24.0,42.0272558915447,15156876.34874866,360643.9684728028,50000.0,380952.38095238095,145028.57802325767,0.0,1200000.0,9142857.142857142,3480685.872558184,0.0,1333333.3333333333,3.3273813092773117,25.351476642112846,9.651307596513076,0.0,3.6970903436414573,0.0,0.0,0.9576719576719577,2
solar_21852,PV(50kW+),41.0,40.49431599296165,24948552.651334517,616100.1128077047,50000.0,380952.38095238095,145028.57802325767,0.0,2050000.0,15619047.61904762,5946171.698953564,0.0,1333333.3333333333,3.3273813092773117,25.351476642112853,9.651307596513076,0.0,2.164150445058414,0.0,0.0,0.9576719576719577,2
