bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
BG18-400,400,f,Substation,f,BG18,23.316127677176425,43.29500010797571,BG,POINT (23.316127677176425 43.29500010797571)
BG19-400,400,f,Substation,f,BG19,23.320051917205525,43.27196629128896,BG,POINT (23.320051917205525 43.271966291288955)
BG2-220,220,f,Substation,f,BG2,23.949432899999984,43.74045458965179,BG,POINT (23.949432899999984 43.74045458965179)
BG20-400,400,f,Substation,f,BG20,27.5264864,43.25138338924923,BG,POINT (27.5264864 43.25138338924923)
BG21-220,220,f,Substation,f,BG21,25.662730061193432,43.14338571075768,BG,POINT (25.662730061193432 43.14338571075768)
BG22-220,220,f,Substation,f,BG22,25.613309,43.10070988912305,BG,POINT (25.613309 43.10070988912305)
BG23-220,220,f,Substation,f,BG23,25.6027425,43.09317568911676,BG,POINT (25.6027425 43.093175689116755)
BG24-220,220,f,Substation,f,BG24,25.5772883,43.07497208910137,BG,POINT (25.577288299999996 43.07497208910137)
BG25-220,220,f,Substation,f,BG25,25.561876399999985,43.06405808909219,BG,POINT (25.561876399999985 43.06405808909219)
BG26-400,400,f,Substation,f,BG26,23.25714132955792,43.04777959835599,BG,POINT (23.25714132955792 43.04777959835599)
BG27-400,400,f,Substation,f,BG27,23.23365913813393,43.03445009137515,BG,POINT (23.23365913813393 43.03445009137515)
BG28-400,400,f,Substation,f,BG28,23.23403610506181,42.97237159004067,BG,POINT (23.234036105061815 42.97237159004067)
BG29-400,400,f,Substation,f,BG29,23.241560004025203,42.95690471108468,BG,POINT (23.241560004025203 42.95690471108468)
BG3-220,220,f,Substation,f,BG3,23.83944069698781,43.734782875067054,BG,POINT (23.839440696987815 43.734782875067054)
BG3-400,400,f,Substation,f,BG3,23.839745563911585,43.73493537154156,BG,POINT (23.839745563911585 43.73493537154156)
BG30-400,400,f,Substation,f,BG30,27.257356900000005,42.94576758899228,BG,POINT (27.257356900000005 42.94576758899228)
BG31-400,400,f,Substation,f,BG31,27.260754399999996,42.93593438898394,BG,POINT (27.260754399999993 42.93593438898394)
BG32-400,400,f,Substation,f,BG32,23.233789820318894,42.92161818704212,BG,POINT (23.233789820318894 42.92161818704212)
BG33-400,400,f,Substation,f,BG33,23.135495700000003,42.83228698889585,BG,POINT (23.135495700000003 42.83228698889585)
BG34-400,400,f,Substation,f,BG34,23.346961499999992,42.832272188895786,BG,POINT (23.346961499999992 42.832272188895786)
BG35-400,400,f,Substation,f,BG35,23.366070600000004,42.83052048889436,BG,POINT (23.366070600000004 42.83052048889436)
BG36-400,400,f,Substation,f,BG36,23.12492840000001,42.82531858888991,BG,POINT (23.12492840000001 42.82531858888991)
BG37-400,400,f,Substation,f,BG37,23.1097894,42.815126088881215,BG,POINT (23.1097894 42.815126088881215)
BG38-220,220,f,Substation,f,BG38,25.887447399999992,42.797691488866334,BG,POINT (25.887447399999992 42.797691488866334)
BG39-220,220,f,Substation,f,BG39,25.89575929999999,42.78674188885699,BG,POINT (25.89575929999999 42.78674188885699)
BG4-400,400,f,Substation,f,BG4,23.73450311297061,43.71529399506617,BG,POINT (23.73450311297061 43.71529399506617)
