transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
FR15-225-400,FR15-225,FR15-400,225,400,1788,'LINESTRING (4.67998057964413 49.89026175351312, 4.680254010432945 49.89046573183266)'
GB74-275-400,GB74-275,GB74-400,275,400,3575,'LINESTRING (0.1651750409676874 51.443337371904725, 0.1654369068235738 51.443551664677564)'
HU3-220-400,HU3-220,HU3-400,220,400,1788,'LINESTRING (21.07787403343369 47.91809344713781, 21.07819640716242 47.91825334389771)'
HU4-380-400,HU4-380,HU4-400,380,400,1788,'LINESTRING (17.099669480156244 47.90972350484717, 17.099978520379 47.90989507280287)'
IT60-380-400,IT60-380,IT60-400,380,400,7150,'LINESTRING (7.431342179584443 45.602806890269804, 7.431604620881873 45.60300448281468)'
IT61-380-400,IT61-380,IT61-400,380,400,7150,'LINESTRING (7.444784168928321 45.59708130651567, 7.445046631537918 45.597278866556465)'
NO26-400-420,NO26-400,NO26-420,400,420,1877,'LINESTRING (12.059395330098916 63.17665111946965, 12.059827471255737 63.17683667255434)'
NO27-300-420,NO27-300,NO27-420,300,420,7508,'LINESTRING (8.63849354032925 62.84866975706129, 8.638899362720311 62.84886463528845)'
NO28-300-420,NO28-300,NO28-420,300,420,7508,'LINESTRING (8.60269020120513 62.84224651114559, 8.603095707016992 62.84244148355891)'
NO29-300-420,NO29-300,NO29-420,300,420,7508,'LINESTRING (8.49948259256994 62.74843878426659, 8.499886187501556 62.74863401654456)'
NO30-300-420,NO30-300,NO30-420,300,420,7508,'LINESTRING (8.477649044390407 62.714828304096024, 8.478052055141129 62.71502358922529)'
NO5-400-420,NO5-400,NO5-420,400,420,1877,'LINESTRING (17.464234150290586 68.08164856428849, 17.464795251749617 68.0818186291142)'
NO84-300-420,NO84-300,NO84-420,300,420,3754,'LINESTRING (9.819146669586477 59.72749861887493, 9.819521813347576 59.727689974523784)'
PL11-220-400,PL11-220,PL11-400,220,400,5363,'LINESTRING (14.45695109198924 53.20299387983926, 14.457287682332025 53.20317238987104)'
PL13-220-400,PL13-220,PL13-400,220,400,7150,'LINESTRING (18.120781497941344 53.12548702987653, 18.12113237252261 53.12565498718226)'
PL14-220-400,PL14-220,PL14-400,220,400,7150,'LINESTRING (18.12938353728661 53.1094116514118, 18.129734310417895 53.10957958483765)'
PL25-220-400,PL25-220,PL25-400,220,400,3575,'LINESTRING (16.925355504055883 52.29737642605557, 16.92569489661645 52.29754795826545)'
PL40-220-400,PL40-220,PL40-400,220,400,2950,'LINESTRING (14.910159454717688 50.949856417394024, 14.910480882747931 50.95003381720133)'
PL54-220-400,PL54-220,PL54-400,220,400,1788,'LINESTRING (19.224009622089348 50.21166258653213, 19.224341743006477 50.21182762942035)'
PL59-220-400,PL59-220,PL59-400,220,400,1967,'LINESTRING (18.524165245275306 50.13300235381351, 18.52449428961516 50.13316947212409)'
PT14-220-400,PT14-220,PT14-400,220,400,3575,'LINESTRING (-7.681239736402908 41.11713443988319, -7.6810471646531555 41.11736492272707)'
RO29-220-400,RO29-220,RO29-400,220,400,1788,'LINESTRING (27.92109200926298 45.166917884944375, 27.921416746076495 45.167057149320996)'
RO37-220-400,RO37-220,RO37-400,220,400,3575,'LINESTRING (23.138708387316314 44.90881356184908, 23.13901809564293 44.90896788995118)'
RO40-220-400,RO40-220,RO40-400,220,400,3575,'LINESTRING (25.971609849153936 44.896480768094456, 25.971927532644077 44.8966263194164)'
RO41-220-400,RO41-220,RO41-400,220,400,5363,'LINESTRING (25.92791138687423 44.85854703708125, 25.928228715409677 44.85869273673229)'
RO53-220-400,RO53-220,RO53-400,220,400,5363,'LINESTRING (26.239995594389693 44.40164630745002, 26.240310999117344 44.4017911557455)'
RO6-220-400,RO6-220,RO6-400,220,400,5363,'LINESTRING (26.834156303835133 46.208693177941264, 26.834484791057 46.20883562465174)'
RS7-220-400,RS7-220,RS7-400,220,400,1788,'LINESTRING (20.007663244522753 44.65631425995586, 20.007962234208932 44.65647801619547)'
SE35-400-420,SE35-400,SE35-420,400,420,1877,'LINESTRING (11.817033702808818 59.33741145119474, 11.81741549821944 59.337597339137226)'
relation/10506161-330-750,relation/10506161-330,relation/10506161-750,330,750,16212,'LINESTRING (28.72208838957977 49.164923864305194, 28.722443627265182 49.16505937605616)'
relation/11036958-300-420,relation/11036958-300,relation/11036958-420,300,420,5631,'LINESTRING (6.670453273937847 59.484741966950956, 6.670807995082767 59.48494150943383)'
relation/11097406-400-420,relation/11097406-400,relation/11097406-420,400,420,1877,'LINESTRING (11.734749496139433 58.83730378094785, 11.735125400972262 58.837489866636126)'
relation/13110368-275-400,relation/13110368-275,relation/13110368-400,275,400,7150,'LINESTRING (-1.255426653086503 52.86342638561905, -1.2551639405673118 52.863643805547966)'
relation/13260100-225-400,relation/13260100-225,relation/13260100-400,225,400,3575,'LINESTRING (0.1490388453016366 49.47437595096164, 0.1492908249889295 49.47459025750261)'
relation/13675791-220-330,relation/13675791-220,relation/13675791-330,220,330,1107,'LINESTRING (25.386869491519953 50.77565319037352, 25.38722715330624 50.77579914349426)'
relation/13695570-220-330,relation/13695570-220,relation/13695570-330,220,330,1107,'LINESTRING (33.61050303562468 44.57602167484511, 33.610838560270366 44.57614229559877)'
relation/13844905-220-380,relation/13844905-220,relation/13844905-380,220,380,6793,'LINESTRING (14.12908496797304 42.403657736221255, 14.129295761345423 42.403483001224394)'
relation/13889505-220-400,relation/13889505-220,relation/13889505-400,220,400,12513,'LINESTRING (17.10311414013977 63.17613913786598, 17.10357671096383 63.17630991472106)'
relation/14921826-275-400,relation/14921826-275,relation/14921826-400,275,400,3575,'LINESTRING (-2.9624053599211826 54.94214225873508, -2.9621396593512914 54.94236341489138)'
relation/15657011-220-400,relation/15657011-220,relation/15657011-400,220,400,1788,'LINESTRING (14.627743002650478 62.48921656629351, 14.628180663204159 62.48939467960669)'
relation/15715982-220-400,relation/15715982-220,relation/15715982-400,220,400,1788,'LINESTRING (-6.806590620071991 41.043907499116045, -6.80639509948461 41.04413637949732)'
relation/16809528-220-400,relation/16809528-220,relation/16809528-400,220,400,5363,'LINESTRING (1.9023120871640125 41.355312895297324, 1.902538523369514 41.35552394852494)'
relation/17148268-220-400,relation/17148268-220,relation/17148268-400,220,400,14300,'LINESTRING (-5.693215465108723 39.807177190179544, -5.6930190408472 39.80740414566639)'
relation/17294958-220-400,relation/17294958-220,relation/17294958-400,220,400,1788,'LINESTRING (-6.473175769058163 41.301161981870955, -6.472978430777835 41.30139020647547)'
relation/3993780-300-420,relation/3993780-300,relation/3993780-420,300,420,7508,'LINESTRING (7.301546250295709 60.862811152822616, 7.301919374829291 60.86300925163511)'
relation/6277789-220-380,relation/6277789-220,relation/6277789-380,220,380,5095,'LINESTRING (10.263510798933572 45.57900386833113, 10.263783114831904 45.57919432959302)'
relation/7313829-220-400,relation/7313829-220,relation/7313829-400,220,400,10725,'LINESTRING (16.990475593251396 60.60427215034029, 16.990900242885505 60.604443179077094)'
relation/7578992-220-380,relation/7578992-220,relation/7578992-380,220,380,2458,'LINESTRING (5.471685141761211 50.54020502564853, 5.471965561202397 50.54040709491606)'
relation/7839720-300-420,relation/7839720-300,relation/7839720-420,300,420,2011,'LINESTRING (8.522882009399853 62.66384738830419, 8.52328463886981 62.6640425459925)'
relation/7854485-300-420,relation/7854485-300,relation/7854485-420,300,420,3754,'LINESTRING (8.961312878529048 60.26680667135976, 8.961689115714721 60.26700036421985)'
relation/7879831-275-400,relation/7879831-275,relation/7879831-400,275,400,7150,'LINESTRING (-3.958613809406172 51.68587295880674, -3.9583702131720218 51.68609590314178)'
relation/7880111-275-400,relation/7880111-275,relation/7880111-400,275,400,2766,'LINESTRING (-0.4842413102397478 51.350478403863626, -0.4839829291472356 51.35069410569256)'
relation/7894457-275-400,relation/7894457-275,relation/7894457-400,275,400,8938,'LINESTRING (-2.40543855695016 53.43519161103851, -2.405178454491036 53.435411487897824)'
relation/7894974-275-400,relation/7894974-275,relation/7894974-400,275,400,5363,'LINESTRING (-4.080110627723587 55.751689917948966, -4.079846271169726 55.751913432931474)'
relation/7894975-275-400,relation/7894975-275,relation/7894975-400,275,400,5363,'LINESTRING (-2.756647536964786 53.743818963246085, -2.7563875369248914 53.74403959044247)'
relation/8473044-220-300,relation/8473044-220,relation/8473044-300,220,300,1006,'LINESTRING (13.782692113781762 66.05082327954955, 13.783069811199487 66.05064850497526)'
relation/8473044-220-420,relation/8473044-220,relation/8473044-420,220,420,3754,'LINESTRING (13.782692113781762 66.05082327954955, 13.783249560908912 66.05087161443245)'
relation/8473044-300-420,relation/8473044-300,relation/8473044-420,300,420,3754,'LINESTRING (13.783069811199487 66.05064850497526, 13.783249560908912 66.05087161443245)'
relation/8488332-300-420,relation/8488332-300,relation/8488332-420,300,420,3754,'LINESTRING (12.836707504294603 64.70452653703856, 12.837168556700854 64.70471006626043)'
